,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Phil Neville\3db5e0ec,eng ENG,DFMT,28,34,34,3038,33.8,0,1,0,0,0,12,2,0.00,0.03,0.03,0.00,0.03,Matchs
David Weir\ba286fd8,sct SCO,DF,35,33,32,2882,32.0,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matchs
Tim Cahill\e5a2dfc2,au AUS,ATMT,25,32,32,2745,30.5,6,3,6,0,0,9,0,0.20,0.10,0.30,0.20,0.30,Matchs
Joseph Yobo\acd633df,ng NGA,DF,24,29,29,2610,29.0,1,0,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matchs
Tony Hibbert\c878c4bf,eng ENG,DF,24,29,29,2568,28.5,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matchs
James Beattie\7c881089,eng ENG,AT,27,32,29,2510,27.9,10,3,10,0,1,3,0,0.36,0.11,0.47,0.36,0.47,Matchs
Leon Osman\a014c247,eng ENG,MT,24,35,28,2546,28.3,3,4,3,0,0,2,0,0.11,0.14,0.25,0.11,0.25,Matchs
Mikel Arteta\d934d1e6,es ESP,MT,23,29,27,2376,26.4,1,7,1,0,0,6,1,0.04,0.27,0.30,0.04,0.30,Matchs
James McFadden\2cfdae75,sct SCO,ATMT,22,32,24,2048,22.8,6,2,6,0,0,3,0,0.26,0.09,0.35,0.26,0.35,Matchs
Simon Davies\522b6d6c,wls WAL,MT,25,30,22,1836,20.4,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matchs
Kevin Kilbane\56cf4517,ie IRL,DFMT,28,34,21,2002,22.2,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matchs
Alan Stubbs\474865f9,eng ENG,DF,33,24,21,1936,21.5,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matchs
Nigel Martyn\8977904e,eng ENG,GB,38,20,20,1755,19.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nuno Valente\ac474cf2,pt POR,DF,30,20,20,1742,19.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Wright\d9e2e2ae,eng ENG,GB,27,15,14,1269,14.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Sander Westerveld\dc8d38a2,nl NED,GB,30,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Duncan Ferguson\9593e964,sct SCO,AT,33,27,7,961,10.7,1,0,0,1,2,2,1,0.09,0.00,0.09,0.00,0.00,Matchs
Gary Naysmith\71cbf286,sct SCO,DFMT,26,7,7,620,6.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Andy van der Meyde\d44b1ec0,nl NED,ATMT,25,10,7,495,5.5,0,3,0,0,0,1,1,0.00,0.55,0.55,0.00,0.55,Matchs
Matteo Ferrari\218f3d60,it ITA,DF,25,8,6,533,5.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lee Carsley\8393a60b,ie IRL,MT,31,5,3,254,2.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Iain Turner\bab68c3c,sct SCO,GB,21,3,2,135,1.5,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matchs
Alessandro Pistone\956096ee,it ITA,DF,30,2,2,122,1.4,0,,0,0,,1,0,0.00,,,0.00,,Matchs
Per Krøldrup\a65f0ff2,dk DEN,DF,26,1,1,90,1.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
John Ruddy\da8b19e2,eng ENG,GB,18,1,0,81,0.9,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Victor Anichebe\4aed5c19,ng NGA,AT,17,2,0,29,0.3,1,0,1,0,0,0,0,3.10,0.00,3.10,3.10,3.10,Matchs
James Vaughan\4fb0dc59,eng ENG,AT,17,1,0,14,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,28.0,38,422,,,32,25,31,1,3,66,7,0.84,0.66,1.50,0.82,1.47,
Total adversaire,,,26.5,38,,,,,,,,,,,,,,,,
