,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Brad Friedel\b8c0a975,us USA,GB,36,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Bentley\a00fbcec,eng ENG,MT,22,37,37,3320,36.9,6,8,6,0,0,8,0,0.16,0.22,0.38,0.16,0.38,Matchs
Stephen Warnock\07869028,eng ENG,DF,25,37,37,3283,36.5,1,3,1,0,0,8,0,0.03,0.08,0.11,0.03,0.11,Matchs
Roque Santa Cruz\7f2107eb,py PAR,AT,25,37,36,3185,35.4,19,5,19,0,0,3,0,0.54,0.14,0.68,0.54,0.68,Matchs
Christopher Samba\e43cada1,cg CGO,DF,23,33,33,2891,32.1,2,0,2,0,0,10,1,0.06,0.00,0.06,0.06,0.06,Matchs
Morten Gamst Pedersen\c75d2fba,no NOR,ATMT,25,37,32,2871,31.9,4,1,4,0,0,5,0,0.13,0.03,0.16,0.13,0.16,Matchs
Brett Emerton\a1866af0,au AUS,DFMT,28,33,31,2753,30.6,1,1,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,Matchs
David Dunn\7ecdf483,eng ENG,MT,27,31,25,1949,21.7,1,3,1,0,0,7,1,0.05,0.14,0.18,0.05,0.18,Matchs
André Ooijer\49fd46a1,nl NED,DF,33,27,23,2026,22.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ryan Nelsen\510f2c7c,nz NZL,DF,29,22,22,1936,21.5,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,Matchs
Benni McCarthy\a6f401c6,za RSA,AT,29,31,21,1680,18.7,8,0,3,5,6,1,0,0.43,0.00,0.43,0.16,0.16,Matchs
Steven Reid\e26f852b,ie IRL,DFMT,26,24,20,1867,20.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matchs
Tugay Kerimoğlu\543e7bda,tr TUR,MT,36,20,12,1124,12.5,2,0,2,0,0,5,1,0.16,0.00,0.16,0.16,0.16,Matchs
Jason Roberts\62487637,gd GRN,AT,29,26,11,1264,14.0,3,5,3,0,0,2,0,0.21,0.36,0.57,0.21,0.57,Matchs
Zurab Khizanishvili\4e106307,ge GEO,DF,25,13,10,955,10.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Robbie Savage\f60a24de,wls WAL,MT,32,12,10,808,9.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Aaron Mokoena\8eedd90f,za RSA,DFMT,26,18,8,765,8.5,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matchs
Johann Vogel\6b002e31,ch SUI,MT,30,6,6,462,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Derbyshire\193ed0c0,eng ENG,AT,21,23,4,621,6.9,3,1,3,0,0,1,0,0.43,0.14,0.58,0.43,0.58,Matchs
Bruno Berner\a85d700b,ch SUI,DFMT,29,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Martin Olsson\2f72f79e,se SWE,DFMT,19,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Maceo Rigters\edc626e2,nl NED,AT,23,2,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,28.0,38,418,,,50,32,45,5,6,74,6,1.32,0.84,2.16,1.18,2.03,
Total adversaire,,,26.4,38,,,,,,,,,,,,,,,,
