,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Michael Turner\422a65eb,eng ENG,DF,24,38,38,3420,38.0,4,1,4,0,0,3,0,0.11,0.03,0.13,0.11,0.13,Matchs
Geovanni\ffeaaebe,br BRA,ATMT,28,34,32,2521,28.0,8,0,7,1,1,2,0,0.29,0.00,0.29,0.25,0.25,Matchs
Kamil Zayatte\1914aaad,gn GUI,DFMT,23,32,31,2740,30.4,1,1,1,0,0,7,0,0.03,0.03,0.07,0.03,0.07,Matchs
Ian Ashbee\223c0803,eng ENG,MT,31,31,31,2692,29.9,1,1,1,0,0,10,0,0.03,0.03,0.07,0.03,0.07,Matchs
Boaz Myhill\7ca2d989,wls WAL,GB,25,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Sam Ricketts\3f8ef948,wls WAL,DF,26,29,27,2523,28.0,0,1,0,0,0,6,1,0.00,0.04,0.04,0.00,0.04,Matchs
Dean Marney\b3379356,eng ENG,MT,24,31,26,2391,26.6,0,4,0,0,0,5,1,0.00,0.15,0.15,0.00,0.15,Matchs
Andy Dawson\d87a80b2,eng ENG,DF,29,25,25,2036,22.6,1,3,1,0,0,7,0,0.04,0.13,0.18,0.04,0.18,Matchs
George Boateng\a44a9f65,nl NED,MT,32,23,21,1678,18.6,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matchs
Marlon King\0fc9488a,jm JAM,AT,28,20,19,1629,18.1,5,2,3,2,2,2,0,0.28,0.11,0.39,0.17,0.28,Matchs
Daniel Cousin\c666c11f,ga GAB,AT,31,27,18,1580,17.6,4,1,4,0,0,1,0,0.23,0.06,0.28,0.23,0.28,Matchs
Paul McShane\5785993d,ie IRL,DF,22,17,17,1454,16.2,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matchs
Bernard Mendy\ea52a7a5,fr FRA,DFAT,26,28,15,1596,17.7,2,2,2,0,0,5,0,0.11,0.11,0.23,0.11,0.23,Matchs
Craig Fagan\26d9e452,eng ENG,ATMT,25,22,15,1422,15.8,3,3,3,0,0,7,0,0.19,0.19,0.38,0.19,0.38,Matchs
Kevin Kilbane\56cf4517,ie IRL,DFMT,31,16,15,1314,14.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Garcia\c3ae2db4,au AUS,ATMT,26,23,13,1162,12.9,1,1,1,0,0,2,0,0.08,0.08,0.15,0.08,0.15,Matchs
Nick Barmby\4af0a400,eng ENG,ATMT,34,21,13,1097,12.2,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matchs
Matt Duke\752fc876,eng ENG,GB,31,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Manucho\89b18034,ao ANG,AT,25,13,6,657,7.3,2,0,2,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matchs
Anthony Gardner\0f2da318,eng ENG,DF,27,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Péter Halmosi\68108a01,hu HUN,DFMT,28,18,4,562,6.2,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matchs
Caleb Folan\bc0bc597,ie IRL,AT,25,15,2,404,4.5,1,0,1,0,0,1,1,0.22,0.00,0.22,0.22,0.22,Matchs
Nathan Doyle\a7f25b3c,eng ENG,DFMT,21,3,2,213,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Bryan Hughes\2afff071,eng ENG,MT,32,6,1,131,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Dean Windass\5d318f2d,eng ENG,ATMT,39,5,1,120,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ryan France\8b770249,eng ENG,DFMT,27,2,1,92,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Wayne Brown\07748ae2,eng ENG,DF,30,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jimmy Bullard\d46ae0c2,eng ENG,MT,29,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stelios Giannakopoulos\29a5f7d3,gr GRE,ATMT,34,2,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,27.7,38,418,,,35,17,32,3,3,70,3,0.92,0.45,1.37,0.84,1.29,
Total adversaire,,,26.5,38,,,,,,,,,,,,,,,,
