,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Robert Green\a350680b,eng ENG,GB,30,37,37,3330,37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Scott Parker\65faf2a1,eng ENG,MT,29,32,30,2738,30.4,5,2,5,0,0,8,0,0.16,0.07,0.23,0.16,0.23,Matchs
Matthew Upson\1a6e6d03,eng ENG,DF,31,30,30,2470,27.4,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matchs
Frédéric Piquionne\62f579c5,fr FRA,AT,31,34,26,2246,25.0,6,3,5,1,1,2,1,0.24,0.12,0.36,0.20,0.32,Matchs
Mark Noble\ff527768,eng ENG,MT,23,26,25,2140,23.8,4,3,0,4,4,7,0,0.17,0.13,0.29,0.00,0.13,Matchs
Danny Gabbidon\90148433,wls WAL,DF,30,26,24,2180,24.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lars Jacobsen\bef72e41,dk DEN,DF,30,24,22,1994,22.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Carlton Cole\51b2effb,eng ENG,AT,26,35,21,2120,23.6,5,2,5,0,1,4,0,0.21,0.08,0.30,0.21,0.30,Matchs
Luís Boa Morte\59ab6332,pt POR,ATMT,32,22,19,1499,16.7,0,2,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12,Matchs
James Tomkins\e7ca0439,eng ENG,DFMT,21,19,18,1579,17.5,1,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,Matchs
Victor Obinna\c21b9d9d,ng NGA,AT,23,25,17,1575,17.5,3,3,3,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matchs
Wayne Bridge\86b982bc,eng ENG,DF,29,15,15,1348,15.0,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matchs
Manuel da Costa\50e14b3c,ma MAR,DF,24,16,14,1293,14.4,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matchs
Thomas Hitzlsperger\2757060a,de GER,MT,28,11,11,990,11.0,2,4,2,0,0,1,0,0.18,0.36,0.55,0.18,0.55,Matchs
Demba Ba\8b683d09,sn SEN,AT,25,12,10,933,10.4,7,0,7,0,0,1,0,0.68,0.00,0.68,0.68,0.68,Matchs
Jonathan Spector\3670bd5c,us USA,DFMT,24,14,10,929,10.3,1,0,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matchs
Hérita Ilunga\1550f0e0,cd COD,DF,28,11,10,866,9.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
