,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Joe Hart\cb4f24c6,eng ENG,GB,24,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Silva\e2716bd0,es ESP,ATMT,25,36,33,2800,31.1,6,15,6,0,0,0,0,0.19,0.48,0.68,0.19,0.68,Matchs
Vincent Kompany\d2bff301,be BEL,DF,25,31,31,2774,30.8,3,1,3,0,0,5,1,0.10,0.03,0.13,0.10,0.13,Matchs
Gareth Barry\7dbbe367,eng ENG,MT,30,34,31,2735,30.4,1,3,1,0,0,9,1,0.03,0.10,0.13,0.03,0.13,Matchs
Yaya Touré\c204f844,ci CIV,MT,28,32,31,2643,29.4,6,6,6,0,0,8,0,0.20,0.20,0.41,0.20,0.41,Matchs
Sergio Agüero\4d034881,ar ARG,AT,23,34,31,2575,28.6,23,8,20,3,3,2,0,0.80,0.28,1.08,0.70,0.98,Matchs
Joleon Lescott\62393d3b,eng ENG,DF,28,31,30,2686,29.8,2,1,2,0,0,1,0,0.07,0.03,0.10,0.07,0.10,Matchs
Gaël Clichy\450ad405,fr FRA,DF,26,28,28,2488,27.6,0,4,0,0,0,2,1,0.00,0.14,0.14,0.00,0.14,Matchs
Samir Nasri\165bed61,fr FRA,ATMT,24,30,26,2159,24.0,5,9,5,0,0,2,0,0.21,0.38,0.58,0.21,0.58,Matchs
Micah Richards\ff87875a,eng ENG,DF,23,29,23,2044,22.7,1,5,1,0,0,2,0,0.04,0.22,0.26,0.04,0.26,Matchs
Pablo Zabaleta\6813ac34,ar ARG,DFMT,26,21,18,1549,17.2,1,0,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matchs
James Milner\2f90f6b8,eng ENG,DFMT,25,26,17,1586,17.6,3,5,2,1,1,3,0,0.17,0.28,0.45,0.11,0.40,Matchs
Edin Džeko\3bb7f478,ba BIH,AT,25,30,16,1509,16.8,14,3,14,0,0,1,0,0.83,0.18,1.01,0.83,1.01,Matchs
Mario Balotelli\8ff07990,it ITA,AT,20,23,14,1328,14.8,13,1,10,3,3,6,2,0.88,0.07,0.95,0.68,0.75,Matchs
Nigel de Jong\a0e209bc,nl NED,MT,26,21,11,1077,12.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matchs
Adam Johnson\1ba61951,eng ENG,MT,24,26,10,1147,12.7,6,2,6,0,0,1,0,0.47,0.16,0.63,0.47,0.63,Matchs
Aleksandar Kolarov\eda40760,rs SRB,DF,25,12,9,823,9.1,2,4,2,0,0,1,0,0.22,0.44,0.66,0.22,0.66,Matchs
Kolo Touré\3301c9f4,ci CIV,DF,30,14,8,853,9.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Carlos Tevez\c1a26d43,ar ARG,ATMT,27,13,7,601,6.7,4,3,4,0,1,1,0,0.60,0.45,1.05,0.60,1.05,Matchs
Stefan Savić\f6ac68c1,me MNE,DFMT,20,11,5,550,6.1,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matchs
David Pizarro\8b92c119,cl CHI,MT,31,5,1,165,1.8,0,1,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55,Matchs
Owen Hargreaves\1b2b5b86,eng ENG,MT,30,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Abdul Razak\5e61927c,ci CIV,MT,18,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nedum Onuoha\b28a0b5a,eng ENG,DF,24,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.8,38,418,,,91,73,84,7,8,51,5,2.39,1.92,4.32,2.21,4.13,
Total adversaire,,,26.9,38,,,,,,,,,,,,,,,,
