,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
John Ruddy\da8b19e2,eng ENG,GB,26,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Martin Olsson\2f72f79e,se SWE,DFMT,25,34,33,2965,32.9,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matchs
Russell Martin\24952f1e,sct SCO,DF,27,31,29,2617,29.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Robert Snodgrass\9f4647e9,sct SCO,ATMT,25,30,29,2569,28.5,6,2,6,0,1,6,0,0.21,0.07,0.28,0.21,0.28,Matchs
Leroy Fer\3cefa66a,nl NED,MT,23,29,28,2462,27.4,3,1,3,0,0,6,1,0.11,0.04,0.15,0.11,0.15,Matchs
Bradley Johnson\e0d9bbbe,eng ENG,DFMT,26,32,28,2460,27.3,3,1,3,0,0,6,1,0.11,0.04,0.15,0.11,0.15,Matchs
Sébastien Bassong\0d521662,cm CMR,DF,27,27,27,2377,26.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nathan Redmond\ab651565,eng ENG,ATMT,19,34,23,2158,24.0,1,3,1,0,0,2,0,0.04,0.13,0.17,0.04,0.17,Matchs
Jonny Howson\08b10f50,eng ENG,DFMT,25,27,23,2086,23.2,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matchs
Gary Hooper\b73ce4ba,eng ENG,AT,25,32,22,2019,22.4,6,2,5,1,1,0,0,0.27,0.09,0.36,0.22,0.31,Matchs
Michael Turner\422a65eb,eng ENG,DF,29,22,22,1943,21.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matchs
Alexander Tettey\75566759,no NOR,MT,27,21,17,1486,16.5,1,0,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matchs
Johan Elmander\3438cef9,se SWE,AT,32,29,16,1485,16.5,1,4,1,0,0,3,0,0.06,0.24,0.30,0.06,0.30,Matchs
Steven Whittaker\06f81a8c,sct SCO,DFMT,29,20,16,1423,15.8,1,1,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matchs
Ricky van Wolfswinkel\dbe16ade,nl NED,ATMT,24,25,16,1392,15.5,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,Matchs
Ryan Bennett\0bad4516,eng ENG,DF,23,16,14,1350,15.0,1,0,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matchs
Anthony Pilkington\b31af577,ie IRL,ATMT,25,15,10,828,9.2,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matchs
Wes Hoolahan\5236a502,ie IRL,MT,31,16,10,798,8.9,1,1,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,Matchs
Joseph Yobo\acd633df,ng NGA,DF,32,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Javier Garrido\3b142ce5,es ESP,DF,28,6,6,515,5.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jonás Gutiérrez\816fd91c,ar ARG,MT,30,4,2,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Elliott Bennett\02c9ea40,eng ENG,DFMT,24,2,1,105,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Josh Murphy\b30c7426,eng ENG,ATMT,18,9,0,139,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Luciano Becchio\3b3d4028,ar ARG,AT,29,5,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jamar Loza\e8f3848e,jm JAM,AT,19,1,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,26.3,38,418,,,28,18,27,1,2,0,0,0.74,0.47,1.21,0.71,1.18,
Total adversaire,,,27.0,38,,,,,,,,,,,,,,,,
