,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Scott Dann\52105203,eng ENG,DF,28,35,35,3150,35.0,5,1,5,0,0,7,0,0.14,0.03,0.17,0.14,0.17,Matchs
Pape Souaré\46b5375e,sn SEN,DF,25,34,34,3015,33.5,0,1,0,0,0,6,1,0.00,0.03,0.03,0.00,0.03,Matchs
Damien Delaney\210d9ecb,ie IRL,DF,34,32,32,2880,32.0,2,3,2,0,0,2,0,0.06,0.09,0.16,0.06,0.16,Matchs
Yohan Cabaye\ad7b19ef,fr FRA,MT,29,33,32,2689,29.9,5,1,2,3,4,7,0,0.17,0.03,0.20,0.07,0.10,Matchs
Jason Puncheon\fd3f57ce,eng ENG,MTAT,29,31,31,2615,29.1,2,3,2,0,0,3,0,0.07,0.10,0.17,0.07,0.17,Matchs
Joel Ward\8a7ff278,eng ENG,DF,25,30,30,2691,29.9,2,1,2,0,0,4,0,0.07,0.03,0.10,0.07,0.10,Matchs
Wilfried Zaha\b2bc3b1f,ci CIV,MTAT,22,34,30,2488,27.6,2,1,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11,Matchs
Wayne Hennessey\76eca7e2,wls WAL,GB,28,29,29,2610,29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
James McArthur\cee31595,sct SCO,MT,27,28,26,2185,24.3,2,2,2,0,0,5,0,0.08,0.08,0.16,0.08,0.16,Matchs
Yannick Bolasie\715fc0fe,cd COD,MTAT,26,26,23,2075,23.1,5,3,5,0,0,2,0,0.22,0.13,0.35,0.22,0.35,Matchs
Mile Jedinak\22fd2214,au AUS,MT,30,27,16,1540,17.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matchs
Connor Wickham\41cc19c2,eng ENG,AT,22,21,15,1320,14.7,5,3,4,1,1,1,0,0.34,0.20,0.55,0.27,0.48,Matchs
Bakary Sako\381d7d54,ml MLI,MTAT,27,20,11,1069,11.9,2,1,2,0,0,1,0,0.17,0.08,0.25,0.17,0.25,Matchs
Martin Kelly\d7492450,eng ENG,DF,25,13,11,1044,11.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Joe Ledley\c221f149,wls WAL,MT,28,19,11,981,10.9,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matchs
Dwight Gayle\e58a03c6,eng ENG,AT,24,16,8,771,8.6,3,0,3,0,0,2,1,0.35,0.00,0.35,0.35,0.35,Matchs
Jordon Mutch\37c408cc,eng ENG,MT,23,20,7,803,8.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Brede Hangeland\7cbeb80c,no NOR,DF,34,7,7,630,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Alex McCarthy\36c2ca73,eng ENG,GB,25,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Emmanuel Adebayor\936d9e3e,tg TOG,AT,31,12,7,619,6.9,1,1,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matchs
Lee Chung-yong\49b05a83,kr KOR,MT,27,13,4,390,4.3,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matchs
