,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Łukasz Fabiański\9328b835,pl POL,GB,30,37,37,3330,37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ashley Williams\a498e276,wls WAL,DF,30,36,36,3240,36.0,2,1,2,0,0,8,0,0.06,0.03,0.08,0.06,0.08,Matchs
André Ayew\5dbefa9d,gh GHA,MTAT,25,34,34,2925,32.5,12,2,12,0,0,5,0,0.37,0.06,0.43,0.37,0.43,Matchs
Neil Taylor\c2f9d19f,wls WAL,DF,26,34,33,2947,32.7,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matchs
Gylfi Sigurðsson\76dd1480,is ISL,MTAT,25,36,32,2914,32.4,11,3,8,3,3,6,0,0.34,0.09,0.43,0.25,0.34,Matchs
Federico Fernández\f25b010f,ar ARG,DF,26,32,32,2880,32.0,1,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,Matchs
Jack Cork\74e12f1e,eng ENG,MT,26,35,28,2546,28.3,1,2,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matchs
Wayne Routledge\1d387eee,eng ENG,MTAT,30,28,22,1672,18.6,2,1,2,0,0,3,0,0.11,0.05,0.16,0.11,0.16,Matchs
Ki Sung-yueng\1d8c99b0,kr KOR,MT,26,28,21,1850,20.6,2,1,2,0,0,4,0,0.10,0.05,0.15,0.10,0.15,Matchs
Àngel Rangel\93ee387c,es ESP,DF,32,23,20,1820,20.2,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kyle Naughton\e860c42f,eng ENG,DF,26,27,19,1769,19.7,0,3,0,0,0,2,1,0.00,0.15,0.15,0.00,0.15,Matchs
Leon Britton\b92dd711,eng ENG,MT,32,25,19,1520,16.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Bafétimbi Gomis\3d6686f9,fr FRA,AT,29,33,18,1703,18.9,6,0,5,1,1,0,0,0.32,0.00,0.32,0.26,0.26,Matchs
Jefferson Montero\fa6561bf,ec ECU,MTAT,25,23,14,1355,15.1,0,2,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matchs
Jonjo Shelvey\3727dd3c,eng ENG,MT,23,16,14,1216,13.5,1,2,0,1,1,5,0,0.07,0.15,0.22,0.00,0.15,Matchs
Leroy Fer\3cefa66a,nl NED,MT,25,11,9,756,8.4,0,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matchs
Alberto Paloschi\b5cae4e6,it ITA,ATMT,25,10,7,667,7.4,2,0,2,0,0,2,0,0.27,0.00,0.27,0.27,0.27,Matchs
Modou Barrow\75783f5f,gm GAM,MTAT,22,22,6,791,8.8,1,2,1,0,0,0,0,0.11,0.23,0.34,0.11,0.34,Matchs
Jordi Amat\d70a2141,es ESP,DF,23,8,5,463,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stephen Kingsley\488cc9c7,sct SCO,DF,21,4,4,355,3.9,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matchs
Kyle Bartley\18e96f64,eng ENG,DF,24,5,3,286,3.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Éder\f0fc9d0e,pt POR,AT,27,13,2,276,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Grimes\81a487b9,eng ENG,DF,20,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kristoffer Nordfeldt\78549904,se SWE,GB,26,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Marvin Emnes\a5900d91,nl NED,MT,27,2,1,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jay Fulton\434ad289,sct SCO,MT,21,2,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nathan Dyer\6dfd5af0,eng ENG,ATMT,27,1,0,19,0.2,0,1,0,0,0,0,0,0.00,4.74,4.74,0.00,4.74,Matchs
Kenji Gorré\52d1a4c6,cw CUW,ATMT,20,0,0,,,,,,,,,,,,,,,Matchs
Franck Tabanou\15e1afd5,fr FRA,DFAT,26,0,0,,,,,,,,,,,,,,,Matchs
Gerhard Tremmel\4370cecc,de GER,GB,36,0,0,,,,,,,,,,,,,,,Matchs
Josh Vickers\20f077eb,eng ENG,GB,19,0,0,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,27.6,38,418,3420,38.0,41,25,36,5,5,0,0,1.08,0.66,1.74,0.95,1.61,
Total adversaire,,,27.0,38,418,3420,38.0,49,33,47,2,2,81,5,1.29,0.87,2.16,1.24,2.11,
