,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
David de Gea\7ba6d84e,es ESP,GB,25,35,35,3150,35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Pogba\867239d3,fr FRA,MT,23,30,29,2608,29.0,5,4,5,0,0,7,0,0.17,0.14,0.31,0.17,0.31,Matchs
Antonio Valencia\08aa17d0,ec ECU,DF,30,28,27,2483,27.6,1,3,1,0,0,5,0,0.04,0.11,0.14,0.04,0.14,Matchs
Ander Herrera\436a9dd0,es ESP,MT,26,31,27,2464,27.4,1,5,1,0,0,6,2,0.04,0.18,0.22,0.04,0.22,Matchs
Zlatan Ibrahimović\4cde5509,se SWE,AT,34,28,27,2438,27.1,17,5,15,2,3,7,0,0.63,0.18,0.81,0.55,0.74,Matchs
Eric Bailly\a1232f4e,ci CIV,DF,22,25,24,2058,22.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Daley Blind\691bef82,nl NED,DF,26,23,20,1830,20.3,1,2,1,0,0,2,0,0.05,0.10,0.15,0.05,0.15,Matchs
Juan Mata\29733c72,es ESP,MTAT,28,25,19,1614,17.9,6,3,6,0,0,3,0,0.33,0.17,0.50,0.33,0.50,Matchs
Marcos Rojo\e0991c04,ar ARG,DF,26,21,18,1663,18.5,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matchs
Marouane Fellaini\87575fd9,be BEL,MT,28,28,18,1605,17.8,1,0,1,0,0,9,1,0.06,0.00,0.06,0.06,0.06,Matchs
Michael Carrick\ab7263c1,eng ENG,MT,35,23,18,1600,17.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
