,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Nathan Aké\eaeca114,nl NED,DF,23,38,38,3411,37.9,4,0,4,0,0,3,0,0.11,0.00,0.11,0.11,0.11,2.7,2.7,0.7,3.5,0.07,0.02,0.09,0.07,0.09,Matchs
Ryan Fraser\d56543a0,sct SCO,MTAT,24,38,35,3166,35.2,7,14,7,0,0,2,0,0.20,0.40,0.60,0.20,0.60,4.8,4.8,11.3,16.1,0.14,0.32,0.46,0.14,0.46,Matchs
Joshua King\43458538,no NOR,ATMT,26,35,34,2961,32.9,12,3,7,5,6,3,0,0.36,0.09,0.46,0.21,0.30,12.6,8.1,4.9,13.0,0.38,0.15,0.53,0.25,0.39,Matchs
Steve Cook\3e5e4e63,eng ENG,DF,27,31,31,2786,31.0,1,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,1.2,1.2,1.1,2.3,0.04,0.04,0.07,0.04,0.07,Matchs
Callum Wilson\c596fcb0,eng ENG,AT,26,30,29,2528,28.1,14,9,13,1,2,3,0,0.50,0.32,0.82,0.46,0.78,15.2,13.7,5.1,18.9,0.54,0.18,0.73,0.49,0.67,Matchs
Jefferson Lerma\9b5ce51a,co COL,MT,23,30,29,2506,27.8,2,0,2,0,0,12,0,0.07,0.00,0.07,0.07,0.07,1.0,1.0,0.9,1.9,0.04,0.03,0.07,0.04,0.07,Matchs
David Brooks\dc4cae05,wls WAL,MTAT,21,30,29,2261,25.1,7,5,7,0,0,3,0,0.28,0.20,0.48,0.28,0.48,6.1,6.1,4.1,10.2,0.24,0.16,0.41,0.24,0.41,Matchs
Adam Smith\20b104bc,eng ENG,DF,27,25,25,2066,23.0,1,1,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,0.7,0.7,0.6,1.3,0.03,0.02,0.06,0.03,0.06,Matchs
Asmir Begović\7b4de647,ba BIH,GB,31,24,24,2160,24.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Dan Gosling\7fec31a0,eng ENG,MT,28,25,19,1739,19.3,2,1,2,0,0,8,0,0.10,0.05,0.16,0.10,0.16,1.6,1.6,1.4,3.0,0.09,0.07,0.16,0.09,0.16,Matchs
Charlie Daniels\9d107085,eng ENG,DF,31,21,17,1585,17.6,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.4,0.4,0.6,1.0,0.02,0.03,0.06,0.02,0.06,Matchs
Andrew Surman\7d41b619,eng ENG,MT,31,18,16,1439,16.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.2,0.02,0.05,0.07,0.02,0.07,Matchs
Simon Francis\1e0b6a73,eng ENG,DF,33,17,13,1229,13.7,0,2,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,1.4,1.4,0.01,0.10,0.11,0.01,0.11,Matchs
Nathaniel Clyne\0442183b,eng ENG,DF,27,14,13,1143,12.7,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matchs
Artur Boruc\34ccf6fa,pl POL,GB,38,12,12,1080,12.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Junior Stanislas\6992791d,eng ENG,MTAT,28,23,11,1031,11.5,2,3,1,1,1,1,0,0.17,0.26,0.44,0.09,0.35,3.4,2.6,1.9,4.5,0.29,0.17,0.46,0.23,0.39,Matchs
Chris Mepham\fed96827,wls WAL,DF,20,13,10,850,9.4,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Jordon Ibe\9f736ed2,eng ENG,MTAT,22,19,9,797,8.9,1,1,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,0.9,0.9,1.1,1.9,0.10,0.12,0.22,0.10,0.22,Matchs
Lewis Cook\2afc7272,eng ENG,MT,21,13,8,723,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.01,0.02,0.01,0.02,Matchs
Diego Rico\d9ba39fc,es ESP,DF,25,12,5,612,6.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.0,1.3,0.03,0.15,0.18,0.03,0.18,Matchs
Jack Simpson\76fa5f80,eng ENG,DF,21,6,4,403,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.01,0.04,0.03,0.04,Matchs
Dominic Solanke\e77dc3b2,eng ENG,AT,20,10,2,347,3.9,0,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,0.9,0.9,0.6,1.5,0.23,0.16,0.39,0.23,0.39,Matchs
Mark Travers\fe558029,ie IRL,GB,19,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Tyrone Mings\8397a50c,eng ENG,DF,25,5,2,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matchs
Lys Mousset\d9cfca3d,fr FRA,ATMT,22,24,1,368,4.1,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,1.5,1.5,0.4,1.9,0.37,0.11,0.48,0.37,0.48,Matchs
Emerson Hyndman\3be1a627,us USA,MT,22,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Jermain Defoe\f1e8372d,eng ENG,AT,35,4,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,1.68,0.00,1.68,1.68,1.68,Matchs
Sam Surridge\b017b770,eng ENG,ATDF,20,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,2.70,0.44,3.14,2.70,3.14,Matchs
Matt Butcher\b170cfa2,eng ENG,MT,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Nnamdi Ofoborh\76bca47e,ng NGA,MT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Marc Pugh\9aacb284,eng ENG,ATMT,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Kyle Taylor\0bb6d386,eng ENG,MT,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,26.6,38,418,3420,38.0,55,43,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,54.4,47.6,38.3,85.9,1.43,1.01,2.44,1.25,2.26,
Total adversaire,,,26.8,38,418,3420,38.0,67,48,62,5,5,91,9,1.76,1.26,3.03,1.63,2.89,55.7,51.9,36.4,88.3,1.47,0.96,2.42,1.37,2.32,
