,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Aaron Ramsdale\466fb2c5,eng ENG,GB,22,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00,Matchs
George Baldock\394854c4,eng ENG,DF,27,32,32,2787,31.0,0,2,0,0,0,7,0,0.00,0.06,0.06,0.00,0.06,1.1,1.1,1.7,2.8,0.04,0.05,0.09,0.04,0.09,Matchs
Chris Basham\1aa84968,eng ENG,DFMT,32,31,31,2576,28.6,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,0.8,0.8,0.8,1.6,0.03,0.03,0.05,0.03,0.05,Matchs
Enda Stevens\17d4507a,ie IRL,DF,30,30,30,2700,30.0,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,1.1,1.1,1.6,2.7,0.04,0.05,0.09,0.04,0.09,Matchs
John Egan\debe38a0,ie IRL,DF,27,31,30,2629,29.2,0,1,0,0,0,7,1,0.00,0.03,0.03,0.00,0.03,0.7,0.7,0.3,1.0,0.02,0.01,0.03,0.02,0.03,Matchs
John Fleck\b63e789d,sct SCO,MT,28,31,29,2575,28.6,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.9,0.9,2.7,3.5,0.03,0.09,0.12,0.03,0.12,Matchs
David McGoldrick\dbe56a33,ie IRL,ATMT,32,35,28,2397,26.6,8,1,8,0,0,7,0,0.30,0.04,0.34,0.30,0.34,6.9,6.9,1.3,8.2,0.26,0.05,0.31,0.26,0.31,Matchs
Oliver Norwood\43439614,nir NIR,MT,29,32,26,2220,24.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.7,2.1,0.02,0.07,0.09,0.02,0.09,Matchs
Ethan Ampadu\10b9fa99,wls WAL,DFMT,19,25,23,2089,23.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06,Matchs
John Lundstram\0df2b165,eng ENG,MT,26,28,23,2032,22.6,0,2,0,0,1,8,1,0.00,0.09,0.09,0.00,0.09,2.0,1.3,1.2,2.5,0.09,0.05,0.14,0.06,0.11,Matchs
Ben Osborn\79bc4c45,eng ENG,MTDF,25,24,17,1604,17.8,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matchs
Oliver Burke\f631c17f,sct SCO,AT,23,25,14,1269,14.1,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.4,2.4,1.8,4.2,0.17,0.13,0.30,0.17,0.30,Matchs
Sander Berge\d0b6129f,no NOR,MT,22,15,13,1120,12.4,1,1,0,1,1,4,0,0.08,0.08,0.16,0.00,0.08,1.2,0.5,1.2,1.7,0.10,0.10,0.20,0.04,0.14,Matchs
Oliver McBurnie\78b8ac63,sct SCO,AT,24,23,12,1324,14.7,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,3.1,3.1,1.1,4.1,0.21,0.07,0.28,0.21,0.28,Matchs
Rhian Brewster\30e81a88,eng ENG,AT,20,27,12,1128,12.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,1.7,3.4,0.14,0.13,0.27,0.14,0.27,Matchs
Jayden Bogle\ae5019e6,eng ENG,DF,20,16,12,1110,12.3,2,0,2,0,0,2,0,0.16,0.00,0.16,0.16,0.16,1.8,1.8,0.2,2.0,0.14,0.01,0.16,0.14,0.16,Matchs
Kean Bryan\c684d3c9,eng ENG,DF,23,13,12,1004,11.2,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.4,0.8,0.04,0.03,0.07,0.04,0.07,Matchs
Jack Robinson\7399c7a8,eng ENG,DF,26,11,9,877,9.7,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,0.9,1.2,0.04,0.09,0.13,0.04,0.13,Matchs
Billy Sharp\e8c9f4e9,eng ENG,AT,34,16,7,735,8.2,3,0,1,2,2,1,0,0.37,0.00,0.37,0.12,0.12,2.7,1.2,0.6,1.8,0.33,0.07,0.40,0.15,0.22,Matchs
Max Lowe\7af88b33,eng ENG,DF,23,8,7,550,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04,Matchs
Phil Jagielka\3233eefd,eng ENG,DF,37,10,6,526,5.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Daniel Jebbison\03edb878,eng ENG,AT,17,4,3,284,3.2,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,1.6,1.6,0.0,1.6,0.50,0.01,0.51,0.50,0.51,Matchs
Lys Mousset\d9cfca3d,fr FRA,ATMT,24,11,2,296,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.1,0.22,0.10,0.32,0.22,0.32,Matchs
Jack O'Connell\312626c1,eng ENG,DF,26,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Iliman Ndiaye\5ed97752,fr FRA,MT,20,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Antwoine Hackford\a7588cdc,eng ENG,ATDF,16,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.16,0.00,1.16,1.16,1.16,Matchs
Femi Seriki\e4e0deaa,eng ENG,DF,18,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Harry Boyes\467bf546,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Zak Brunt\a31f0ebf,eng ENG,MT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Wes Foderingham\96cf7b61,eng ENG,GB,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Kyron Gordon\f4aba1af,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Frankie Maguire\3e5bd5e0,eng ENG,MT,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
William Osula\7b355808,dk DEN,AT,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Michael Verrips\424595d5,nl NED,GB,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,26.7,38,418,3420,38.0,19,13,16,3,4,73,3,0.50,0.34,0.84,0.42,0.76,31.4,28.4,22.6,51.0,0.83,0.60,1.42,0.75,1.34,
Total adversaire,,,26.7,38,418,3420,38.0,60,45,57,3,4,39,1,1.58,1.18,2.76,1.50,2.68,62.4,59.5,43.4,102.8,1.64,1.14,2.78,1.56,2.71,
