Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester United,38,28,5,5,83,27,+56,89,75826,Cristiano Ronaldo - 17,Edwin van der Sar,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Chelsea,38,24,11,3,64,24,+40,83,41542,Didier Drogba - 20,Petr Čech,→ UEFA Champions League grâce à sa bonne place dans le classement et victoire en FA Cup et victoire en League Cup
3,Liverpool,38,20,8,10,57,27,+30,68,43561,Dirk Kuyt - 12,Pepe Reina,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Arsenal,38,19,11,8,63,35,+28,68,60140,Robin van Persie - 11,Jens Lehmann,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Tottenham Hotspur,38,17,9,12,57,54,+3,60,35739,Dimitar Berbatov - 12,Paul Robinson,→ UEFA Europa League grâce à sa bonne place dans le classement
6,Everton,38,15,13,10,52,36,+16,58,36739,Andrew Johnson - 11,Tim Howard,→ UEFA Europa League grâce à sa bonne place dans le classement 1
7,Bolton Wanderers,38,16,8,14,47,52,-5,56,23606,Nicolas Anelka - 11,Jussi Jääskeläinen,→ UEFA Europa League grâce à sa bonne place dans le classement 2
8,Reading,38,16,7,15,52,47,+5,55,23829,Kevin Doyle - 13,Marcus Hahnemann,
9,Portsmouth,38,14,12,12,45,42,+3,54,19862,Nwankwo Kanu - 10,David James,
10,Blackburn Rovers,38,15,7,16,52,54,-2,52,21271,Benni McCarthy - 18,Brad Friedel,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
11,Aston Villa,38,11,17,10,43,41,+2,50,36214,Gabby Agbonlahor - 9,Thomas Sørensen,
12,Middlesbrough,38,12,10,16,44,49,-5,46,27730,Mark Viduka - 14,Mark Schwarzer,
13,Newcastle United,38,11,10,17,38,47,-9,43,50686,Obafemi Martins - 11,Shay Given,
14,Manchester City,38,11,9,18,29,44,-15,42,39997,Joey Barton - 6,Nicky Weaver,
15,West Ham United,38,12,5,21,35,59,-24,41,34722,Bobby Zamora - 11,Robert Green,
16,Fulham,38,8,15,15,38,60,-22,39,22279,Brian McBride - 9,Antti Niemi,
17,Wigan Athletic,38,10,8,20,37,59,-22,38,18159,Emile Heskey - 9,Chris Kirkland,
18,Sheffield United,38,10,8,20,32,55,-23,38,30684,Rob Hulse - 8,Paddy Kenny,Relégué
19,Charlton Athletic,38,8,10,20,34,60,-26,34,26195,Darren Bent - 13,Scott Carson,Relégué
20,Watford,38,5,13,20,29,59,-30,28,18750,Hameur Bouazza - 5,Ben Foster,Relégué
