Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Huddersfield Town,42,10,8,3,31,10,11,8,2,38,18,2.464,58,League Champions
2,West Bromwich Albion,42,13,6,2,40,17,10,4,7,18,17,1.706,56,
3,Bolton Wanderers,42,18,2,1,61,13,4,9,8,15,21,2.235,55,
4,Liverpool,42,13,5,3,43,20,7,5,9,20,35,1.145,50,
5,Bury,42,13,4,4,35,20,4,11,6,19,31,1.059,49,
6,Newcastle United,42,11,6,4,43,18,5,10,6,18,24,1.452,48,
7,Sunderland,42,13,6,2,39,14,6,4,11,25,37,1.255,48,
8,Birmingham,42,10,8,3,27,17,7,4,10,22,36,0.925,46,
9,Notts County,42,11,6,4,29,12,5,7,9,13,19,1.355,45,
10,Manchester City,42,11,7,3,44,29,6,2,13,32,39,1.118,43,
11,Cardiff City,42,11,5,5,35,19,5,6,10,21,32,1.098,43,
12,Tottenham Hotspur,42,9,8,4,32,16,6,4,11,20,27,1.209,42,
13,West Ham United,42,12,7,2,37,12,3,5,13,25,48,1.033,42,
14,Sheffield United,42,10,5,6,34,25,3,8,10,21,38,0.873,39,FA Cup Winners
15,Aston Villa,42,10,7,4,34,25,3,6,12,24,46,0.817,39,
16,Blackburn Rovers,42,7,6,8,31,26,4,7,10,22,40,0.803,35,
17,Everton,42,11,4,6,25,20,1,7,13,15,40,0.667,35,
18,Leeds United,42,9,8,4,29,17,2,4,15,17,42,0.780,34,
19,Burnley,42,7,8,6,28,31,4,4,13,18,44,0.613,34,
20,Arsenal,42,12,3,6,33,17,2,2,17,13,41,0.793,33,
21,Preston North End,42,8,2,11,29,35,2,4,15,8,39,0.500,26,Relegated
22,Nottingham Forest,42,5,6,10,17,23,1,6,14,12,42,0.446,24,
