Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Liverpool (C),42,26,10,6,89,37,52,88,Excluded from the European Cup[6]
2,Everton[a],42,26,8,8,87,41,46,86,Excluded from the European Cup Winners' Cup[7]
3,West Ham United,42,26,6,10,74,40,34,84,Excluded from the UEFA Cup[8]
4,Manchester United,42,22,10,10,70,36,34,76,
5,Sheffield Wednesday[b],42,21,10,11,63,54,9,73,
6,Chelsea,42,20,11,11,57,56,1,71,
7,Arsenal,42,20,9,13,49,47,2,69,
8,Nottingham Forest,42,19,11,12,69,53,16,68,
9,Luton Town,42,18,12,12,61,44,17,66,
10,Tottenham Hotspur,42,19,8,15,74,52,22,65,
11,Newcastle United,42,17,12,13,67,72,?5,63,
12,Watford,42,16,11,15,69,62,7,59,
13,Queens Park Rangers,42,15,7,20,53,64,?11,52,
14,Southampton,42,12,10,20,51,62,?11,46,
15,Manchester City,42,11,12,19,43,57,?14,45,
16,Aston Villa,42,10,14,18,51,67,?16,44,
17,Coventry City,42,11,10,21,48,71,?23,43,
18,Oxford United[c],42,10,12,20,62,80,?18,42,Excluded from the UEFA Cup[8]
19,Leicester City,42,10,12,20,54,76,?22,42,
20,Ipswich Town (R),42,11,8,23,32,55,?23,41,Relegation to the Second Division
21,Birmingham City (R),42,8,5,29,30,73,?43,29,
22,West Bromwich Albion (R),42,4,12,26,35,89,?54,24,
