,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Peter Atherton\1bcd6fc7,eng ENG,DFMT,22,39,39,3457,38.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
John Williams\1fb6cf8f,eng ENG,AT,24,41,38,3645,40.5,8,4,8,0,0,4,0,0.20,0.10,0.30,0.20,0.30,Matchs
Brian Borrows\7062d368,eng ENG,DF,31,38,36,3124,34.7,2,1,1,1,1,1,0,0.06,0.03,0.09,0.03,0.06,Matchs
Lee Hurst\d9b365a2,eng ENG,DFMT,21,35,35,3044,33.8,2,3,2,0,0,2,0,0.06,0.09,0.15,0.06,0.15,Matchs
Steve Ogrizovic\3f847d67,eng ENG,GB,34,33,33,2970,33.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matchs
Robert Rosario\0d4641b8,eng ENG,AT,26,28,28,2484,27.6,4,,,,,6,0,0.14,,,,,Matchs
Phil Babb\37af386a,ie IRL,DF,21,34,27,2944,32.7,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matchs
Peter Ndlovu\1adcef64,zw ZIM,AT,19,32,27,2344,26.0,7,3,7,0,0,0,0,0.27,0.12,0.38,0.27,0.38,Matchs
Micky Quinn\532367e6,eng ENG,AT,30,26,26,2244,24.9,17,4,16,1,2,4,1,0.68,0.16,0.84,0.64,0.80,Matchs
Kenny Sansom\bc5b0493,eng ENG,DF,33,21,21,1845,20.5,0,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matchs
Andy Pearce\fd9d0118,eng ENG,DF,26,24,21,1824,20.3,1,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matchs
Lloyd McGrath\d65851c3,eng ENG,MT,27,25,20,1566,17.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Micky Gynn\11189d39,eng ENG,MT,30,20,18,1644,18.3,2,2,2,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matchs
Roy Wegerle\9dccac09,us USA,ATMT,28,28,16,1344,14.9,4,2,4,0,0,2,0,0.27,0.13,0.40,0.27,0.40,Matchs
Stewart Robson\0c8e813b,eng ENG,MT,27,15,14,1245,13.8,0,2,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matchs
David Busst\4fb135bb,eng ENG,DF,25,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jonathan Gould\6b5e5380,sct SCO,GB,24,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Rennie\f179f420,sct SCO,DFMT,27,9,9,802,8.9,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matchs
Terry Fleming\1a789078,eng ENG,MT,19,11,8,824,9.2,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matchs
David Smith\96c639d7,eng ENG,MT,24,6,6,512,5.7,1,1,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35,Matchs
Sean Flynn\256609db,eng ENG,MT,24,7,4,211,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Peter Billing\1bc7428d,eng ENG,DF,27,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Leigh Jenkinson\bb296134,eng ENG,MT,23,5,2,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Williams\fa12ea4d,nir NIR,AT,28,2,1,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Craig Middleton\cf0e9b87,eng ENG,MT,21,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Chris Greenman\1cf8f7d2,eng ENG,DF,23,2,1,84,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Tony Sheridan\ffed7e39,ie IRL,MT,17,1,1,70,0.8,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Keith Rowland\59b07c21,nir NIR,DF,20,2,0,14,0.2,0,1,0,0,0,0,0,0.00,6.43,6.43,0.00,6.43,Matchs
Willie Boland\be13a103,ie IRL,MT,16,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,26.4,42,453,,,48,27,46,2,3,31,1,1.14,0.64,1.79,1.10,1.74,
Total adversaire,,,26.3,42,,,,,,,,,,,,,,,,
