,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Nigel Martyn\8977904e,eng ENG,GB,25,42,42,3780,42.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Eddie McGoldrick\a85fecd3,ie IRL,DFAT,27,42,42,3442,38.2,8,4,8,0,0,3,0,0.21,0.10,0.31,0.21,0.31,Matchs
Eric Young\81777ab3,wls WAL,DF,32,38,38,3085,34.3,6,0,6,0,0,7,0,0.18,0.00,0.18,0.18,0.18,Matchs
Chris Armstrong\effa559a,eng ENG,AT,21,35,35,3104,34.5,15,2,15,0,1,3,1,0.43,0.06,0.49,0.43,0.49,Matchs
Andy Thorn\5da80251,eng ENG,DF,25,34,34,3052,33.9,1,2,1,0,0,2,1,0.03,0.06,0.09,0.03,0.09,Matchs
Gareth Southgate\a29c3ed6,eng ENG,DF,21,33,33,2970,33.0,3,4,3,0,0,1,0,0.09,0.12,0.21,0.09,0.21,Matchs
Richard Shaw\88b5bd84,eng ENG,DF,23,33,32,2897,32.2,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matchs
Chris Coleman\811de5ec,wls WAL,DF,22,38,31,2442,27.1,5,4,5,0,0,1,0,0.18,0.15,0.33,0.18,0.33,Matchs
Geoff Thomas\6e7dda12,eng ENG,MT,27,29,28,2577,28.6,2,2,2,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matchs
John Humphrey\fd4b4bf4,eng ENG,DF,31,32,28,2542,28.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Simon Osborn\f8c8fb04,eng ENG,MT,20,31,27,2477,27.5,2,1,2,0,0,0,0,0.07,0.04,0.11,0.07,0.11,Matchs
Simon Rodger\673eb256,eng ENG,MT,20,23,22,1965,21.8,2,2,2,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matchs
Lee Sinnott\b8ad14aa,eng ENG,DF,27,19,18,1633,18.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Williams\1c904a24,eng ENG,AT,26,18,15,1412,15.7,0,2,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matchs
John Salako\2749f5b7,eng ENG,MT,23,13,12,1090,12.1,0,6,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matchs
Dean Gordon\6405b4da,eng ENG,DFMT,19,10,6,442,4.9,0,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matchs
Bobby Bowry\d242b1cd,kn SKN,ATMT,21,11,6,412,4.6,1,2,1,0,0,0,0,0.22,0.44,0.66,0.22,0.66,Matchs
George Ndah\8439f41c,eng ENG,AT,17,13,4,464,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Grant Watts\95bacaa1,eng ENG,AT,18,4,2,98,1.1,0,1,0,0,0,0,0,0.00,0.92,0.92,0.00,0.92,Matchs
Ricky Newman\9e407813,eng ENG,MT,21,2,1,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Mortimer\f9df85b2,eng ENG,MT,24,1,1,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stan Collymore\eed4ff30,eng ENG,AT,21,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stuart Massey\db4eec2e,eng ENG,MT,27,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.1,42,457,,,45,30,45,0,1,27,3,1.07,0.71,1.79,1.07,1.79,
Total adversaire,,,26.4,42,,,,,,,,,,,,,,,,
