,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Tim Flowers\df3b6e40,eng ENG,GB,25,42,42,3780,42.0,0,1,0,0,0,1,0,0.00,0.02,0.02,0.00,0.02,Matchs
Matt Le Tissier\d5e78451,eng ENG,ATMT,23,40,40,3512,39.0,15,10,13,2,2,4,0,0.38,0.26,0.64,0.33,0.59,Matchs
Micky Adams\852a4f4d,eng ENG,DF,30,38,38,3245,36.1,4,3,4,0,0,6,1,0.11,0.08,0.19,0.11,0.19,Matchs
Iain Dowie\7853411c,nir NIR,AT,27,36,34,3111,34.6,11,5,11,0,0,7,0,0.32,0.14,0.46,0.32,0.46,Matchs
Neil Maddison\10691ae9,eng ENG,DFMT,22,37,33,3211,35.7,4,2,4,0,0,0,0,0.11,0.06,0.17,0.11,0.17,Matchs
Ken Monkou\25daebfd,nl NED,DF,27,33,33,2970,33.0,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matchs
Francis Benali\91950851,eng ENG,DF,23,33,31,2844,31.6,0,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,Matchs
Terry Hurlock\28691fe0,eng ENG,MT,33,30,30,2655,29.5,0,1,0,0,0,6,1,0.00,0.03,0.03,0.00,0.03,Matchs
Richard Hall\5bab2982,eng ENG,DF,20,28,28,2520,28.0,4,2,4,0,0,6,0,0.14,0.07,0.21,0.14,0.21,Matchs
Jason Dodd\df15c7a1,eng ENG,DF,21,30,27,2555,28.4,1,2,1,0,0,0,0,0.04,0.07,0.11,0.04,0.11,Matchs
Jeff Kenna\cf4038bb,ie IRL,DF,21,29,27,2334,25.9,2,2,2,0,0,0,0,0.08,0.08,0.15,0.08,0.15,Matchs
Glenn Cockerill\94985e8b,eng ENG,MT,32,23,21,1985,22.1,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matchs
Kevin Moore\74e06767,eng ENG,DF,34,18,18,1605,17.8,2,1,2,0,0,3,0,0.11,0.06,0.17,0.11,0.17,Matchs
Perry Groves\a8b9d723,eng ENG,MT,27,15,13,1215,13.5,2,1,2,0,0,2,0,0.15,0.07,0.22,0.15,0.22,Matchs
Tommy Widdrington\b14d86b4,eng ENG,MT,20,12,11,984,10.9,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matchs
David Speedie\ccdc43e6,sct SCO,AT,32,11,11,977,10.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nicky Banger\488db4da,eng ENG,AT,21,27,10,1412,15.7,6,4,6,0,0,0,0,0.38,0.25,0.64,0.38,0.64,Matchs
Kerry Dixon\fb72e11f,eng ENG,AT,31,9,8,742,8.2,2,0,2,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matchs
Steve Wood\9878fa75,eng ENG,DF,29,4,4,360,4.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Paul Moody\044574b7,eng ENG,AT,25,3,2,119,1.3,0,,0,0,,1,0,0.00,,,0.00,,Matchs
Matthew Bound\642e959a,eng ENG,DF,19,3,1,90,1.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Lee Powell\dfe8527f,wls WAL,AT,19,2,0,73,0.8,0,,0,0,,0,0,0.00,,,0.00,,Matchs
David Lee\f6c7c3ec,,MT,24,1,0,36,0.4,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Neal Bartlett\034f6650,eng ENG,MT,17,1,0,20,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Derek Allan\d7037190,,DF,17,1,0,11,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,26.3,42,455,,,54,38,52,2,2,51,3,1.29,0.90,2.19,1.24,2.14,
Total adversaire,,,26.3,42,,,,,,,,,,,,,,,,
