,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Kevin Richardson\cffbb5c8,eng ENG,MT,30,40,40,3597,40.0,5,5,5,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matchs
Earl Barrett\225696d1,eng ENG,DF,26,39,39,3510,39.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Shaun Teale\96db05d1,eng ENG,DF,29,38,37,3310,36.8,1,1,1,0,0,5,0,0.03,0.03,0.05,0.03,0.05,Matchs
Dean Saunders\c1435456,wls WAL,AT,29,38,37,3257,36.2,10,3,7,3,3,0,0,0.28,0.08,0.36,0.19,0.28,Matchs
Andy Townsend\976c90a4,ie IRL,MT,30,32,32,2701,30.0,3,6,3,0,0,2,0,0.10,0.20,0.30,0.10,0.30,Matchs
Paul McGrath\2f129582,ie IRL,DF,33,30,30,2642,29.4,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matchs
Dalian Atkinson\40094615,eng ENG,AT,25,29,29,2541,28.2,8,5,8,0,0,1,0,0.28,0.18,0.46,0.28,0.46,Matchs
Mark Bosnich\9b46bcb7,au AUS,GB,21,29,28,2584,28.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ray Houghton\61888b3f,ie IRL,MT,31,30,25,2270,25.2,2,3,2,0,0,0,0,0.08,0.12,0.20,0.08,0.20,Matchs
Steve Staunton\cb617782,ie IRL,DFMT,24,24,24,2089,23.2,3,1,3,0,0,2,0,0.13,0.04,0.17,0.13,0.17,Matchs
Tony Daley\0f36be43,eng ENG,MT,25,27,19,1892,21.0,1,3,1,0,0,0,0,0.05,0.14,0.19,0.05,0.19,Matchs
Garry Parker\54ae7f03,eng ENG,MT,27,19,17,1532,17.0,2,2,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,Matchs
Neil Cox\dee2b65d,eng ENG,DF,21,20,16,1488,16.5,2,1,2,0,0,2,0,0.12,0.06,0.18,0.12,0.18,Matchs
Ugo Ehiogu\bd8d3cd5,eng ENG,DF,20,17,14,1281,14.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nigel Spink\cbdaf1c1,eng ENG,GB,34,15,14,1266,14.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matchs
Guy Whittingham\2a222ae2,eng ENG,AT,28,18,13,1102,12.2,3,0,3,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matchs
Gordon Cowans\85478ea1,eng ENG,MT,34,11,9,878,9.8,0,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matchs
Graham Fenton\d2fd5e70,eng ENG,MT,19,12,9,847,9.4,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matchs
Steve Froggatt\35003e24,eng ENG,MT,20,9,8,734,8.2,1,0,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matchs
Bryan Small\a4614157,eng ENG,DF,21,9,8,702,7.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stefan Beinlich\f1c2030c,de GER,MT,21,7,6,532,5.9,1,1,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matchs
David Farrell\e4019381,eng ENG,MT,21,4,4,297,3.3,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Dwight Yorke\2d0a99d3,tt TRI,ATMT,21,12,2,427,4.7,2,1,2,0,0,0,0,0.42,0.21,0.63,0.42,0.63,Matchs
Matthias Breitkreutz\dacb5c1e,de GER,MT,22,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Dariusz Kubicki\b8945f5b,pl POL,DF,30,2,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,27.4,42,458,,,45,28,42,3,3,22,1,1.07,0.67,1.74,1.00,1.67,
Total adversaire,,,26.6,42,,,,,,,,,,,,,,,,
