,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Frank Yallop\3d12308f,ca CAN,DF,30,41,41,3659,40.7,1,2,1,0,0,4,0,0.02,0.05,0.07,0.02,0.07,Matchs
Geraint Williams\aba3c370,wls WAL,MT,32,38,38,3355,37.3,1,4,1,0,0,4,0,0.03,0.11,0.13,0.03,0.13,Matchs
Craig Forrest\b253de9c,ca CAN,GB,26,37,37,3330,37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Linighan\db86533d,eng ENG,DF,29,32,31,2693,29.9,0,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,Matchs
Claus Thomsen\75cc86bc,dk DEN,DF,24,33,31,2618,29.1,5,4,5,0,0,0,0,0.17,0.14,0.31,0.17,0.31,Matchs
Steve Sedgley\4afed0b6,eng ENG,DFMT,26,26,26,2295,25.5,4,1,4,0,0,2,0,0.16,0.04,0.20,0.16,0.20,Matchs
John Wark\b035baf1,sct SCO,MT,36,26,26,2196,24.4,4,4,1,3,3,3,1,0.16,0.16,0.33,0.04,0.20,Matchs
Stuart Slater\f64699aa,eng ENG,ATMT,25,27,22,2068,23.0,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,Matchs
Alex Mathie\01147747,sct SCO,AT,25,22,22,1175,13.1,3,2,3,0,0,0,0,0.23,0.15,0.38,0.23,0.38,Matchs
Simon Milton\272a4d87,eng ENG,MT,30,25,19,1774,19.7,2,1,2,0,0,3,0,0.10,0.05,0.15,0.10,0.15,Matchs
Paul Mason\2e2236b9,eng ENG,MT,30,21,19,1674,18.6,3,5,3,0,,2,0,0.16,0.27,0.43,0.16,0.43,Matchs
Gavin Johnson\0a548b42,eng ENG,DFMT,23,17,14,1334,14.8,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matchs
Mick Stockwell\c3572260,eng ENG,MT,29,15,14,1271,14.1,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matchs
Ian Marshall\859cc903,eng ENG,DFAT,28,18,14,1223,13.6,3,1,3,0,0,0,0,0.22,0.07,0.29,0.22,0.29,Matchs
Adrián Paz\326b5656,uy URU,ATMT,25,17,13,1168,13.0,1,2,1,0,0,1,0,0.08,0.15,0.23,0.08,0.23,Matchs
Phil Whelan\e2887e98,eng ENG,DF,22,13,12,1007,11.2,0,1,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,Matchs
Lee Chapman\2fecb27a,eng ENG,AT,34,16,12,933,10.4,1,2,1,0,0,1,0,0.10,0.19,0.29,0.10,0.29,Matchs
Boncho Genchev\55905401,bg BUL,ATMT,30,15,11,1053,11.7,1,1,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,Matchs
Steve Palmer\1f27a6dd,eng ENG,DF,26,12,10,919,10.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Tony Vaughan\aac7ce23,eng ENG,DFMT,18,10,10,842,9.4,0,,0,0,,4,0,0.00,,,0.00,,Matchs
Neil Thompson\7f572947,eng ENG,DF,30,10,9,868,9.6,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Eddie Youds\869d6ad3,eng ENG,DF,24,10,9,844,9.4,0,,0,0,,4,0,0.00,,,0.00,,Matchs
Adam Tanner\53ebba8b,,DFMT,20,10,9,840,9.3,2,,2,0,,1,0,0.21,,,0.21,,Matchs
Chris Swailes\c48f4e7c,eng ENG,DF,23,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Wright\d9e2e2ae,eng ENG,GB,16,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Clive Baker\458fd40a,,GB,35,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lee Norfolk\855c0ea7,nz NZL,MT,18,3,1,154,1.7,0,1,0,0,0,0,0,0.00,0.58,0.58,0.00,0.58,Matchs
Phil Morgan\736f523c,eng ENG,GB,19,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kevin Ellis\9a76fb84,eng ENG,DF,17,1,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Neil Gregory\195c2b0b,eng ENG,AT,21,2,0,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Leo Cotterell\93ba306c,eng ENG,DF,19,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Gregory\ca561fc4,,MT,24,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,28.1,42,405,,,27,21,24,3,3,51,2,0.64,0.50,1.14,0.57,1.07,
Total adversaire,,,26.5,42,,,,,,,,,,,,,,,,
