,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Nigel Pearson\abe6b945,eng ENG,DF,31,36,36,3138,34.9,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matchs
Neil Cox\dee2b65d,eng ENG,DF,23,35,35,3150,35.0,2,1,2,0,0,7,0,0.06,0.03,0.09,0.06,0.09,Matchs
Nick Barmby\4af0a400,eng ENG,ATMT,21,32,32,2880,32.0,7,7,7,0,1,4,0,0.22,0.22,0.44,0.22,0.44,Matchs
Steve Vickers\4b0dbeef,eng ENG,DF,27,32,32,2880,32.0,1,2,1,0,0,1,0,0.03,0.06,0.09,0.03,0.09,Matchs
Gary Walsh\82dc3961,eng ENG,GB,27,32,32,2880,32.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jamie Pollock\d6eae203,eng ENG,MT,21,31,31,2635,29.3,1,2,1,0,0,9,0,0.03,0.07,0.10,0.03,0.10,Matchs
Jan Åge Fjørtoft\c5694827,no NOR,AT,28,28,27,2341,26.0,6,4,6,0,0,3,0,0.23,0.15,0.38,0.23,0.38,Matchs
Derek Whyte\97e8d820,sct SCO,DF,26,25,24,2091,23.2,0,1,0,0,0,8,1,0.00,0.04,0.04,0.00,0.04,Matchs
Chris Morris\0412a4df,ie IRL,DF,31,23,22,1980,22.0,2,1,2,0,0,9,0,0.09,0.05,0.14,0.09,0.14,Matchs
Robbie Mustoe\2c02df03,eng ENG,MT,26,21,21,1814,20.2,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matchs
Juninho Paulista\093373a5,br BRA,MT,22,21,20,1673,18.6,2,3,2,0,0,2,0,0.11,0.16,0.27,0.11,0.27,Matchs
Craig Hignett\04f2da3e,eng ENG,ATMT,25,22,18,1629,18.1,5,1,3,2,2,3,0,0.28,0.06,0.33,0.17,0.22,Matchs
Curtis Fleming\2b507014,ie IRL,DF,26,13,13,1143,12.7,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matchs
Craig Liddle\2b5b82c1,eng ENG,DF,23,13,12,1125,12.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Phil Stamp\f50ed0f5,eng ENG,MT,19,12,11,920,10.2,2,1,2,0,0,0,0,0.20,0.10,0.29,0.20,0.29,Matchs
Phil Whelan\e2887e98,eng ENG,DF,23,13,9,888,9.9,1,0,1,0,0,4,1,0.10,0.00,0.10,0.10,0.10,Matchs
John Hendrie\aedb61c3,sct SCO,ATMT,31,13,7,720,8.0,1,1,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matchs
Alan Miller\ba82c15d,eng ENG,GB,25,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Graham Kavanagh\dc15f511,ie IRL,MT,21,7,6,523,5.8,1,1,0,1,1,0,0,0.17,0.17,0.34,0.00,0.17,Matchs
Alan Moore\ee3b147f,ie IRL,MT,20,12,5,629,7.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matchs
Branco\7691db8d,br BRA,DF,31,7,5,422,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Clayton Blackmore\bd616538,wls WAL,DFMT,30,5,4,382,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jaime Moreno\863c44fc,bo BOL,AT,21,7,2,239,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Keith O'Halloran\bc41d3c1,ie IRL,MT,19,3,2,218,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Wilkinson\05b94f7b,eng ENG,AT,30,3,2,210,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matchs
Chris Freestone\bc5ee3a8,eng ENG,AT,23,3,2,195,2.2,1,1,1,0,0,0,0,0.46,0.46,0.92,0.46,0.92,Matchs
Bryan Robson\40d8240b,eng ENG,MT,38,2,1,154,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Michael Barron\bb66d963,eng ENG,DF,20,1,1,90,1.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Andy Campbell\8dde3e19,eng ENG,AT,16,2,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mark Summerbell\f92c694b,eng ENG,MT,18,1,0,51,0.6,0,,0,0,,1,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,26.0,38,418,,,34,27,31,3,4,72,3,0.89,0.71,1.61,0.82,1.53,
Total adversaire,,,26.7,38,,,,,,,,,,,,,,,,
