,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Colin Cooper\42f93b8f,eng ENG,DF,29,36,36,3173,35.3,2,1,2,0,0,9,0,0.06,0.03,0.09,0.06,0.09,Matchs
Mark Crossley\51a772b8,wls WAL,GB,27,33,33,2970,33.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stuart Pearce\39243ce6,eng ENG,DF,34,33,33,2850,31.7,5,4,3,2,3,8,0,0.16,0.13,0.28,0.09,0.22,Matchs
Dean Saunders\c1435456,wls WAL,AT,32,34,33,2850,31.7,3,3,3,0,0,0,0,0.09,0.09,0.19,0.09,0.19,Matchs
Alf-Inge Håland\3ae21039,no NOR,DFMT,23,35,33,2844,31.6,6,1,6,0,0,5,0,0.19,0.03,0.22,0.19,0.22,Matchs
Steve Chettle\9a59ff12,eng ENG,DF,27,32,31,2835,31.5,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matchs
Des Lyttle\8cc40692,eng ENG,DF,24,32,30,2690,29.9,1,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matchs
Ian Woan\c70172f3,eng ENG,MT,28,32,29,2555,28.4,1,1,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,Matchs
David Phillips\28f79f34,wls WAL,DFMT,33,27,24,2257,25.1,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matchs
Scot Gemmill\27e0c651,sct SCO,MT,25,24,18,1781,19.8,0,2,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10,Matchs
Chris Allen\88a68b02,eng ENG,MT,23,24,16,1480,16.4,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matchs
Kevin Campbell\b209e651,eng ENG,AT,26,17,16,1403,15.6,6,4,6,0,0,3,0,0.38,0.26,0.64,0.38,0.64,Matchs
Chris Bart-Williams\250d1973,eng ENG,DFMT,22,16,16,1357,15.1,1,1,1,0,0,1,0,0.07,0.07,0.13,0.07,0.13,Matchs
Nikola Jerkan\7bdc14bf,hr CRO,DF,31,14,14,1185,13.2,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nigel Clough\3cd439de,eng ENG,ATMT,30,13,10,908,10.1,1,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matchs
Bryan Roy\f30a9664,nl NED,ATMT,26,20,8,843,9.4,3,0,3,0,0,1,0,0.32,0.00,0.32,0.32,0.32,Matchs
Pierre van Hooijdonk\ba534926,nl NED,AT,26,8,8,720,8.0,1,2,1,0,0,4,0,0.12,0.25,0.37,0.12,0.37,Matchs
Steve Blatherwick\3a7648dc,eng ENG,DF,22,7,7,533,5.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jason Lee\e9c268b6,eng ENG,AT,25,13,5,631,7.0,1,2,1,0,0,1,0,0.14,0.29,0.43,0.14,0.43,Matchs
Steve Stone\4592c48e,eng ENG,MT,24,5,5,352,3.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Brian O'Neil\779598dc,sct SCO,MT,23,5,4,371,4.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Alan Fettis\d9079df2,nir NIR,GB,25,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Vance Warner\0a18ed58,eng ENG,DF,21,3,2,247,2.7,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Ian Thomas-Moore\9c89ccea,eng ENG,ATMT,19,5,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Tommy Wright\a5e01fbe,nir NIR,GB,32,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Andrea Silenzi\750ceb3e,it ITA,AT,30,2,1,77,0.9,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Steve Guinan\e42ddbe5,eng ENG,AT,20,2,0,52,0.6,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Paul McGregor\ac63a2ed,eng ENG,AT,21,5,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Bobby Howe\0b68aff5,eng ENG,MT,22,1,0,8,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,27.9,38,415,,,31,22,29,2,3,67,1,0.82,0.58,1.39,0.76,1.34,
Total adversaire,,,27.0,38,,,,,,,,,,,,,,,,
