,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Kevin Pressman\3f2ff0b9,eng ENG,GB,28,38,38,3402,37.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ian Nolan\6587459a,nir NIR,DF,26,38,38,3375,37.5,1,2,1,0,0,3,0,0.03,0.05,0.08,0.03,0.08,Matchs
Peter Atherton\1bcd6fc7,eng ENG,DFMT,26,37,37,3314,36.8,2,1,2,0,0,7,0,0.05,0.03,0.08,0.05,0.08,Matchs
Des Walker\4e1b2261,eng ENG,DF,30,36,36,3160,35.1,0,2,0,0,0,2,1,0.00,0.06,0.06,0.00,0.06,Matchs
Mark Pembridge\0f9d5dee,wls WAL,MT,25,34,33,2909,32.3,6,8,5,1,2,8,0,0.19,0.25,0.43,0.15,0.40,Matchs
Andy Booth\bdf267e7,eng ENG,AT,22,35,32,2799,31.1,10,3,10,0,0,3,0,0.32,0.10,0.42,0.32,0.42,Matchs
Guy Whittingham\2a222ae2,eng ENG,AT,31,33,29,2428,27.0,3,1,3,0,0,0,0,0.11,0.04,0.15,0.11,0.15,Matchs
Dejan Stefanović\1efa2799,rs SRB,DF,21,29,27,2411,26.8,2,1,2,0,0,7,0,0.07,0.04,0.11,0.07,0.11,Matchs
Benito Carbone\ad76f0c4,it ITA,AT,24,25,24,2129,23.7,6,6,5,1,2,3,0,0.25,0.25,0.51,0.21,0.47,Matchs
David Hirst\e274c78d,eng ENG,AT,28,25,20,1631,18.1,6,3,6,0,0,3,1,0.33,0.17,0.50,0.33,0.50,Matchs
Steve Nicol\f8cf9d0b,sct SCO,DF,34,23,19,1560,17.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Regi Blinker\c14cbc10,nl NED,ATMT,27,33,15,1596,17.7,1,4,1,0,0,7,0,0.06,0.23,0.28,0.06,0.28,Matchs
Graham Hyde\1cedc407,eng ENG,MT,25,19,15,1402,15.6,2,0,2,0,0,5,0,0.13,0.00,0.13,0.13,0.13,Matchs
Ritchie Humphreys\67423398,eng ENG,DFAT,18,29,14,1290,14.3,3,2,3,0,0,2,0,0.21,0.14,0.35,0.21,0.35,Matchs
Jon Newsome\4e8e407f,eng ENG,DF,25,10,10,900,10.0,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matchs
Orlando Trustfull\b4b249e7,nl NED,MT,25,19,9,870,9.7,3,2,3,0,0,3,0,0.31,0.21,0.52,0.31,0.52,Matchs
Wayne Collins\3792daf7,eng ENG,MT,27,12,8,791,8.8,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matchs
Scott Oakes\cfdc5034,eng ENG,MT,23,19,7,712,7.9,1,1,1,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matchs
Lee Briscoe\49c0435b,eng ENG,DFMT,20,6,5,427,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
O'Neill Donaldson\154a889e,eng ENG,AT,26,5,2,232,2.6,2,0,2,0,0,0,0,0.78,0.00,0.78,0.78,0.78,Matchs
John Sheridan\85f0a5ee,ie IRL,MT,31,2,0,54,0.6,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Mike Williams\c0b1df23,eng ENG,AT,26,1,0,21,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Mark Bright\681a0456,eng ENG,AT,34,1,0,15,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Matt Clarke\673a6776,eng ENG,GB,22,1,0,10,0.1,0,,0,0,,1,1,0.00,,,0.00,,Matchs
Total de l'équipe,,,26.6,38,418,,,50,29,48,2,4,52,2,1.32,0.76,2.08,1.26,2.03,
Total adversaire,,,26.9,38,,,,,,,,,,,,,,,,
