,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Nigel Martyn\8977904e,eng ENG,GB,34,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ian Harte\fd4fa092,ie IRL,DF,23,36,34,3139,34.9,5,4,4,1,1,1,0,0.14,0.11,0.26,0.11,0.23,Matchs
Mark Viduka\c4c545c7,au AUS,AT,25,33,33,2967,33.0,11,7,11,0,0,3,0,0.33,0.21,0.55,0.33,0.55,Matchs
Dominic Matteo\f6ea8457,sct SCO,DFMT,27,32,32,2782,30.9,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matchs
Rio Ferdinand\52465662,eng ENG,DF,22,31,31,2790,31.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matchs
Robbie Fowler\7cd34266,eng ENG,AT,26,33,31,1853,20.6,15,4,15,0,1,3,0,0.73,0.19,0.92,0.73,0.92,Matchs
David Batty\21b2e37b,eng ENG,MT,32,36,30,2731,30.3,0,2,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,Matchs
Danny Mills\240e4301,eng ENG,DF,24,28,28,2495,27.7,1,2,1,0,0,11,2,0.04,0.07,0.11,0.04,0.11,Matchs
Harry Kewell\51ef13b9,au AUS,ATMT,22,27,26,2178,24.2,8,3,8,0,0,2,0,0.33,0.12,0.45,0.33,0.45,Matchs
Lee Bowyer\f4fd57ba,eng ENG,MT,24,25,24,2170,24.1,5,5,5,0,0,6,1,0.21,0.21,0.41,0.21,0.41,Matchs
Eirik Bakke\5a10a72e,no NOR,MT,23,27,20,1951,21.7,2,1,2,0,0,6,0,0.09,0.05,0.14,0.09,0.14,Matchs
Gary Kelly\1832e33c,ie IRL,DF,27,20,19,1712,19.0,0,3,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matchs
Seth Johnson\5915b54c,eng ENG,ATMT,22,21,19,1663,18.5,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matchs
Alan Smith\fdac06ea,eng ENG,ATMT,20,23,19,1638,18.2,4,3,4,0,0,6,1,0.22,0.16,0.38,0.22,0.38,Matchs
Robbie Keane\f45e1bb2,ie IRL,AT,21,25,16,1620,18.0,3,4,3,0,0,3,0,0.17,0.22,0.39,0.17,0.39,Matchs
Olivier Dacourt\3a114b3c,fr FRA,MT,26,17,16,1205,13.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jonathan Woodgate\9482a3bd,eng ENG,DF,21,10,10,852,9.5,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matchs
Jason Wilcox\6b9fa9ad,eng ENG,ATMT,30,13,4,517,5.7,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matchs
Michael Duberry\db61b520,eng ENG,DF,25,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stephen McPhail\60c96516,ie IRL,MT,21,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Alan Maybury\a2a6ec2e,ie IRL,DF,22,1,0,15,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.9,38,433,,,54,46,53,1,2,70,5,1.42,1.21,2.63,1.39,2.61,
Total adversaire,,,27.1,38,,,,,,,,,,,,,,,,
