,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Brad Friedel\b8c0a975,us USA,GB,31,37,37,3330,37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lucas Neill\b6cf046f,au AUS,DF,24,34,34,2993,33.3,0,2,0,0,0,9,1,0.00,0.06,0.06,0.00,0.06,Matchs
Garry Flitcroft\dc6356ad,eng ENG,MT,29,33,33,2805,31.2,2,0,2,0,0,4,1,0.06,0.00,0.06,0.06,0.06,Matchs
Andy Cole\b6638a2c,eng ENG,AT,30,34,32,2875,31.9,7,6,7,0,0,6,0,0.22,0.19,0.41,0.22,0.41,Matchs
Tugay Kerimoğlu\543e7bda,tr TUR,MT,31,37,32,2820,31.3,1,1,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06,Matchs
Martin Taylor\08840bbf,eng ENG,DF,22,33,29,2691,29.9,3,0,3,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matchs
Craig Short\ff7178f7,eng ENG,DF,34,27,26,2287,25.4,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matchs
Damien Duff\057a6936,ie IRL,ATMT,23,26,26,2252,25.0,9,5,9,0,0,3,0,0.36,0.20,0.56,0.36,0.56,Matchs
David Dunn\7ecdf483,eng ENG,MT,22,28,26,2195,24.4,8,4,4,4,5,1,0,0.33,0.16,0.49,0.16,0.33,Matchs
Dwight Yorke\2d0a99d3,tt TRI,ATMT,30,33,25,2325,25.8,8,3,7,1,1,1,0,0.31,0.12,0.43,0.27,0.39,Matchs
David Thompson\5696222a,eng ENG,MT,24,23,23,2002,22.2,4,3,4,0,0,6,0,0.18,0.13,0.31,0.18,0.31,Matchs
Nils-Eric Johansson\c281ba3e,se SWE,DF,22,30,20,2037,22.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matchs
Henning Berg\ad77f84e,no NOR,DF,32,16,15,1276,14.2,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matchs
Keith Gillespie\012f440e,nir NIR,ATMT,27,25,10,1192,13.2,0,3,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matchs
Vratislav Greško\81bc6dbe,sk SVK,DF,25,10,10,888,9.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jay McEveley\c5c63c9a,sct SCO,DF,17,9,9,619,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Egil Østenstad\bc242ac0,no NOR,AT,30,17,8,755,8.4,1,3,1,0,0,2,0,0.12,0.36,0.48,0.12,0.48,Matchs
Andy Todd\1b9ecd06,eng ENG,DF,27,12,7,688,7.6,1,0,1,0,0,3,1,0.13,0.00,0.13,0.13,0.13,Matchs
Hakan Şükür\7a6fce9a,tr TUR,AT,30,9,7,615,6.8,2,1,2,0,0,1,0,0.29,0.15,0.44,0.29,0.44,Matchs
John Curtis\3edb83bf,eng ENG,DF,23,5,5,305,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Corrado Grabbi\c85faa9b,it ITA,AT,27,11,1,200,2.2,1,0,1,0,0,2,0,0.45,0.00,0.45,0.45,0.45,Matchs
Craig Hignett\04f2da3e,eng ENG,ATMT,32,3,1,110,1.2,1,0,1,0,0,0,0,0.82,0.00,0.82,0.82,0.82,Matchs
Alan Kelly Jr.\fc4c6bb9,ie IRL,GB,33,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Neil Danns\8081f166,gy GUY,MT,19,2,1,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Jansen\fac73006,eng ENG,AT,24,7,0,84,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Alan Mahon\fbe1f1d0,ie IRL,MT,24,2,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Gallagher\9f0fb63c,sct SCO,ATMT,17,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jonathan Douglas\7670e1c6,ie IRL,MT,20,1,0,2,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,27.7,38,418,,,50,38,45,5,6,55,4,1.32,1.00,2.32,1.18,2.18,
Total adversaire,,,26.9,38,,,,,,,,,,,,,,,,
