,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Frank Lampard\268df6b1,eng ENG,MT,25,38,38,3378,37.5,10,5,8,2,2,3,0,0.27,0.13,0.40,0.21,0.35,Matchs
John Terry\68517cfd,eng ENG,DF,22,33,33,2965,32.9,2,2,2,0,0,5,0,0.06,0.06,0.12,0.06,0.12,Matchs
Wayne Bridge\86b982bc,eng ENG,DF,22,33,33,2964,32.9,1,4,1,0,0,1,0,0.03,0.12,0.15,0.03,0.15,Matchs
Scott Parker\65faf2a1,eng ENG,MT,22,31,27,2375,26.4,3,2,3,0,0,7,1,0.11,0.08,0.19,0.11,0.19,Matchs
Claude Makélélé\c27d01de,fr FRA,MT,30,30,26,2398,26.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Carlo Cudicini\df77463a,it ITA,GB,29,26,26,2340,26.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
William Gallas\286fb7e0,fr FRA,DF,25,29,23,2091,23.2,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matchs
Jimmy Floyd Hasselbaink\db8a04d1,nl NED,AT,31,30,22,1990,22.1,13,5,11,2,2,6,0,0.59,0.23,0.81,0.50,0.72,Matchs
Adrian Mutu\7af7fbd8,ro ROU,ATMT,24,25,21,1759,19.5,6,4,6,0,0,5,0,0.31,0.20,0.51,0.31,0.51,Matchs
Mario Melchiot\1f5e2ed9,nl NED,DF,26,23,20,1838,20.4,2,0,2,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matchs
Geremi\3571f3d1,cm CMR,DFMT,24,25,19,1745,19.4,1,4,1,0,0,0,1,0.05,0.21,0.26,0.05,0.26,Matchs
Jesper Grønkjær\afe43b0f,dk DEN,ATMT,25,31,19,1656,18.4,2,2,2,0,0,5,0,0.11,0.11,0.22,0.11,0.22,Matchs
Joe Cole\2c2f117b,eng ENG,MT,21,35,18,1648,18.3,1,5,1,0,0,3,0,0.05,0.27,0.33,0.05,0.33,Matchs
Eiður Guðjohnsen\32fc9ff2,is ISL,ATMT,24,26,17,1557,17.3,6,2,6,0,0,1,1,0.35,0.12,0.46,0.35,0.46,Matchs
Glen Johnson\8cceca90,eng ENG,DF,18,19,17,1505,16.7,3,1,3,0,0,3,0,0.18,0.06,0.24,0.18,0.24,Matchs
Damien Duff\057a6936,ie IRL,ATMT,24,23,17,1464,16.3,5,9,5,0,0,0,0,0.31,0.55,0.86,0.31,0.86,Matchs
Marcel Desailly\9dfb97aa,fr FRA,DFMT,34,15,15,1331,14.8,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matchs
Hernán Crespo\09089343,ar ARG,AT,28,19,13,1146,12.7,10,0,10,0,0,1,0,0.79,0.00,0.79,0.79,0.79,Matchs
Robert Huth\0bd1ea64,de GER,DF,18,16,8,788,8.8,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matchs
Marco Ambrosio\055b2cff,it ITA,GB,30,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Juan Sebastián Verón\f11a57c1,ar ARG,MT,28,7,5,483,5.4,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matchs
Celestine Babayaro\dd4e6b97,ng NGA,DFMT,24,6,5,440,4.9,1,2,1,0,0,0,0,0.20,0.41,0.61,0.20,0.61,Matchs
Neil Sullivan\2ea16583,sct SCO,GB,33,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Emmanuel Petit\291358c4,fr FRA,DFMT,32,4,3,264,2.9,0,1,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matchs
Alexis Nicolas\a18d30fa,cy CYP,MT,20,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mario Stanić\c5c88be5,hr CRO,ATMT,31,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Filipe Oliveira\d0351477,pt POR,DFMT,19,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.8,38,438,,,67,58,63,4,4,44,3,1.76,1.53,3.29,1.66,3.18,
Total adversaire,,,27.3,38,,,,,,,,,,,,,,,,
