,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Jussi Jääskeläinen\340d2a24,fi FIN,GB,30,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kevin Davies\2f726a89,eng ENG,AT,28,37,37,3141,34.9,7,7,7,0,0,10,0,0.20,0.20,0.40,0.20,0.40,Matchs
Kevin Nolan\3d307105,eng ENG,MT,23,36,35,3114,34.6,9,4,9,0,0,7,0,0.26,0.12,0.38,0.26,0.38,Matchs
Tal Ben Haim\2277a390,il ISR,DF,23,35,32,2840,31.6,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matchs
Stelios Giannakopoulos\29a5f7d3,gr GRE,ATMT,31,34,29,2540,28.2,9,4,9,0,0,4,0,0.32,0.14,0.46,0.32,0.46,Matchs
Gary Speed\5ca13d11,wls WAL,MT,35,31,29,2475,27.5,4,3,2,2,2,2,0,0.15,0.11,0.25,0.07,0.18,Matchs
Bruno N'Gotty\95682207,fr FRA,DF,34,29,27,2449,27.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ricardo Gardner\b6a1eaa0,jm JAM,DFMT,26,30,27,2411,26.8,0,2,0,0,0,3,1,0.00,0.07,0.07,0.00,0.07,Matchs
Abdoulaye Faye\99df1bff,sn SEN,DFMT,27,25,23,1931,21.5,1,1,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,Matchs
Joey O'Brien\ce46f501,ie IRL,DFMT,19,23,22,1976,22.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jay-Jay Okocha\66ceb871,ng NGA,MT,31,27,18,1619,18.0,1,2,1,0,1,1,0,0.06,0.11,0.17,0.06,0.17,Matchs
El Hadji Diouf\1a4542c8,sn SEN,ATMT,24,20,17,1413,15.7,3,1,3,0,0,5,0,0.19,0.06,0.25,0.19,0.25,Matchs
Henrik Pedersen\8ef377c5,dk DEN,AT,30,21,15,1452,16.1,1,0,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matchs
Radhi Jaïdi\8ff60fb9,tn TUN,DF,29,16,15,1229,13.7,3,2,3,0,0,1,0,0.22,0.15,0.37,0.22,0.37,Matchs
Hidetoshi Nakata\917ee796,jp JPN,MT,28,21,14,1279,14.2,1,2,1,0,0,2,1,0.07,0.14,0.21,0.07,0.21,Matchs
Nicky Hunt\0e9b2f57,eng ENG,DF,21,19,12,1239,13.8,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matchs
Iván Campo\b655e58d,es ESP,DFMT,31,15,8,862,9.6,2,0,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matchs
Ricardo Vaz Tê\238aa706,pt POR,ATMT,18,22,6,835,9.3,3,4,3,0,0,3,0,0.32,0.43,0.75,0.32,0.75,Matchs
Jared Borgetti\f983f0d2,mx MEX,AT,31,19,5,543,6.0,2,0,2,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matchs
Khalilou Fadiga\0946c6b7,sn SEN,MT,30,8,5,311,3.5,1,0,1,0,1,2,0,0.29,0.00,0.29,0.29,0.29,Matchs
Matt Jansen\fac73006,eng ENG,AT,27,10,4,371,4.1,0,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matchs
Martin Djetou\59a231bb,fr FRA,DFMT,30,3,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Fabrice Fernandes\9838d388,fr FRA,MT,25,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jarosław Fojut\283667b4,pl POL,DF,17,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,28.0,38,419,,,47,33,45,2,4,64,3,1.24,0.87,2.11,1.18,2.05,
Total adversaire,,,26.7,38,,,,,,,,,,,,,,,,
