,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Jens Lehmann\d1ca1129,de GER,GB,36,36,36,3240,36.0,0,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,Matchs
Kolo Touré\3301c9f4,ci CIV,DF,25,35,35,3150,35.0,3,2,3,0,0,6,0,0.09,0.06,0.14,0.09,0.14,Matchs
Cesc Fàbregas\33508c78,es ESP,ATMT,19,38,34,3180,35.3,2,11,2,0,0,7,0,0.06,0.31,0.37,0.06,0.37,Matchs
Gilberto Silva\6e6e1b83,br BRA,DFMT,29,34,34,2937,32.6,10,2,5,5,6,2,1,0.31,0.06,0.37,0.15,0.21,Matchs
Alexander Hleb\35cf43aa,by BLR,MT,25,33,27,2362,26.2,2,4,2,0,0,1,0,0.08,0.15,0.23,0.08,0.23,Matchs
Gaël Clichy\450ad405,fr FRA,DF,21,27,26,2349,26.1,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matchs
Emmanuel Eboué\1bfae04c,ci CIV,DFMT,23,24,23,2061,22.9,0,4,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matchs
Tomáš Rosický\dbb688e3,cz CZE,MT,25,26,22,1836,20.4,3,1,3,0,0,3,0,0.15,0.05,0.20,0.15,0.20,Matchs
Emmanuel Adebayor\936d9e3e,tg TOG,AT,22,29,21,1985,22.1,8,3,7,1,1,2,0,0.36,0.14,0.50,0.32,0.45,Matchs
William Gallas\286fb7e0,fr FRA,DF,28,21,21,1881,20.9,3,0,3,0,0,4,0,0.14,0.00,0.14,0.14,0.14,Matchs
Johan Djourou\b8673e18,ch SUI,DF,19,21,18,1541,17.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Justin Hoyte\b57b7582,tt TRI,DF,21,22,18,1506,16.7,1,0,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matchs
Robin van Persie\3fcab3a8,nl NED,AT,22,22,17,1461,16.2,11,3,10,1,1,8,0,0.68,0.18,0.86,0.62,0.80,Matchs
Thierry Henry\c0c5ee74,fr FRA,AT,28,17,16,1474,16.4,10,4,7,3,3,1,0,0.61,0.24,0.85,0.43,0.67,Matchs
Freddie Ljungberg\5d9e8825,se SWE,ATMT,29,18,16,1205,13.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Júlio Baptista\44557475,br BRA,ATMT,24,24,11,1131,12.6,3,2,3,0,0,0,0,0.24,0.16,0.40,0.24,0.40,Matchs
Mathieu Flamini\148d4105,fr FRA,MT,22,20,9,958,10.6,3,1,3,0,0,3,0,0.28,0.09,0.38,0.28,0.38,Matchs
Philippe Senderos\b1d82fc2,ch SUI,DF,21,14,9,809,9.0,0,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00,Matchs
Abou Diaby\8c8b5071,fr FRA,MT,20,12,9,743,8.3,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matchs
Theo Walcott\1ecb65be,eng ENG,ATMT,17,16,5,638,7.1,0,3,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matchs
Jérémie Aliadière\68ef3d96,fr FRA,ATMT,23,11,4,422,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Denílson\2f07dee0,br BRA,MT,18,10,4,383,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matchs
Manuel Almunia\9f6b2f8c,es ESP,GB,29,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mart Poom\f60f19b7,ee EST,GB,34,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.1,38,417,,,60,48,50,10,11,51,3,1.58,1.26,2.84,1.32,2.58,
Total adversaire,,,26.7,38,,,,,,,,,,,,,,,,
