,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
David James\86841dfb,eng ENG,GB,35,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Linvoy Primus\9098de87,eng ENG,DF,32,36,36,3145,34.9,2,0,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matchs
Gary O'Neil\754d4ac4,eng ENG,MT,23,35,35,3092,34.4,1,4,1,0,0,7,0,0.03,0.12,0.15,0.03,0.15,Matchs
Sol Campbell\3e3b2fbd,eng ENG,DFAT,31,32,32,2880,32.0,1,2,1,0,0,1,0,0.03,0.06,0.09,0.03,0.09,Matchs
Nwankwo Kanu\12578cde,ng NGA,AT,29,36,32,2726,30.3,10,2,10,0,1,3,0,0.33,0.07,0.40,0.33,0.40,Matchs
Matthew Taylor\3b2c9cac,eng ENG,DFMT,24,35,30,2687,29.9,8,4,7,1,1,4,0,0.27,0.13,0.40,0.23,0.37,Matchs
Sean Davis\c3feaa94,eng ENG,MT,26,30,29,2496,27.7,0,5,0,0,0,5,0,0.00,0.18,0.18,0.00,0.18,Matchs
Glen Johnson\8cceca90,eng ENG,DF,21,26,25,2257,25.1,0,2,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matchs
Pedro Mendes\801c23c5,pt POR,MT,27,26,25,2084,23.2,2,3,2,0,0,3,1,0.09,0.13,0.22,0.09,0.22,Matchs
Benjani Mwaruwari\9fc277ee,zw ZIM,AT,27,31,25,2041,22.7,6,3,6,0,0,0,0,0.26,0.13,0.40,0.26,0.40,Matchs
Noé Pamarot\6036afc6,fr FRA,DF,27,23,21,1809,20.1,2,0,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matchs
Dejan Stefanović\1efa2799,rs SRB,DF,31,20,20,1706,19.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Niko Kranjčar\403d2184,hr CRO,MT,21,24,11,1282,14.2,2,2,2,0,0,0,0,0.14,0.14,0.28,0.14,0.28,Matchs
Richard Hughes\7ff95c96,sct SCO,MT,27,18,11,1048,11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Djimi Traoré\b8c992d8,ml MLI,DF,26,10,10,808,9.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matchs
Lauren\0c662413,cm CMR,DF,29,10,9,798,8.9,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matchs
Lomana LuaLua\27bd6d81,cd COD,ATMT,25,22,8,946,10.5,2,0,1,1,1,0,0,0.19,0.00,0.19,0.10,0.10,Matchs
Andy Cole\b6638a2c,eng ENG,AT,34,18,5,669,7.4,3,1,3,0,0,1,0,0.40,0.13,0.54,0.40,0.54,Matchs
Roudolphe Douala\abe5cc24,cm CMR,ATMT,27,7,1,243,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Arnold Mvuemba\50fd977e,cd COD,ATMT,21,7,1,220,2.4,1,0,1,0,0,1,0,0.41,0.00,0.41,0.41,0.41,Matchs
Andy O'Brien\1719f6b2,ie IRL,DF,27,3,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ognjen Koroman\c9188b7f,rs SRB,MT,27,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,28.4,38,405,,,40,31,38,2,3,51,1,1.05,0.82,1.87,1.00,1.82,
Total adversaire,,,26.5,38,,,,,,,,,,,,,,,,
