,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Gavin Mahon\410f9002,eng ENG,MT,29,34,33,2940,32.7,1,0,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Matchs
Tommy Smith\066be641,eng ENG,ATMT,26,32,32,2609,29.0,1,3,1,0,0,2,0,0.03,0.10,0.14,0.03,0.14,Matchs
Jordan Stewart\99bd8581,eng ENG,DFMT,24,31,30,2681,29.8,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matchs
Jay DeMerit\a554b51e,us USA,DF,26,32,29,2755,30.6,2,0,2,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matchs
Ben Foster\d0b3ceb9,eng ENG,GB,23,29,29,2565,28.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Damien Francis\5a0cd907,jm JAM,MT,27,32,28,2481,27.6,4,1,4,0,0,5,0,0.15,0.04,0.18,0.15,0.18,Matchs
Hameur Bouazza\baca4d08,dz ALG,ATMT,21,32,27,2353,26.1,5,3,4,1,1,3,0,0.19,0.11,0.31,0.15,0.27,Matchs
Danny Shittu\5936d7ac,ng NGA,DF,25,30,27,2343,26.0,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matchs
Darius Henderson\ea503cef,eng ENG,AT,24,35,24,2195,24.4,3,1,2,1,1,3,0,0.12,0.04,0.16,0.08,0.12,Matchs
Lloyd Doyley\d206d76b,jm JAM,DF,23,21,17,1619,18.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Adrian Mariappa\8aa5f52c,jm JAM,DF,19,19,17,1557,17.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Malky Mackay\d565039b,sct SCO,DF,34,14,13,1182,13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Marlon King\0fc9488a,jm JAM,AT,26,13,12,1122,12.5,4,1,3,1,1,0,0,0.32,0.08,0.40,0.24,0.32,Matchs
Al Bangura\525719c7,sl SLE,MT,18,16,12,1085,12.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Chris Powell\721060d9,eng ENG,DF,36,15,9,862,9.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Lee\624f2897,eng ENG,GB,23,10,9,854,9.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
James Chambers\4f2a1eb0,eng ENG,DF,25,12,8,726,8.1,0,2,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matchs
Tamás Priskin\706da989,hu HUN,AT,19,16,7,752,8.4,2,2,2,0,0,2,1,0.24,0.24,0.48,0.24,0.48,Matchs
Douglas Rinaldi\45f0f38d,br BRA,MT,26,7,6,436,4.8,1,1,1,0,0,1,0,0.21,0.21,0.41,0.21,0.41,Matchs
Will Hoskins\25ba1c55,eng ENG,AT,20,9,4,421,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Clarke Carlisle\4128d875,eng ENG,DF,26,4,4,359,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Anthony McNamee\abd2cf8d,eng ENG,MT,23,7,4,348,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lee Williamson\636ca862,jm JAM,MT,24,5,4,333,3.7,0,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matchs
Matthew Spring\33e1c345,eng ENG,MT,26,6,2,262,2.9,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Gareth Williams\6b103fcd,sct SCO,MT,24,3,2,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Johan Cavalli\efa4038e,fr FRA,MT,24,2,2,121,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Cédric Avinel\a94d93be,gp GLP,DF,19,1,1,46,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Moses Ashikodi\6e3ba254,ag ATG,AT,19,2,0,23,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Albert Jarrett\b2cc7cc0,sl SLE,MT,21,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Theo Robinson\a170bb25,jm JAM,AT,17,1,0,4,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Alec Chamberlain\b74bad11,,GB,42,1,0,1,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,25.4,38,390,,,24,18,21,3,3,48,2,0.63,0.47,1.11,0.55,1.03,
Total adversaire,,,26.5,38,,,,,,,,,,,,,,,,
