,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Simon Mignolet\d436eb94,be BEL,GB,24,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Seb Larsson\b26efc36,se SWE,MT,27,38,36,2977,33.1,1,3,1,0,0,5,0,0.03,0.09,0.12,0.03,0.12,Matchs
Adam Johnson\1ba61951,eng ENG,MT,25,35,35,2924,32.5,5,6,5,0,0,3,0,0.15,0.18,0.34,0.15,0.34,Matchs
John O'Shea\7c1f4685,ie IRL,DFMT,31,34,34,2992,33.2,2,0,2,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matchs
Stéphane Sessègnon\35c5f9b1,bj BEN,ATMT,28,35,34,2886,32.1,7,3,7,0,0,1,1,0.22,0.09,0.31,0.22,0.31,Matchs
Craig Gardner\1117b9ff,eng ENG,MT,25,33,32,2829,31.4,6,2,2,4,4,10,1,0.19,0.06,0.25,0.06,0.13,Matchs
Jack Colback\963a9201,eng ENG,MT,22,35,30,2813,31.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Steven Fletcher\2c9c3502,sct SCO,AT,25,28,28,2366,26.3,11,1,11,0,0,3,0,0.42,0.04,0.46,0.42,0.46,Matchs
Carlos Cuéllar\1222ab35,es ESP,DF,30,26,26,2256,25.1,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,Matchs
Danny Rose\89d10e53,eng ENG,DFMT,22,27,25,2214,24.6,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matchs
James McClean\53538b39,ie IRL,ATMT,23,36,24,2342,26.0,2,3,2,0,0,4,0,0.08,0.12,0.19,0.08,0.19,Matchs
Alfred N'Diaye\7789bf63,sn SEN,DFMT,22,16,15,1295,14.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Titus Bramble\83ac7c3c,eng ENG,DF,31,16,12,1184,13.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Phil Bardsley\1ae30132,sct SCO,DF,27,18,11,984,10.9,1,0,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matchs
Danny Graham\7d7bdee6,eng ENG,AT,26,13,11,951,10.6,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matchs
Lee Cattermole\538e77d5,eng ENG,MT,24,10,10,661,7.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Vaughan\b950cb68,wls WAL,MT,29,24,6,738,8.2,1,0,1,0,0,2,1,0.12,0.00,0.12,0.12,0.12,Matchs
Matthew Kilgallon\7c6a3c44,eng ENG,DF,28,6,6,511,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Connor Wickham\41cc19c2,eng ENG,ATMT,19,12,3,444,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Fraizer Campbell\81d63375,eng ENG,AT,24,12,1,262,2.9,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matchs
Kieran Richardson\d2bf40b4,eng ENG,DFMT,27,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Louis Saha\7106e4fe,fr FRA,AT,33,11,0,196,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Meyler\8ea6417a,ie IRL,MT,23,3,0,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
James McFadden\2cfdae75,sct SCO,ATMT,29,3,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ahmed Elmohamady\615ef733,eg EGY,DFMT,24,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mikael Mandron\47a26e7c,fr FRA,AT,17,2,0,23,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kader Mangane\dbb10755,sn SEN,DFMT,29,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Billy Knott\49809c96,eng ENG,MT,19,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Adam Mitchell\c2a4ce02,ie IRL,ATMT,18,1,0,3,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,26.2,38,418,,,39,24,35,4,4,61,3,1.03,0.63,1.66,0.92,1.55,
Total adversaire,,,26.8,38,,,,,,,,,,,,,,,,
