,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Chris Smalling\b6964eb6,eng ENG,DF,25,35,35,3150,35.0,0,1,0,0,0,8,0,0.00,0.03,0.03,0.00,0.03,Matchs
Daley Blind\691bef82,nl NED,DF,25,35,35,3114,34.6,1,1,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,Matchs
David de Gea\7ba6d84e,es ESP,GB,24,34,34,3060,34.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Juan Mata\29733c72,es ESP,MT,27,38,34,2889,32.1,6,5,5,1,1,5,1,0.19,0.16,0.34,0.16,0.31,Matchs
Anthony Martial\8b788c01,fr FRA,MTAT,19,31,29,2632,29.2,11,4,11,0,0,2,0,0.38,0.14,0.51,0.38,0.51,Matchs
Wayne Rooney\f07be45a,eng ENG,ATMT,29,28,27,2406,26.7,8,6,7,1,1,4,0,0.30,0.22,0.52,0.26,0.49,Matchs
Morgan Schneiderlin\51b41c5c,fr FRA,MT,25,29,25,2205,24.5,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matchs
Matteo Darmian\96e0490d,it ITA,DF,25,28,24,1924,21.4,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,Matchs
Michael Carrick\ab7263c1,eng ENG,MT,34,28,22,1972,21.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jesse Lingard\810e3c74,eng ENG,MT,22,25,19,1632,18.1,4,1,4,0,0,4,0,0.22,0.06,0.28,0.22,0.28,Matchs
Ander Herrera\436a9dd0,es ESP,MT,25,27,17,1532,17.0,3,2,2,1,1,4,0,0.18,0.12,0.29,0.12,0.23,Matchs
Memphis Depay\8f696594,nl NED,MT,21,29,16,1484,16.5,2,0,2,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matchs
Marcos Rojo\e0991c04,ar ARG,DF,25,16,15,1249,13.9,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matchs
Bastian Schweinsteiger\ccc22fea,de GER,MT,30,18,13,1202,13.4,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matchs
Marouane Fellaini\87575fd9,be BEL,MT,27,18,12,1068,11.9,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matchs
Ashley Young\be927d03,eng ENG,DFMT,30,18,11,1065,11.8,1,2,1,0,0,5,0,0.08,0.17,0.25,0.08,0.25,Matchs
Marcus Rashford\a1d5bd30,eng ENG,AT,17,11,11,855,9.5,5,2,5,0,0,0,0,0.53,0.21,0.74,0.53,0.74,Matchs
Antonio Valencia\08aa17d0,ec ECU,DF,29,14,8,857,9.5,0,3,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,Matchs
Cameron Borthwick-Jackson\ff61102d,eng ENG,DF,18,10,6,695,7.7,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matchs
