,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Aleksandar Mitrović\3925dbd6,rs SRB,AT,23,37,37,3280,36.4,11,3,10,1,1,7,0,0.30,0.08,0.38,0.27,0.36,13.0,12.2,2.4,14.6,0.36,0.07,0.42,0.34,0.40,Matchs
Sergio Rico\5f0241b2,es ESP,GB,24,29,29,2610,29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matchs
Denis Odoi\f7750aa0,be BEL,DF,30,31,29,2594,28.8,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,0.9,0.9,0.6,1.4,0.03,0.02,0.05,0.03,0.05,Matchs
Calum Chambers\dc6f5bdd,eng ENG,MTDF,23,31,29,2588,28.8,2,0,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,1.8,1.8,0.7,2.5,0.06,0.02,0.09,0.06,0.09,Matchs
Joe Bryan\af69e7f0,eng ENG,DF,24,28,27,2345,26.1,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,2.1,2.8,0.03,0.08,0.11,0.03,0.11,Matchs
Jean Seri\10efd0e1,ci CIV,MT,27,32,27,2244,24.9,1,2,1,0,0,6,0,0.04,0.08,0.12,0.04,0.12,1.0,1.0,3.7,4.7,0.04,0.15,0.19,0.04,0.19,Matchs
Ryan Sessegnon\6aa3e78b,eng ENG,ATDF,18,35,26,2300,25.6,2,6,2,0,0,0,0,0.08,0.23,0.31,0.08,0.31,3.3,3.3,4.7,8.1,0.13,0.19,0.32,0.13,0.32,Matchs
Maxime Le Marchand\321a71a7,fr FRA,DF,28,26,25,2250,25.0,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.3,0.3,0.6,0.9,0.01,0.02,0.04,0.01,0.04,Matchs
Tim Ream\28b40c9c,us USA,DF,30,26,25,2047,22.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matchs
