,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Christopher Schindler\8ae9869d,de GER,DF,28,37,37,3260,36.2,1,0,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03,0.8,0.8,0.3,1.2,0.02,0.01,0.03,0.02,0.03,Matchs
Terence Kongolo\1f9a3a04,nl NED,DF,24,32,32,2716,30.2,1,1,1,0,0,4,0,0.03,0.03,0.07,0.03,0.07,1.4,1.4,0.9,2.3,0.05,0.03,0.08,0.05,0.08,Matchs
Jonas Lössl\939bc634,dk DEN,GB,29,31,30,2778,30.9,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Matchs
Jonathan Hogg\9306d5ea,eng ENG,MT,29,29,29,2367,26.3,0,1,0,0,0,8,1,0.00,0.04,0.04,0.00,0.04,0.3,0.3,0.7,1.0,0.01,0.03,0.04,0.01,0.04,Matchs
Alex Pritchard\ff9fcd4d,eng ENG,MTAT,25,30,26,2081,23.1,2,0,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,3.3,3.3,1.9,5.3,0.14,0.08,0.23,0.14,0.23,Matchs
Aaron Mooy\47b7e3af,au AUS,MTAT,27,29,25,2330,25.9,3,1,2,1,1,4,0,0.12,0.04,0.15,0.08,0.12,2.6,1.8,2.5,4.3,0.10,0.10,0.19,0.07,0.16,Matchs
Philip Billing\d328a254,dk DEN,MT,22,27,25,2188,24.3,2,0,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08,2.0,2.0,0.9,2.9,0.08,0.04,0.12,0.08,0.12,Matchs
Mathias Jørgensen\0db5d2c8,dk DEN,DF,28,24,24,2147,23.9,3,1,3,0,0,6,0,0.13,0.04,0.17,0.13,0.17,1.6,1.6,0.4,2.1,0.07,0.02,0.09,0.07,0.09,Matchs
Chris Löwe\c6896eab,de GER,DFAT,29,29,23,2057,22.9,0,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.5,0.5,1.5,1.9,0.02,0.06,0.08,0.02,0.08,Matchs
Erik Durm\cf623c78,de GER,DF,26,28,21,2055,22.8,0,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,0.7,1.1,0.02,0.03,0.05,0.02,0.05,Matchs
Florent Hadergjonaj\9aa186b2,xk KVX,DFMT,24,24,19,1842,20.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.6,1.8,0.01,0.08,0.09,0.01,0.09,Matchs
Steve Mounié\19ba6c6d,bj BEN,AT,23,31,19,1778,19.8,2,3,2,0,0,1,1,0.10,0.15,0.25,0.10,0.25,5.0,5.0,1.9,6.9,0.25,0.10,0.35,0.25,0.35,Matchs
Juninho Bacuna\aaf1bf05,cw CUW,MTDF,20,21,16,1412,15.7,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.5,0.5,1.6,2.1,0.03,0.10,0.13,0.03,0.13,Matchs
Elias Kachunga\5bddccc9,cd COD,ATMT,26,20,13,1182,13.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.07,0.01,0.08,0.07,0.08,Matchs
Tommy Smith\e9208654,eng ENG,DF,26,15,13,1141,12.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.4,0.00,0.03,0.03,0.00,0.03,Matchs
Laurent Depoitre\aa5859cb,be BEL,AT,29,23,10,1068,11.9,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,3.3,3.3,0.9,4.2,0.28,0.08,0.36,0.28,0.36,Matchs
Isaac Mbenza\aa1a8c7e,be BEL,ATMT,22,22,10,986,11.0,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.1,1.1,0.8,1.9,0.10,0.07,0.18,0.10,0.18,Matchs
Karlan Grant\87f7500e,eng ENG,AT,20,13,9,877,9.7,3,0,3,0,0,0,0,0.31,0.00,0.31,0.31,0.31,2.7,2.7,0.3,3.0,0.28,0.03,0.31,0.28,0.31,Matchs
