,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Nick Pope\4b40d9ca,eng ENG,GB,27,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.02,0.02,0.00,0.02,Matchs
James Tarkowski\15ea812b,eng ENG,DF,26,38,38,3420,38.0,2,2,2,0,0,10,0,0.05,0.05,0.11,0.05,0.11,2.4,2.4,2.2,4.6,0.06,0.06,0.12,0.06,0.12,Matchs
Dwight McNeil\fc15fb84,eng ENG,MT,19,38,38,3338,37.1,2,6,2,0,0,5,0,0.05,0.16,0.22,0.05,0.22,2.1,2.1,6.6,8.7,0.06,0.18,0.23,0.06,0.23,Matchs
Ashley Westwood\495945ef,eng ENG,MT,29,35,35,3150,35.0,2,6,2,0,0,9,0,0.06,0.17,0.23,0.06,0.23,1.2,1.2,5.0,6.2,0.03,0.14,0.18,0.03,0.18,Matchs
Ben Mee\8df7a2fb,eng ENG,DF,29,32,32,2880,32.0,1,1,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,1.7,1.7,0.7,2.5,0.05,0.02,0.08,0.05,0.08,Matchs
Jack Cork\74e12f1e,eng ENG,MT,30,30,30,2613,29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.7,2.4,0.06,0.02,0.08,0.06,0.08,Matchs
Chris Wood\4e9a0555,nz NZL,AT,27,32,29,2437,27.1,14,1,13,1,1,1,0,0.52,0.04,0.55,0.48,0.52,13.0,12.2,0.9,13.1,0.48,0.03,0.51,0.45,0.48,Matchs
Charlie Taylor\cc2d7ad5,eng ENG,DF,25,24,22,1945,21.6,0,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,0.0,0.0,1.3,1.3,0.00,0.06,0.06,0.00,0.06,Matchs
Jeff Hendrick\989d5705,ie IRL,MT,27,24,22,1931,21.5,2,2,2,0,0,8,0,0.09,0.09,0.19,0.09,0.19,1.5,1.5,0.7,2.3,0.07,0.03,0.11,0.07,0.11,Matchs
Phil Bardsley\1ae30132,sct SCO,DF,34,21,21,1890,21.0,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,0.7,0.9,0.01,0.03,0.05,0.01,0.05,Matchs
Erik Pieters\1ef37668,nl NED,DFMT,30,24,21,1878,20.9,0,4,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.6,0.6,2.8,3.4,0.03,0.13,0.16,0.03,0.16,Matchs
Jay Rodriguez\4ab53cdb,eng ENG,AT,30,36,20,2016,22.4,8,1,7,1,1,1,0,0.36,0.04,0.40,0.31,0.36,8.0,7.2,0.9,8.1,0.36,0.04,0.40,0.32,0.36,Matchs
Matthew Lowton\9a9c05db,eng ENG,DF,30,17,17,1530,17.0,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.0,0.0,1.0,1.0,0.00,0.06,0.06,0.00,0.06,Matchs
Ashley Barnes\2691c772,eng ENG,AT,29,19,17,1352,15.0,6,0,5,1,1,4,0,0.40,0.00,0.40,0.33,0.33,5.6,4.8,0.5,5.3,0.37,0.03,0.40,0.32,0.35,Matchs
Josh Brownhill\47369df8,eng ENG,MT,23,10,9,805,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.5,0.04,0.02,0.06,0.04,0.06,Matchs
Matěj Vydra\0d4ceb32,cz CZE,AT,27,19,7,819,9.1,2,1,2,0,0,0,0,0.22,0.11,0.33,0.22,0.33,3.7,3.7,1.1,4.9,0.41,0.12,0.53,0.41,0.53,Matchs
Jóhann Berg Guðmundsson\f72293fc,is ISL,MT,28,12,6,621,6.9,1,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,1.1,1.1,0.8,1.9,0.16,0.12,0.28,0.16,0.28,Matchs
Kevin Long\5a4280b1,ie IRL,DF,28,8,6,564,6.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matchs
Robbie Brady\96bb8cc2,ie IRL,MT,27,17,5,454,5.0,1,2,1,0,0,1,0,0.20,0.40,0.59,0.20,0.59,1.2,1.2,0.3,1.5,0.23,0.06,0.29,0.23,0.29,Matchs
Aaron Lennon\2ff964a0,eng ENG,MT,32,16,4,496,5.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matchs
Danny Drinkwater\2649ff32,eng ENG,MT,29,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Max Thompson\fa38722f,eng ENG,AT,17,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Josh Benson\bf3aeb61,eng ENG,MT,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Anthony Driscoll-Glennon\6a39bd42,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Jimmy Dunne\1fdfd6da,ie IRL,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Ben Gibson\bcfb0142,eng ENG,DF,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Mace Goodridge\6abefdff,eng ENG,MT,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Joe Hart\cb4f24c6,eng ENG,GB,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Lukas Jensen\47ed3795,dk DEN,GB,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Ali Koiki\82726be5,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Joel Mumbongo\f8e588df,se SWE,AT,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Bailey Peacock-Farrell\4879f8cb,nir NIR,GB,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Bobby Thomas\6a471ee8,eng ENG,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,28.0,38,418,3420,38.0,41,30,38,3,3,67,0,1.08,0.79,1.87,1.00,1.79,43.9,41.6,27.2,68.8,1.15,0.72,1.87,1.09,1.81,
Total adversaire,,,26.5,38,418,3420,38.0,49,38,45,4,5,42,3,1.29,1.00,2.29,1.18,2.18,48.3,44.5,33.1,77.6,1.27,0.87,2.14,1.17,2.04,
