Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester United,42,24,12,6,67,31,+36,84,35132,Mark Hughes - 15,Peter Schmeichel,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Aston Villa,42,21,11,10,57,40,+17,74,29594,Dean Saunders - 12,Nigel Spink,→ UEFA Cup grâce à sa bonne place dans le classement
3,Norwich City,42,21,9,12,61,65,-4,72,16253,Mark Robins - 15,Bryan Gunn,→ UEFA Cup grâce à sa bonne place dans le classement 1
4,Blackburn Rovers,42,20,11,11,68,46,+22,71,16247,Alan Shearer - 16,Bobby Mimms,
5,Queens Park Rovers,42,17,12,13,63,55,+8,63,15001,Les Ferdinand - 20,Tony Roberts,
6,Liverpool,42,16,11,15,62,55,+7,59,37009,Ian Rush - 14,David James,
7,Sheffield Wednesday,42,15,14,13,55,51,+4,59,27264,Mark Bright - 12,Chris Woods,
8,Tottenham Hotspur,42,16,11,15,60,66,-6,59,27879,Teddy Sheringham - 21,Erik Thorstvedt,
9,Manchester City,42,15,12,15,56,51,+5,57,24698,David White - 16,Tony Coton,
10,Arsenal,42,15,11,16,40,38,+2,56,24403,Ian Wright - 15,David Seaman,→ European Cup Winners' Cup grâce à sa victoire en coupe 2
11,Chelsea,42,14,14,14,51,54,-3,56,18754,Graham Stuart - 10,Kevin Hitchcock,
12,Wimbledon,42,14,12,16,56,55,+1,54,8405,Dean Holdsworth - 19,Hans Segers,
13,Everton,42,15,8,19,53,55,-2,53,20457,Tony Cottee - 12,Neville Southall,
14,Sheffield United,42,14,10,18,54,53,+1,52,18799,Brian Deane - 14,Alan Kelly Jr.,
15,Coventry City,42,13,13,16,52,57,-5,52,15504,Micky Quinn - 17,Steve Ogrizovic,
16,Ipswich Town,42,12,16,14,50,55,-5,52,18185,Chris Kiwomya - 10,Clive Baker,
17,Leeds United,42,12,15,15,57,62,-5,51,29229,Lee Chapman - 13,John Lukic,
18,Southampton,42,13,11,18,54,61,-7,50,15382,Matt Le Tissier - 15,Tim Flowers,
19,Oldham Athletic,42,13,10,19,63,74,-11,49,12862,Ian Olney - 12,Paul Gerrard,
20,Crystal Palace,42,11,16,15,48,61,-13,49,15726,Chris Armstrong - 15,Nigel Martyn,Relégué
21,Middlesbrough,42,11,11,20,54,75,-21,44,16522,Paul Wilkinson - 13,Stephen Pears,Relégué
22,Nottingham Forest,42,10,10,22,41,62,-21,40,21910,Nigel Clough - 10,Mark Crossley,Relégué
