,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Jason Dodd\df15c7a1,eng ENG,DF,24,37,37,3330,37.0,2,1,2,0,0,4,0,0.05,0.03,0.08,0.05,0.08,Matchs
Neil Shipperley\82dabdf3,eng ENG,AT,20,37,37,3276,36.4,8,2,8,0,0,1,0,0.22,0.05,0.27,0.22,0.27,Matchs
Dave Beasant\2e448746,eng ENG,GB,36,36,36,3240,36.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Le Tissier\d5e78451,eng ENG,ATMT,26,34,34,2988,33.2,7,8,4,3,3,11,1,0.21,0.24,0.45,0.12,0.36,Matchs
Jim Magilton\27240fa9,nir NIR,DFMT,26,34,34,2748,30.5,3,0,2,1,1,2,0,0.10,0.00,0.10,0.07,0.07,Matchs
Ken Monkou\25daebfd,nl NED,DF,30,32,31,2701,30.0,2,0,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matchs
Richard Hall\5bab2982,eng ENG,DF,23,30,30,2655,29.5,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matchs
Francis Benali\91950851,eng ENG,DF,26,29,28,2501,27.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matchs
Simon Charlton\d52b42c9,eng ENG,DF,23,25,23,2090,23.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Barry Venison\aa15b4d9,eng ENG,DF,30,22,21,1882,20.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matchs
Tommy Widdrington\b14d86b4,eng ENG,MT,23,21,21,1743,19.4,2,0,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matchs
Gordon Watson\53c30561,eng ENG,AT,24,24,17,1589,17.7,3,3,3,0,0,1,1,0.17,0.17,0.34,0.17,0.34,Matchs
Alan Neilson\382b521d,wls WAL,DF,22,18,15,1320,14.7,0,2,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matchs
Neil Heaney\cffb4fa2,eng ENG,MT,23,17,15,1232,13.7,2,0,2,0,0,5,0,0.15,0.00,0.15,0.15,0.15,Matchs
Neil Maddison\10691ae9,eng ENG,DFMT,25,13,11,1157,12.9,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matchs
David Hughes\5245936b,eng ENG,MT,22,11,6,708,7.9,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matchs
Paul Tisdale\9bc136d8,eng ENG,MT,22,8,5,541,6.0,1,0,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matchs
Frankie Bennett\825c7d57,eng ENG,AT,26,10,5,445,4.9,0,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matchs
Mark Walters\0e763b5b,eng ENG,MT,31,5,5,354,3.9,0,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matchs
Matt Oakley\79974582,eng ENG,MT,17,7,4,447,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Bruce Grobbelaar\b9677d09,zw ZIM,GB,37,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Christer Warren\9045ac69,eng ENG,MT,20,7,1,268,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matthew Robinson\4375ab8f,eng ENG,DF,20,5,0,167,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul McDonald\1836c571,sct SCO,DF,27,1,0,31,0.3,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Craig Maskell\1a81532d,eng ENG,AT,27,1,0,26,0.3,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,26.2,38,417,,,33,21,29,4,4,62,2,0.87,0.55,1.42,0.76,1.32,
Total adversaire,,,27.1,38,,,,,,,,,,,,,,,,
