,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Des Walker\4e1b2261,eng ENG,DF,31,38,38,3375,37.5,0,3,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matchs
Kevin Pressman\3f2ff0b9,eng ENG,GB,29,36,36,3240,36.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paolo Di Canio\9bbe0ecf,it ITA,AT,29,35,34,2960,32.9,12,6,12,0,0,10,0,0.36,0.18,0.55,0.36,0.55,Matchs
Mark Pembridge\0f9d5dee,wls WAL,MT,26,34,31,2601,28.9,4,1,4,0,0,4,0,0.14,0.03,0.17,0.14,0.17,Matchs
Andy Hinchcliffe\4bb95ffe,eng ENG,DF,28,32,30,2711,30.1,1,2,1,0,0,3,1,0.03,0.07,0.10,0.03,0.10,Matchs
Benito Carbone\ad76f0c4,it ITA,AT,25,33,28,2442,27.1,9,6,6,3,3,8,1,0.33,0.22,0.55,0.22,0.44,Matchs
Ian Nolan\6587459a,nir NIR,DF,27,27,27,2365,26.3,0,6,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matchs
Peter Atherton\1bcd6fc7,eng ENG,DFMT,27,27,27,2334,25.9,3,1,3,0,0,8,0,0.12,0.04,0.15,0.12,0.15,Matchs
Jon Newsome\4e8e407f,eng ENG,DF,26,25,25,2168,24.1,2,1,2,0,0,3,0,0.08,0.04,0.12,0.08,0.12,Matchs
Andy Booth\bdf267e7,eng ENG,AT,23,23,21,1809,20.1,7,2,7,0,0,1,1,0.35,0.10,0.45,0.35,0.45,Matchs
Petter Rudi\6b8b954a,no NOR,MT,23,22,19,1635,18.2,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matchs
Dejan Stefanović\1efa2799,rs SRB,DF,22,20,19,1596,17.7,2,3,2,0,0,7,1,0.11,0.17,0.28,0.11,0.28,Matchs
Jim Magilton\27240fa9,nir NIR,DFMT,28,26,18,1638,18.2,1,2,1,0,0,2,0,0.05,0.11,0.16,0.05,0.16,Matchs
Guy Whittingham\2a222ae2,eng ENG,AT,32,28,17,1665,18.5,4,2,4,0,0,1,0,0.22,0.11,0.32,0.22,0.32,Matchs
Graham Hyde\1cedc407,eng ENG,MT,26,22,14,1227,13.6,1,1,1,0,0,8,0,0.07,0.07,0.15,0.07,0.15,Matchs
Earl Barrett\225696d1,eng ENG,DF,30,10,10,900,10.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Wayne Collins\3792daf7,eng ENG,MT,28,19,8,1031,11.5,5,1,5,0,0,2,0,0.44,0.09,0.52,0.44,0.52,Matchs
Emerson Thome\7dc1b3c9,br BRA,DF,25,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Patrick Blondeau\df753ae4,fr FRA,DF,29,6,5,488,5.4,0,1,0,0,0,1,1,0.00,0.18,0.18,0.00,0.18,Matchs
Niclas Alexandersson\8fce0898,se SWE,MT,25,6,5,405,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Steve Nicol\f8cf9d0b,sct SCO,DF,35,7,4,479,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lee Briscoe\49c0435b,eng ENG,DFMT,21,7,3,314,3.5,0,2,0,0,0,2,0,0.00,0.57,0.57,0.00,0.57,Matchs
Goce Sedloski\a8a2b221,mk MKD,DF,23,4,3,244,2.7,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Matt Clarke\673a6776,eng ENG,GB,23,3,2,244,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ritchie Humphreys\67423398,eng ENG,DFAT,19,7,2,208,2.3,0,1,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43,Matchs
Francesco Sanetti\726486f2,it ITA,AT,18,2,1,135,1.5,1,,1,0,,0,0,0.67,,,0.67,,Matchs
O'Neill Donaldson\154a889e,eng ENG,AT,27,5,1,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nigel Clough\3cd439de,eng ENG,ATMT,31,1,1,45,0.5,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Scott Oakes\cfdc5034,eng ENG,MT,24,4,0,89,1.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Adem Poric\5f0a91c5,au AUS,MT,24,3,0,53,0.6,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Christian Mayrleb\b220c543,at AUT,AT,25,3,0,51,0.6,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Junior Agogo\39faf86a,gh GHA,AT,17,1,0,14,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Alan Quinn\6e0e47a6,ie IRL,MT,18,1,0,1,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,27.7,38,430,,,51,44,48,3,3,68,4,1.34,1.16,2.50,1.26,2.42,
Total adversaire,,,26.5,38,,,,,,,,,,,,,,,,
