,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Jaap Stam\7c48a3ec,nl NED,DF,27,33,33,2837,31.5,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matchs
Mikaël Silvestre\4dde97ea,fr FRA,DF,21,31,30,2721,30.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Beckham\53539318,eng ENG,MT,24,31,30,2605,28.9,6,15,6,0,0,6,0,0.21,0.52,0.73,0.21,0.73,Matchs
Ryan Giggs\561de8d0,wls WAL,ATMT,25,30,30,2496,27.7,6,12,6,0,0,2,0,0.22,0.43,0.65,0.22,0.65,Matchs
Dwight Yorke\2d0a99d3,tt TRI,ATMT,27,32,29,2555,28.4,20,3,20,0,0,1,0,0.70,0.11,0.81,0.70,0.81,Matchs
Roy Keane\8f218498,ie IRL,MT,27,29,28,2434,27.0,5,1,5,0,0,7,1,0.18,0.04,0.22,0.18,0.22,Matchs
Paul Scholes\24a3a72c,eng ENG,MT,24,31,27,2399,26.7,9,5,8,1,2,6,0,0.34,0.19,0.53,0.30,0.49,Matchs
Phil Neville\3db5e0ec,eng ENG,DFMT,22,29,25,2281,25.3,0,2,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matchs
Denis Irwin\9d080c30,ie IRL,DF,33,25,25,2092,23.2,3,1,1,2,3,1,0,0.13,0.04,0.17,0.04,0.09,Matchs
Andy Cole\b6638a2c,eng ENG,AT,27,28,23,2014,22.4,19,4,19,0,0,2,1,0.85,0.18,1.03,0.85,1.03,Matchs
Mark Bosnich\9b46bcb7,au AUS,GB,27,23,23,1875,20.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Gary Neville\1b013e33,eng ENG,DF,24,22,22,1892,21.0,0,3,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matchs
Nicky Butt\616b3f9a,eng ENG,DFMT,24,32,21,1958,21.8,3,3,3,0,0,2,2,0.14,0.14,0.28,0.14,0.28,Matchs
Henning Berg\ad77f84e,no NOR,DF,29,22,16,1635,18.2,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matchs
Teddy Sheringham\4e56eef6,eng ENG,AT,33,27,15,1530,17.0,5,6,5,0,0,0,0,0.29,0.35,0.65,0.29,0.65,Matchs
Ole Gunnar Solskjær\65cb97b8,no NOR,AT,26,28,15,1398,15.5,12,7,12,0,0,2,0,0.77,0.45,1.22,0.77,1.22,Matchs
Raimond van der Gouw\0d2e1195,nl NED,GB,36,14,11,1185,13.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Quinton Fortune\fa706d7f,za RSA,MT,22,6,4,370,4.1,2,1,2,0,0,0,0,0.49,0.24,0.73,0.49,0.73,Matchs
Massimo Taibi\ee9ba025,it ITA,GB,29,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ronny Johnsen\02f25c21,no NOR,DF,30,3,2,185,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jordi Cruyff\7ebf561b,nl NED,ATMT,25,8,1,268,3.0,3,1,3,0,0,0,0,1.01,0.34,1.34,1.01,1.34,Matchs
Jonathan Greening\892c1d7a,eng ENG,MT,20,4,1,124,1.4,0,2,0,0,0,0,0,0.00,1.45,1.45,0.00,1.45,Matchs
Mark Wilson\2fd8ad28,eng ENG,MT,20,3,1,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Danny Higginbotham\688135a1,gi GIB,DF,20,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ronnie Wallwork\cb7b25cf,eng ENG,DFMT,21,5,0,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Michael Clegg\bb5c286a,eng ENG,DF,22,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
David May\1c719a79,eng ENG,DF,29,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
John Curtis\3edb83bf,eng ENG,DF,20,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nick Culkin\2c8f2bff,eng ENG,GB,21,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,26.8,38,417,,,94,69,91,3,5,38,4,2.47,1.82,4.29,2.39,4.21,
Total adversaire,,,26.9,38,,,,,,,,,,,,,,,,
