,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Thomas Sørensen\31d82fec,dk DEN,GB,23,37,37,3330,37.0,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matchs
Kevin Phillips\23d97ca1,eng ENG,AT,26,36,36,3198,35.5,30,4,24,6,8,5,0,0.84,0.11,0.96,0.68,0.79,Matchs
Niall Quinn\050093a9,ie IRL,AT,32,37,35,3034,33.7,14,8,14,0,0,6,0,0.42,0.24,0.65,0.42,0.65,Matchs
Chris Makin\aecb9ffc,eng ENG,DF,26,34,34,2996,33.3,1,0,1,0,0,11,1,0.03,0.00,0.03,0.03,0.03,Matchs
Michael Gray\fefae709,eng ENG,DFMT,24,33,32,2674,29.7,0,4,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matchs
Paul Butler\8623b652,ie IRL,DF,26,32,31,2788,31.0,1,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matchs
Nicky Summerbee\7e6a7ed4,eng ENG,MT,27,32,29,2562,28.5,1,5,1,0,0,3,0,0.04,0.18,0.21,0.04,0.21,Matchs
Stefan Schwarz\aeab7566,se SWE,DFMT,30,27,27,2374,26.4,1,2,1,0,0,11,0,0.04,0.08,0.11,0.04,0.11,Matchs
Alex Rae\a64175a1,sct SCO,MT,29,26,22,1986,22.1,3,5,3,0,0,8,2,0.14,0.23,0.36,0.14,0.36,Matchs
Gavin McCann\d1e78f75,eng ENG,MT,21,24,21,1887,21.0,4,3,4,0,0,8,0,0.19,0.14,0.33,0.19,0.33,Matchs
Steve Bould\42e0fd3a,eng ENG,DF,36,20,19,1676,18.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matchs
Éric Roy\adeca4c0,fr FRA,MT,31,24,19,1548,17.2,0,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matchs
Jody Craddock\573e5dd2,eng ENG,DFMT,24,19,18,1627,18.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kevin Kilbane\56cf4517,ie IRL,DFMT,22,20,17,1510,16.8,1,1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matchs
Darren Williams\45364051,eng ENG,DF,22,25,13,1491,16.6,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matchs
Darren Holloway\5b1e1fe8,eng ENG,DF,21,15,8,794,8.8,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matchs
Paul Thirlwell\3f658e48,eng ENG,MT,20,8,7,573,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kevin Ball\aedf2328,eng ENG,DFMT,34,11,6,514,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
John Oster\bbf029eb,wls WAL,MT,20,10,4,445,4.9,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matchs
Thomas Helmer\04ccc781,de GER,DFMT,34,2,1,127,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Andy Marriott\dff6c9f3,wls WAL,GB,28,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Chris Lumsdon\b339440d,eng ENG,MT,19,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Danny Dichio\da431eb0,eng ENG,AT,24,11,0,182,2.0,0,1,0,0,0,2,0,0.00,0.49,0.49,0.00,0.49,Matchs
Michael Reddy\a186df74,ie IRL,AT,19,8,0,119,1.3,1,0,1,0,0,0,0,0.76,0.00,0.76,0.76,0.76,Matchs
Carsten Fredgaard\3c2e13ee,dk DEN,MT,23,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Milton Núñez\7de08e2d,hn HON,AT,26,1,0,16,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Thomas Butler\d033d76b,ie IRL,MT,18,1,0,7,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,26.9,38,417,,,57,39,51,6,8,66,3,1.50,1.03,2.53,1.34,2.37,
Total adversaire,,,26.9,38,,,,,,,,,,,,,,,,
