,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Mart Poom\f60f19b7,ee EST,GB,28,33,32,2960,32.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Rory Delap\9b0dac73,ie IRL,MT,24,33,32,2884,32.0,3,1,3,0,0,3,0,0.09,0.03,0.12,0.09,0.12,Matchs
Seth Johnson\5915b54c,eng ENG,ATMT,21,30,30,2694,29.9,1,5,1,0,0,10,1,0.03,0.17,0.20,0.03,0.20,Matchs
Chris Riggott\6ec07df6,eng ENG,DF,19,31,29,2535,28.2,3,2,3,0,0,6,0,0.11,0.07,0.18,0.11,0.18,Matchs
Malcolm Christie\6f5273d9,eng ENG,AT,21,34,29,2480,27.6,8,1,8,0,0,5,0,0.29,0.04,0.33,0.29,0.33,Matchs
Horacio Carbonari\97d65d43,ar ARG,DF,26,27,27,2354,26.2,1,1,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,Matchs
Darryl Powell\4b351524,jm JAM,MT,28,27,27,2236,24.8,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matchs
Deon Burton\c0567c0f,jm JAM,AT,23,32,25,2390,26.6,5,2,4,1,1,4,1,0.19,0.08,0.26,0.15,0.23,Matchs
Stefano Eranio\a16efcb5,it ITA,MT,33,28,25,1860,20.7,2,6,2,0,0,7,0,0.10,0.29,0.39,0.10,0.39,Matchs
Craig Burley\718a4c38,sct SCO,MT,28,24,24,2071,23.0,2,2,2,0,1,5,0,0.09,0.09,0.17,0.09,0.17,Matchs
Danny Higginbotham\688135a1,gi GIB,DF,21,26,23,2062,22.9,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matchs
Taribo West\1a6e7532,ng NGA,DF,26,18,18,1620,18.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Georgi Kinkladze\34d9f4f7,ge GEO,MT,27,24,13,1366,15.2,1,3,1,0,0,2,0,0.07,0.20,0.26,0.07,0.26,Matchs
Bjørn Otto Bragstad\a902e103,no NOR,DF,29,12,10,980,10.9,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matchs
Simo Valakari\49c751ba,fi FIN,MT,27,11,9,851,9.5,1,1,1,0,0,3,0,0.11,0.11,0.21,0.11,0.21,Matchs
Branko Strupar\75b161bc,be BEL,AT,30,9,7,653,7.3,6,0,5,1,1,1,0,0.83,0.00,0.83,0.69,0.69,Matchs
Paul Boertien\cfac040d,eng ENG,DF,21,8,7,650,7.2,1,1,1,0,0,3,0,0.14,0.14,0.28,0.14,0.28,Matchs
Youl Mawéné\30711a1a,cg CGO,DF,21,8,7,578,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lilian Martin\ba8c8889,fr FRA,DF,29,9,7,547,6.1,0,1,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,Matchs
Stefan Schnoor\adca018f,de GER,DF,29,8,6,561,6.2,0,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matchs
Andy Oakes\7df5c540,eng ENG,GB,23,6,6,460,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Steve Elliott\2fc040aa,eng ENG,DF,21,6,5,444,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lee Morris\76f7b349,eng ENG,AT,20,20,4,591,6.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Adam Murray\b0542647,eng ENG,MT,18,14,4,508,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Brian O'Neil\779598dc,sct SCO,MT,27,4,3,179,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Þórður Guðjónsson\5d10a22f,is ISL,ATMT,26,10,2,269,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matchs
Con Blatsis\78671ba0,au AUS,DF,23,2,2,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Jackson\352fcc58,eng ENG,DF,20,2,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lars Bohinen\bdb7e1b5,no NOR,MT,30,2,1,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ian Evatt\749bcfb8,eng ENG,DF,18,1,0,13,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Adam Bolder\0acd3255,eng ENG,MT,19,2,0,6,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,25.2,38,415,,,36,24,34,2,3,79,3,0.95,0.63,1.58,0.89,1.53,
Total adversaire,,,27.1,38,,,,,,,,,,,,,,,,
