,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Gary Rowett\92c33b52,eng ENG,DF,26,38,38,3403,37.8,2,1,2,0,0,4,0,0.05,0.03,0.08,0.05,0.08,Matchs
Matt Elliott\c1033941,sct SCO,DF,31,34,34,2971,33.0,2,1,2,0,0,3,0,0.06,0.03,0.09,0.06,0.09,Matchs
Robbie Savage\f60a24de,wls WAL,MT,25,33,33,2941,32.7,4,0,3,1,1,6,0,0.12,0.00,0.12,0.09,0.09,Matchs
Ade Akinbiyi\6a723914,ng NGA,AT,25,37,33,2816,31.3,9,2,9,0,0,1,0,0.29,0.06,0.35,0.29,0.35,Matchs
Andy Impey\67cbd956,eng ENG,DFMT,28,33,29,2607,29.0,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matchs
Muzzy Izzet\aeeddfc4,tr TUR,MT,25,27,27,2237,24.9,7,1,5,2,2,4,0,0.28,0.04,0.32,0.20,0.24,Matchs
Callum Davidson\6bcf5daf,sct SCO,DF,24,28,25,2073,23.0,1,1,1,0,0,2,0,0.04,0.04,0.09,0.04,0.09,Matchs
Gerry Taggart\2bf06765,nir NIR,DF,29,24,24,2046,22.7,2,1,2,0,0,10,1,0.09,0.04,0.13,0.09,0.13,Matchs
Tim Flowers\df3b6e40,eng ENG,GB,33,22,22,1877,20.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Steve Guppy\3c05bb47,eng ENG,MT,31,28,17,1706,19.0,1,3,1,0,0,1,0,0.05,0.16,0.21,0.05,0.21,Matchs
Simon Royce\0d7bbc61,eng ENG,GB,28,19,16,1543,17.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Darren Eadie\60d2d491,eng ENG,MT,25,24,16,1457,16.2,2,1,2,0,0,4,0,0.12,0.06,0.19,0.12,0.19,Matchs
Dean Sturridge\70e13fa1,eng ENG,AT,27,27,16,1277,14.2,4,4,4,0,0,6,0,0.28,0.28,0.56,0.28,0.56,Matchs
Junior Lewis\c9122221,eng ENG,MT,26,15,15,1350,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Neil Lennon\ad2d42ae,nir NIR,MT,29,15,15,1306,14.5,0,3,0,0,0,4,0,0.00,0.21,0.21,0.00,0.21,Matchs
Frank Sinclair\02942593,jm JAM,DF,28,17,14,1199,13.3,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matchs
Matt Jones\6a025e0a,wls WAL,MT,19,15,13,1048,11.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matchs
Trevor Benjamin\c5328061,jm JAM,AT,21,21,7,775,8.6,1,1,1,0,0,1,0,0.12,0.12,0.23,0.12,0.23,Matchs
Lee Marshall\40416d99,eng ENG,DFMT,21,9,7,689,7.7,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matchs
Phil Gilchrist\dfff734f,eng ENG,DF,26,12,6,631,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stefan Oakes\7827fda9,eng ENG,MT,21,13,5,630,7.0,0,2,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matchs
Arnar Gunnlaugsson\3a06ea31,is ISL,ATMT,27,17,3,570,6.3,3,1,3,0,0,0,0,0.47,0.16,0.63,0.47,0.63,Matchs
Richard Cresswell\2feffa68,eng ENG,AT,22,8,3,325,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Damien Delaney\210d9ecb,ie IRL,DF,19,5,3,291,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Roberto Mancini\65fd260b,it ITA,AT,35,4,3,242,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stan Collymore\eed4ff30,eng ENG,AT,29,5,1,242,2.7,1,0,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matchs
Tony Cottee\111e8515,eng ENG,AT,35,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Steve Walsh\3e59c893,eng ENG,DF,35,1,0,9,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Kevin Ellison\5baecff6,eng ENG,MT,21,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,27.3,38,425,,,39,31,36,3,3,57,2,1.03,0.82,1.84,0.95,1.76,
Total adversaire,,,26.9,38,,,,,,,,,,,,,,,,
