,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Matt Holland\87c9a037,ie IRL,MT,29,38,38,3408,37.9,6,1,6,0,0,0,0,0.16,0.03,0.18,0.16,0.18,Matchs
Dean Kiely\0012caa1,ie IRL,GB,32,37,37,3330,37.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matchs
Hermann Hreiðarsson\18e3787e,is ISL,DF,29,33,33,2969,33.0,3,1,3,0,0,3,0,0.09,0.03,0.12,0.09,0.12,Matchs
Radostin Kishishev\d06e83b4,bg BUL,DFMT,29,33,30,2585,28.7,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matchs
Claus Jensen\b8f8fb0d,dk DEN,MT,26,31,27,2512,27.9,4,5,4,0,1,1,0,0.14,0.18,0.32,0.14,0.32,Matchs
Chris Perry\2f43aa1c,eng ENG,DF,30,29,25,2308,25.6,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matchs
Paul Konchesky\941bcf75,eng ENG,DFAT,22,31,25,2295,25.5,0,3,0,0,0,7,0,0.00,0.12,0.12,0.00,0.12,Matchs
Jason Euell\d97fe8bd,jm JAM,ATMT,26,31,24,2218,24.6,10,2,7,3,3,5,1,0.41,0.08,0.49,0.28,0.37,Matchs
Graham Stuart\159c714f,eng ENG,ATMT,32,28,23,2024,22.5,3,1,3,0,0,0,0,0.13,0.04,0.18,0.13,0.18,Matchs
Paolo Di Canio\9bbe0ecf,it ITA,AT,35,31,23,2017,22.4,4,12,1,3,4,1,0,0.18,0.54,0.71,0.04,0.58,Matchs
Mark Fish\71e120b7,za RSA,DFAT,29,23,23,1861,20.7,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Jonathan Fortune\dfa0cd77,eng ENG,DF,22,28,21,2022,22.5,2,0,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matchs
Luke Young\409a29d7,eng ENG,DF,24,24,21,1912,21.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jonatan Johansson\bc8c9864,fi FIN,AT,27,26,16,1421,15.8,4,1,4,0,0,0,0,0.25,0.06,0.32,0.25,0.32,Matchs
Shaun Bartlett\0bbb893d,za RSA,AT,30,19,13,1089,12.1,5,1,5,0,0,1,0,0.41,0.08,0.50,0.41,0.50,Matchs
Chris Powell\721060d9,eng ENG,DF,33,16,11,962,10.7,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matchs
Carlton Cole\51b2effb,eng ENG,AT,19,21,8,971,10.8,4,0,4,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matchs
Kevin Lisbie\e509ea01,jm JAM,AT,24,9,5,452,5.0,4,0,4,0,0,0,0,0.80,0.00,0.80,0.80,0.80,Matchs
Mathias Svensson\d735eec3,se SWE,AT,28,3,1,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Gary Rowett\92c33b52,eng ENG,DF,29,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Simon Royce\0d7bbc61,eng ENG,GB,31,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jerome Thomas\94cf0dab,eng ENG,ATMT,20,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jamal Campbell-Ryce\d02c06d8,jm JAM,ATMT,20,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,28.5,38,406,,,50,29,44,6,8,35,3,1.32,0.76,2.08,1.16,1.92,
Total adversaire,,,27.1,38,,,,,,,,,,,,,,,,
