,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Sami Hyypiä\087b932d,fi FIN,DF,29,38,38,3420,38.0,4,1,4,0,0,1,0,0.11,0.03,0.13,0.11,0.13,Matchs
Harry Kewell\51ef13b9,au AUS,ATMT,24,36,36,3120,34.7,7,3,7,0,0,6,0,0.20,0.09,0.29,0.20,0.29,Matchs
Steven Gerrard\caeb5442,eng ENG,MT,23,34,34,3008,33.4,4,7,3,1,2,3,0,0.12,0.21,0.33,0.09,0.30,Matchs
Jerzy Dudek\1064659d,pl POL,GB,30,30,30,2687,29.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Michael Owen\88b3f52c,eng ENG,AT,23,29,29,2488,27.6,16,3,12,4,5,0,0,0.58,0.11,0.69,0.43,0.54,Matchs
Igor Bišćan\3597a728,hr CRO,DFMT,25,29,27,2325,25.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Emile Heskey\30184789,eng ENG,AT,25,35,25,2398,26.6,7,4,7,0,0,1,0,0.26,0.15,0.41,0.26,0.41,Matchs
Dietmar Hamann\01c05efb,de GER,MT,29,25,25,2117,23.5,2,2,2,0,0,6,0,0.09,0.09,0.17,0.09,0.17,Matchs
John Arne Riise\9bf988c2,no NOR,DFMT,22,28,22,2133,23.7,0,4,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matchs
Jamie Carragher\d0ebce19,eng ENG,DFMT,25,22,22,1908,21.2,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matchs
Danny Murphy\03a97c40,eng ENG,MT,26,31,19,1912,21.2,5,4,2,3,3,2,0,0.24,0.19,0.42,0.09,0.28,Matchs
Steve Finnan\5596a89f,ie IRL,DF,27,22,19,1726,19.2,0,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matchs
El Hadji Diouf\1a4542c8,sn SEN,ATMT,22,19,16,1380,15.3,0,2,0,0,0,9,1,0.00,0.13,0.13,0.00,0.13,Matchs
Stéphane Henchoz\17476497,ch SUI,DF,28,18,15,1401,15.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Vladimír Šmicer\134c46b4,cz CZE,ATMT,30,20,15,1200,13.3,3,1,3,0,0,1,0,0.23,0.07,0.30,0.23,0.30,Matchs
Bruno Cheyrou\9655ab80,fr FRA,MT,25,12,9,700,7.8,2,0,2,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matchs
Djimi Traoré\b8c992d8,ml MLI,DF,23,7,7,578,6.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Milan Baroš\f3a9a99b,cz CZE,AT,21,13,6,606,6.7,1,3,1,0,0,2,0,0.15,0.45,0.59,0.15,0.59,Matchs
Chris Kirkland\710265d2,eng ENG,GB,22,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Florent Sinama Pongolle\f222974d,fr FRA,AT,18,15,3,421,4.7,2,1,2,0,0,0,0,0.43,0.21,0.64,0.43,0.64,Matchs
Anthony Le Tallec\5d81fb2c,fr FRA,ATMT,18,13,3,409,4.5,0,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matchs
Salif Diao\acc326da,sn SEN,MT,26,3,2,216,2.4,0,1,0,0,0,1,0,0.00,0.42,0.42,0.00,0.42,Matchs
Patrice Luzi\b6132aa2,fr FRA,GB,23,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
John Welsh\9713e675,eng ENG,MT,19,1,0,7,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,26.0,38,408,,,53,36,45,8,10,46,1,1.39,0.95,2.34,1.18,2.13,
Total adversaire,,,27.3,38,,,,,,,,,,,,,,,,
