,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Mark Schwarzer\da409c6f,au AUS,GB,30,36,36,3240,36.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
George Boateng\a44a9f65,nl NED,MT,27,35,35,3121,34.7,0,2,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matchs
Boudewijn Zenden\4e27a622,nl NED,DFAT,26,31,31,2737,30.4,4,4,4,0,0,4,1,0.13,0.13,0.26,0.13,0.26,Matchs
Franck Queudrue\4b7d3170,fr FRA,DF,24,31,31,2699,30.0,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matchs
Gaizka Mendieta\c5589415,es ESP,MT,29,31,30,2661,29.6,2,4,2,0,0,3,0,0.07,0.14,0.20,0.07,0.20,Matchs
Danny Mills\240e4301,eng ENG,DF,26,28,28,2503,27.8,1,1,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Matchs
Gareth Southgate\a29c3ed6,eng ENG,DF,32,27,27,2430,27.0,1,2,1,0,0,1,0,0.04,0.07,0.11,0.04,0.11,Matchs
Juninho Paulista\093373a5,br BRA,MT,30,31,26,2297,25.5,8,2,8,0,0,2,0,0.31,0.08,0.39,0.31,0.39,Matchs
Joseph-Désiré Job\8208d253,cm CMR,ATMT,25,24,19,1579,17.5,6,3,6,0,1,1,0,0.34,0.17,0.51,0.34,0.51,Matchs
Doriva\6b8ab05e,br BRA,MT,31,21,19,1533,17.0,0,2,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Matchs
Szilárd Németh\74da02b4,sk SVK,AT,25,32,17,1617,18.0,9,2,9,0,0,2,0,0.50,0.11,0.61,0.50,0.61,Matchs
Jonathan Greening\892c1d7a,eng ENG,MT,24,25,17,1603,17.8,1,2,1,0,0,5,0,0.06,0.11,0.17,0.06,0.17,Matchs
Colin Cooper\42f93b8f,eng ENG,DF,36,19,17,1439,16.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ugo Ehiogu\bd8d3cd5,eng ENG,DF,30,16,16,1395,15.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Chris Riggott\6ec07df6,eng ENG,DF,22,17,14,1271,14.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Massimo Maccarone\1586379d,it ITA,AT,23,23,13,1223,13.6,6,2,5,1,1,2,0,0.44,0.15,0.59,0.37,0.52,Matchs
Stuart Parnaby\389cc3d7,eng ENG,DF,21,13,8,813,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Andrew Davies\8912dc31,eng ENG,DF,18,10,8,721,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Michael Ricketts\3099ed37,eng ENG,AT,24,23,7,778,8.6,2,1,0,2,2,2,0,0.23,0.12,0.35,0.00,0.12,Matchs
Stewart Downing\b13c4620,eng ENG,ATMT,19,19,7,751,8.3,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matchs
Malcolm Christie\6f5273d9,eng ENG,AT,24,10,7,664,7.4,1,1,1,0,1,1,0,0.14,0.14,0.27,0.14,0.27,Matchs
Alan Wright\df6cf3fe,eng ENG,DF,31,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Brad Jones\ffc1c226,au AUS,GB,21,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Carlo Nash\bd9670b3,eng ENG,GB,29,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Carlos Marinelli\3a81b990,ar ARG,MT,21,1,1,55,0.6,1,0,1,0,0,0,0,1.64,0.00,1.64,1.64,1.64,Matchs
Robbie Stockdale\7d0a8842,sct SCO,DF,23,2,0,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
James Morrison\21a66e33,sct SCO,ATMT,17,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,27.6,38,418,,,42,28,39,3,5,52,1,1.11,0.74,1.84,1.03,1.76,
Total adversaire,,,27.0,38,,,,,,,,,,,,,,,,
