,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Gary Speed\5ca13d11,wls WAL,MT,34,38,37,3340,37.1,1,5,1,0,0,1,0,0.03,0.13,0.16,0.03,0.16,Matchs
Bruno N'Gotty\95682207,fr FRA,DF,33,37,37,3257,36.2,0,2,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matchs
Jussi Jääskeläinen\340d2a24,fi FIN,GB,29,36,36,3236,36.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Kevin Davies\2f726a89,eng ENG,AT,27,35,33,2846,31.6,8,2,8,0,0,6,0,0.25,0.06,0.32,0.25,0.32,Matchs
Ricardo Gardner\b6a1eaa0,jm JAM,DFMT,25,33,30,2677,29.7,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matchs
Jay-Jay Okocha\66ceb871,ng NGA,MT,30,31,29,2423,26.9,6,2,2,4,4,2,0,0.22,0.07,0.30,0.07,0.15,Matchs
Nicky Hunt\0e9b2f57,eng ENG,DF,20,29,29,2412,26.8,0,3,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matchs
Stelios Giannakopoulos\29a5f7d3,gr GRE,ATMT,30,34,28,2368,26.3,7,4,7,0,0,5,0,0.27,0.15,0.42,0.27,0.42,Matchs
Kevin Nolan\3d307105,eng ENG,MT,22,36,27,2495,27.7,4,2,4,0,0,5,0,0.14,0.07,0.22,0.14,0.22,Matchs
El Hadji Diouf\1a4542c8,sn SEN,ATMT,23,27,23,2052,22.8,9,4,8,1,2,7,0,0.39,0.18,0.57,0.35,0.53,Matchs
Radhi Jaïdi\8ff60fb9,tn TUN,DF,28,27,20,1837,20.4,5,1,5,0,0,2,0,0.24,0.05,0.29,0.24,0.29,Matchs
Iván Campo\b655e58d,es ESP,DFMT,30,27,20,1717,19.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Tal Ben Haim\2277a390,il ISR,DF,22,21,19,1751,19.5,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matchs
Fernando Hierro\2f926dd0,es ESP,DFMT,36,29,15,1424,15.8,1,1,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,Matchs
Henrik Pedersen\8ef377c5,dk DEN,AT,29,27,13,1353,15.0,6,1,6,0,0,0,0,0.40,0.07,0.47,0.40,0.47,Matchs
Vincent Candela\489d2628,fr FRA,DFMT,30,10,9,780,8.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Anthony Barness\1f2e31a8,eng ENG,DF,31,8,5,429,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Júlio César\754ac76b,br BRA,DF,25,5,4,361,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Les Ferdinand\aad47f5a,eng ENG,AT,37,12,1,258,2.9,1,1,1,0,0,1,0,0.35,0.35,0.70,0.35,0.70,Matchs
Ricardo Vaz Tê\238aa706,pt POR,ATMT,17,7,1,189,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kevin Poole\f2143ffd,eng ENG,GB,41,2,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Andy Oakes\7df5c540,eng ENG,GB,27,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Khalilou Fadiga\0946c6b7,sn SEN,MT,29,5,0,120,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Blessing Kaku\72ced492,ng NGA,MT,26,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Joey O'Brien\ce46f501,ie IRL,DFMT,18,1,0,9,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,28.6,38,418,,,49,33,44,5,6,58,2,1.29,0.87,2.16,1.16,2.03,
Total adversaire,,,27.0,38,,,,,,,,,,,,,,,,
