,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Stephen Kelly\4d7dd756,ie IRL,DF,23,38,38,3420,38.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Fabrice Muamba\f5a2bebe,eng ENG,MT,19,37,37,3196,35.5,2,1,2,0,0,5,0,0.06,0.03,0.08,0.06,0.08,Matchs
Liam Ridgewell\7c9e057e,eng ENG,DF,23,35,35,3091,34.3,1,3,1,0,0,10,0,0.03,0.09,0.12,0.03,0.12,Matchs
Maik Taylor\755ea891,nir NIR,GB,35,34,34,3060,34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Seb Larsson\b26efc36,se SWE,MT,22,35,32,2665,29.6,6,5,6,0,0,5,0,0.20,0.17,0.37,0.20,0.37,Matchs
Gary McSheffrey\e4852a2c,eng ENG,ATMT,24,32,24,2045,22.7,3,3,0,3,3,4,0,0.13,0.13,0.26,0.00,0.13,Matchs
Olivier Kapo\992c2db8,fr FRA,ATMT,26,26,22,2018,22.4,5,0,4,1,1,5,0,0.22,0.00,0.22,0.18,0.18,Matchs
Cameron Jerome\680fb5ee,eng ENG,AT,20,33,21,1991,22.1,7,1,7,0,0,3,0,0.32,0.05,0.36,0.32,0.36,Matchs
Mikael Forssell\1454df8d,fi FIN,AT,26,30,21,1681,18.7,9,3,9,0,0,0,0,0.48,0.16,0.64,0.48,0.64,Matchs
Mehdi Nafti\93e31883,tn TUN,MT,28,26,19,1765,19.6,0,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,Matchs
Radhi Jaïdi\8ff60fb9,tn TUN,DF,31,18,18,1620,18.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Damien Johnson\c1c0a75f,nir NIR,MT,28,17,17,1414,15.7,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matchs
David Murphy\b05e73d5,eng ENG,DF,23,14,14,1260,14.0,1,2,1,0,0,2,0,0.07,0.14,0.21,0.07,0.21,Matchs
Franck Queudrue\4b7d3170,fr FRA,DF,28,16,14,1216,13.5,0,1,0,0,0,3,1,0.00,0.07,0.07,0.00,0.07,Matchs
Johan Djourou\b8673e18,ch SUI,DF,20,13,13,1155,12.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Rafael Schmitz\148e746e,br BRA,DF,26,15,12,1075,11.9,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matchs
James McFadden\2cfdae75,sct SCO,ATMT,24,12,10,922,10.2,4,3,2,2,2,2,0,0.39,0.29,0.68,0.20,0.49,Matchs
Mauro Zárate\cc18ff4c,ar ARG,ATMT,20,14,6,612,6.8,4,1,4,0,0,1,0,0.59,0.15,0.74,0.59,0.74,Matchs
Daniël de Ridder\18bd458f,nl NED,ATMT,23,10,6,578,6.4,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matchs
Garry O'Connor\07fffbc5,sct SCO,AT,24,23,5,785,8.7,2,0,2,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matchs
Stuart Parnaby\389cc3d7,eng ENG,DF,25,13,4,644,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Wilson Palacios\58df81fc,hn HON,MT,23,7,4,339,3.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Martin Taylor\08840bbf,eng ENG,DF,27,4,4,254,2.8,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matchs
Colin Doyle\93b41c46,ie IRL,GB,22,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mat Sadler\1108f3c0,eng ENG,DF,22,5,3,242,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Kingson\05380aa0,gh GHA,GB,29,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Borja Oubiña\df441c0d,es ESP,MT,25,2,1,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Neil Danns\8081f166,gy GUY,MT,24,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.3,38,418,,,44,21,38,6,6,68,3,1.16,0.55,1.71,1.00,1.55,
Total adversaire,,,26.6,38,,,,,,,,,,,,,,,,
