,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Sylvain Distin\002d06bb,fr FRA,DF,29,36,36,3194,35.5,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matchs
David James\86841dfb,eng ENG,GB,36,35,35,3150,35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Niko Kranjčar\403d2184,hr CRO,MT,22,34,31,2854,31.7,4,2,4,0,1,2,0,0.13,0.06,0.19,0.13,0.19,Matchs
Sol Campbell\3e3b2fbd,eng ENG,DFAT,32,31,31,2790,31.0,1,0,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matchs
Glen Johnson\8cceca90,eng ENG,DF,22,31,30,2705,30.1,1,4,1,0,0,3,0,0.03,0.13,0.17,0.03,0.17,Matchs
Hermann Hreiðarsson\18e3787e,is ISL,DF,33,32,30,2591,28.8,3,1,3,0,0,3,1,0.10,0.03,0.14,0.10,0.14,Matchs
Sulley Muntari\e185aa52,gh GHA,MT,22,29,27,2369,26.3,4,3,3,1,1,6,2,0.15,0.11,0.27,0.11,0.23,Matchs
Papa Bouba Diop\7994a7f9,sn SEN,DFMT,29,25,25,2153,23.9,0,2,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matchs
John Utaka\8f0d78f4,ng NGA,ATMT,25,29,25,2014,22.4,5,3,5,0,0,1,0,0.22,0.13,0.36,0.22,0.36,Matchs
Benjani Mwaruwari\9fc277ee,zw ZIM,AT,28,23,21,1833,20.4,12,1,12,0,1,1,0,0.59,0.05,0.64,0.59,0.64,Matchs
Sean Davis\c3feaa94,eng ENG,MT,27,22,18,1648,18.3,1,2,1,0,0,8,0,0.05,0.11,0.16,0.05,0.16,Matchs
Pedro Mendes\801c23c5,pt POR,MT,28,18,14,1221,13.6,0,4,0,0,0,3,0,0.00,0.29,0.29,0.00,0.29,Matchs
Noé Pamarot\6036afc6,fr FRA,DF,28,18,14,1167,13.0,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matchs
Nwankwo Kanu\12578cde,ng NGA,AT,30,25,13,1378,15.3,4,3,4,0,1,1,0,0.26,0.20,0.46,0.26,0.46,Matchs
Jermain Defoe\f1e8372d,eng ENG,AT,24,12,12,1064,11.8,8,1,6,2,2,2,0,0.68,0.08,0.76,0.51,0.59,Matchs
Lassana Diarra\79584585,fr FRA,MT,22,12,11,1001,11.1,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matchs
Lauren\0c662413,cm CMR,DF,30,15,11,978,10.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Hughes\7ff95c96,sct SCO,MT,28,13,8,771,8.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Milan Baroš\f3a9a99b,cz CZE,AT,25,12,8,615,6.8,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matchs
David Nugent\f9b5e5bd,eng ENG,AT,22,15,5,625,6.9,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matchs
Matthew Taylor\3b2c9cac,eng ENG,DFMT,25,13,3,461,5.1,1,1,0,1,1,1,0,0.20,0.20,0.39,0.00,0.20,Matchs
Arnold Mvuemba\50fd977e,cd COD,ATMT,22,8,3,316,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jamie Ashdown\0f056348,eng ENG,GB,26,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Gary O'Neil\754d4ac4,eng ENG,MT,24,2,2,141,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Lucien Aubey\01f95168,cg CGO,DF,23,3,1,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Djimi Traoré\b8c992d8,ml MLI,DF,27,3,1,136,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Martin Cranie\9e53837d,eng ENG,DF,20,2,1,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Franck Songo'o\835c259d,cm CMR,ATMT,20,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,28.2,38,419,,,46,32,42,4,7,58,3,1.21,0.84,2.05,1.11,1.95,
Total adversaire,,,26.7,38,,,,,,,,,,,,,,,,
