,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Marcus Hahnemann\c6be3102,us USA,GB,35,38,38,3420,38.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
James Harper\3bdf320f,eng ENG,MT,26,38,38,3347,37.2,6,1,6,0,0,1,0,0.16,0.03,0.19,0.16,0.19,Matchs
Stephen Hunt\51ac7604,ie IRL,ATMT,25,37,37,3314,36.8,5,4,3,2,2,5,0,0.14,0.11,0.24,0.08,0.19,Matchs
Nicky Shorey\9665e2ea,eng ENG,DFMT,26,36,36,3220,35.8,3,9,3,0,1,5,0,0.08,0.25,0.34,0.08,0.34,Matchs
Kevin Doyle\c4689de2,ie IRL,AT,23,36,34,3008,33.4,6,2,6,0,1,1,0,0.18,0.06,0.24,0.18,0.24,Matchs
Ívar Ingimarsson\f7fcdb88,is ISL,DF,29,34,33,2990,33.2,2,1,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,Matchs
Dave Kitson\53c758b9,eng ENG,AT,27,34,28,2522,28.0,10,2,10,0,0,2,1,0.36,0.07,0.43,0.36,0.43,Matchs
Graeme Murty\6b4b0d92,sct SCO,DF,32,28,28,2420,26.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Brynjar Gunnarsson\511aa791,is ISL,MT,31,20,18,1499,16.7,0,1,0,0,0,3,1,0.00,0.06,0.06,0.00,0.06,Matchs
Ibrahima Sonko\1e7c36d0,sn SEN,DF,26,16,15,1253,13.9,0,1,0,0,0,2,1,0.00,0.07,0.07,0.00,0.07,Matchs
Liam Rosenior\8b0d6fe9,eng ENG,DF,23,17,15,1241,13.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
André Bikey\2c3ab6dd,cm CMR,DFMT,22,22,14,1370,15.2,3,0,3,0,0,7,0,0.20,0.00,0.20,0.20,0.20,Matchs
Bobby Convey\7910a892,us USA,ATMT,24,20,12,1056,11.7,0,2,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matchs
Michael Duberry\db61b520,eng ENG,DF,31,13,12,1036,11.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
John Oster\bbf029eb,wls WAL,MT,28,18,12,1016,11.3,0,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matchs
Kalifa Cissé\108f18f5,ml MLI,DFMT,23,22,11,1126,12.5,1,1,1,0,0,4,1,0.08,0.08,0.16,0.08,0.16,Matchs
Leroy Lita\238f467d,eng ENG,AT,22,14,10,889,9.9,1,2,1,0,0,1,0,0.10,0.20,0.30,0.10,0.30,Matchs
Marek Matějovský\401cbfb4,cz CZE,MT,25,14,10,874,9.7,1,0,1,0,0,3,1,0.10,0.00,0.10,0.10,0.10,Matchs
Shane Long\9f472354,ie IRL,AT,20,29,7,774,8.6,3,2,3,0,0,6,0,0.35,0.23,0.58,0.35,0.58,Matchs
Ulises de la Cruz\36e01a2c,ec ECU,DF,33,6,3,340,3.8,0,1,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matchs
Emerse Faé\a52e21fa,ci CIV,MT,23,8,3,296,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Seol Ki-hyeon\cd5cfcd5,kr KOR,ATMT,28,3,2,138,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jimmy Kébé\ea7c7cdf,ml MLI,MT,23,5,1,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Scott Golbourne\aefb8831,eng ENG,DFMT,19,1,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Glen Little\3c418660,eng ENG,MT,31,2,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
John Halls\8146582b,eng ENG,DFMT,25,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,27.6,38,418,,,41,26,39,2,4,61,5,1.08,0.68,1.76,1.03,1.71,
Total adversaire,,,26.6,38,,,,,,,,,,,,,,,,
