,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Stephen Warnock\07869028,eng ENG,DF,26,37,37,3271,36.3,3,3,3,0,0,8,0,0.08,0.08,0.17,0.08,0.17,Matchs
Paul Robinson\3515ba56,eng ENG,GB,28,35,35,3105,34.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ryan Nelsen\510f2c7c,nz NZL,DF,30,35,35,3102,34.5,1,0,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Matchs
Christopher Samba\e43cada1,cg CGO,DF,24,35,35,3046,33.8,2,3,2,0,0,4,0,0.06,0.09,0.15,0.06,0.15,Matchs
Morten Gamst Pedersen\c75d2fba,no NOR,ATMT,26,33,32,2537,28.2,1,7,1,0,0,3,1,0.04,0.25,0.28,0.04,0.28,Matchs
André Ooijer\49fd46a1,nl NED,DF,34,32,30,2674,29.7,2,2,2,0,0,8,0,0.07,0.07,0.13,0.07,0.13,Matchs
Keith Andrews\5bca867f,ie IRL,MT,27,33,27,2384,26.5,4,0,4,0,0,6,0,0.15,0.00,0.15,0.15,0.15,Matchs
Jason Roberts\62487637,gd GRN,AT,30,26,20,1728,19.2,7,2,7,0,1,4,1,0.36,0.10,0.47,0.36,0.47,Matchs
Brett Emerton\a1866af0,au AUS,DFMT,29,20,19,1674,18.6,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,Matchs
Benni McCarthy\a6f401c6,za RSA,AT,30,28,18,1520,16.9,10,3,6,4,5,5,1,0.59,0.18,0.77,0.36,0.53,Matchs
Roque Santa Cruz\7f2107eb,py PAR,AT,26,20,17,1486,16.5,4,2,4,0,0,0,0,0.24,0.12,0.36,0.24,0.36,Matchs
Tugay Kerimoğlu\543e7bda,tr TUR,MT,37,29,15,1553,17.3,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matchs
Vince Grella\db61f587,au AUS,MT,28,17,15,1224,13.6,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matchs
Gaël Givet\6d28f149,fr FRA,DF,26,14,14,1110,12.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
El Hadji Diouf\1a4542c8,sn SEN,ATMT,27,14,13,1196,13.3,1,0,1,0,1,3,0,0.08,0.00,0.08,0.08,0.08,Matchs
Danny Simpson\3201b03d,eng ENG,DF,21,12,10,888,9.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Aaron Mokoena\8eedd90f,za RSA,DFMT,27,18,9,842,9.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Dunn\7ecdf483,eng ENG,MT,28,15,7,756,8.4,1,0,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matchs
Carlos Villanueva\ff4e7684,cl CHI,ATMT,22,13,6,651,7.2,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matchs
Martin Olsson\2f72f79e,se SWE,DFMT,20,9,6,504,5.6,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Derbyshire\193ed0c0,eng ENG,AT,22,17,5,699,7.8,2,0,2,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matchs
Steven Reid\e26f852b,ie IRL,DFMT,27,4,4,360,4.0,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matchs
Jason Brown\02bc5b92,wls WAL,GB,26,4,3,315,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Zurab Khizanishvili\4e106307,ge GEO,DF,26,5,3,304,3.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Keith Treacy\4cee514e,ie IRL,MT,19,12,2,304,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Robbie Fowler\7cd34266,eng ENG,AT,33,3,1,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Aaron Doran\edb7a79f,ie IRL,MT,17,3,0,119,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Johann Vogel\6b002e31,ch SUI,MT,31,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,28.3,38,418,,,40,28,36,4,7,73,4,1.05,0.74,1.79,0.95,1.68,
Total adversaire,,,26.4,38,,,,,,,,,,,,,,,,
