,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Thomas Vermaelen\d0d79694,be BEL,DF,23,33,33,2797,31.1,7,1,7,0,0,3,1,0.23,0.03,0.26,0.23,0.26,Matchs
Bacary Sagna\6ef56efd,fr FRA,DF,26,35,31,2760,30.7,0,3,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matchs
Manuel Almunia\9f6b2f8c,es ESP,GB,32,29,29,2610,29.0,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matchs
William Gallas\286fb7e0,fr FRA,DF,31,26,26,2340,26.0,3,0,3,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matchs
Abou Diaby\8c8b5071,fr FRA,MT,23,29,26,2319,25.8,6,3,6,0,0,2,0,0.23,0.12,0.35,0.23,0.35,Matchs
Cesc Fàbregas\33508c78,es ESP,ATMT,22,27,26,2188,24.3,15,13,12,3,4,5,0,0.62,0.53,1.15,0.49,1.03,Matchs
Andrey Arshavin\8fd1ea1f,ru RUS,ATMT,28,30,25,2255,25.1,10,1,10,0,0,2,0,0.40,0.04,0.44,0.40,0.44,Matchs
Alex Song\1c32281d,cm CMR,DFMT,21,26,25,2238,24.9,1,1,1,0,0,10,0,0.04,0.04,0.08,0.04,0.08,Matchs
Gaël Clichy\450ad405,fr FRA,DF,24,24,23,2087,23.2,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matchs
Samir Nasri\165bed61,fr FRA,ATMT,22,26,22,1880,20.9,2,4,2,0,0,2,0,0.10,0.19,0.29,0.10,0.29,Matchs
Denílson\2f07dee0,br BRA,MT,21,20,19,1567,17.4,4,1,4,0,0,2,0,0.23,0.06,0.29,0.23,0.29,Matchs
Emmanuel Eboué\1bfae04c,ci CIV,DFMT,26,25,17,1493,16.6,0,3,0,0,0,4,0,0.00,0.18,0.18,0.00,0.18,Matchs
Tomáš Rosický\dbb688e3,cz CZE,MT,28,25,14,1306,14.5,3,4,3,0,0,1,0,0.21,0.28,0.48,0.21,0.48,Matchs
Robin van Persie\3fcab3a8,nl NED,AT,25,16,14,1252,13.9,9,7,9,0,0,3,0,0.65,0.50,1.15,0.65,1.15,Matchs
Nicklas Bendtner\9f9c57f0,dk DEN,AT,21,23,13,1234,13.7,6,5,6,0,0,2,0,0.44,0.36,0.80,0.44,0.80,Matchs
Eduardo da Silva\10ba6807,hr CRO,AT,26,24,13,1120,12.4,4,4,4,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matchs
Theo Walcott\1ecb65be,eng ENG,ATMT,20,23,12,1129,12.5,3,2,3,0,0,0,0,0.24,0.16,0.40,0.24,0.40,Matchs
Sol Campbell\3e3b2fbd,eng ENG,DFAT,34,11,10,956,10.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mikaël Silvestre\4dde97ea,fr FRA,DF,31,12,9,859,9.5,1,0,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matchs
Armand Traoré\021ea92d,sn SEN,DFMT,19,9,9,803,8.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Aaron Ramsey\ef619b0b,wls WAL,MT,18,18,7,786,8.7,3,3,3,0,0,0,0,0.34,0.34,0.69,0.34,0.69,Matchs
Vito Mannone\c4173f1a,it ITA,GB,21,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Łukasz Fabiański\9328b835,pl POL,GB,24,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kieran Gibbs\46ee5234,eng ENG,DFMT,19,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Craig Eastmond\a8c40a73,eng ENG,DFMT,18,4,2,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Carlos Vela\e0cd04e0,mx MEX,ATMT,20,11,1,234,2.6,1,0,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matchs
Fran Mérida\0e50f929,es ESP,MT,19,4,0,65,0.7,1,0,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38,Matchs
Johan Djourou\b8673e18,ch SUI,DF,22,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Henri Lansbury\fe8e6fa1,eng ENG,MT,18,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jack Wilshere\9c318325,eng ENG,MT,17,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.3,38,418,,,79,53,76,3,4,56,1,2.08,1.39,3.47,2.00,3.39,
Total adversaire,,,27.1,38,,,,,,,,,,,,,,,,
