,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Ian Evatt\749bcfb8,eng ENG,DF,28,38,36,3215,35.7,1,3,1,0,0,6,1,0.03,0.08,0.11,0.03,0.11,Matchs
David Vaughan\b950cb68,wls WAL,MT,27,35,35,3150,35.0,2,2,2,0,0,6,0,0.06,0.06,0.11,0.06,0.11,Matchs
Charlie Adam\aff418dc,sct SCO,MT,24,35,34,3049,33.9,12,8,5,7,8,11,0,0.35,0.24,0.59,0.15,0.38,Matchs
Stephen Crainey\2f6dd6a3,sct SCO,DF,29,31,31,2746,30.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
DJ Campbell\d9129797,eng ENG,AT,28,31,30,2626,29.2,13,1,13,0,0,1,1,0.45,0.03,0.48,0.45,0.48,Matchs
Neal Eardley\2bb4411f,wls WAL,DF,21,31,30,2556,28.4,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matchs
Gary Taylor-Fletcher\62c612b8,eng ENG,ATMT,29,31,29,2445,27.2,6,4,6,0,0,4,0,0.22,0.15,0.37,0.22,0.37,Matchs
Craig Cathcart\89e4b358,nir NIR,DF,21,30,28,2387,26.5,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,Matchs
Luke Varney\1757d8ed,eng ENG,ATMT,27,30,24,2032,22.6,5,3,5,0,0,1,0,0.22,0.13,0.35,0.22,0.35,Matchs
Elliot Grandin\ddbf3019,fr FRA,ATMT,22,23,21,1499,16.7,1,3,1,0,0,0,0,0.06,0.18,0.24,0.06,0.24,Matchs
Alex Baptiste\7b72f0b6,eng ENG,DF,24,21,19,1731,19.2,2,0,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matchs
Richard Kingson\05380aa0,gh GHA,GB,32,20,19,1695,18.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Gilks\49b8c292,sct SCO,GB,28,18,18,1575,17.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Keith Southern\8db518ba,eng ENG,MT,29,21,11,1093,12.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Marlon Harewood\34dab521,eng ENG,AT,30,16,7,661,7.3,5,1,5,0,0,1,0,0.68,0.14,0.82,0.68,0.82,Matchs
Matt Phillips\7bb5f40e,sct SCO,ATMT,19,27,6,1050,11.7,1,4,1,0,0,0,0,0.09,0.34,0.43,0.09,0.43,Matchs
Brett Ormerod\fde1ce8d,eng ENG,AT,33,19,6,716,8.0,1,2,1,0,0,0,0,0.13,0.25,0.38,0.13,0.38,Matchs
Jason Puncheon\fd3f57ce,eng ENG,MT,24,11,6,647,7.2,3,0,3,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matchs
Ludovic Sylvestre\37103874,gp GLP,MT,26,8,6,427,4.7,0,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matchs
David Carney\f3041886,au AUS,DFMT,26,11,5,496,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
James Beattie\7c881089,eng ENG,AT,32,9,5,433,4.8,0,3,0,0,0,0,0,0.00,0.62,0.62,0.00,0.62,Matchs
Dekel Keinan\8e3c9fb3,il ISR,DF,25,6,3,399,4.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Sergei Kornilenko\be1797d6,by BLR,AT,27,6,3,179,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Andy Reid\8c4c0cf8,ie IRL,MT,28,5,2,190,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Rachubka\f3229025,eng ENG,GB,29,2,1,125,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Chris Basham\1aa84968,eng ENG,DFMT,22,2,1,121,1.3,0,1,0,0,0,1,0,0.00,0.74,0.74,0.00,0.74,Matchs
Rob Edwards\270efb21,wls WAL,DF,27,2,1,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jason Euell\d97fe8bd,jm JAM,ATMT,33,3,1,105,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ishmel Demontagnac\81c7d697,eng ENG,MT,22,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mark Halstead\ff36c850,eng ENG,GB,19,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,26.8,38,418,,,54,29,47,7,8,47,2,1.42,0.76,2.18,1.24,2.00,
Total adversaire,,,27.0,38,,,,,,,,,,,,,,,,
