,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Joe Hart\cb4f24c6,eng ENG,GB,23,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Vincent Kompany\d2bff301,be BEL,DF,24,37,37,3330,37.0,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matchs
Yaya Touré\c204f844,ci CIV,MT,27,35,35,2965,32.9,6,4,6,0,0,3,0,0.18,0.12,0.30,0.18,0.30,Matchs
Gareth Barry\7dbbe367,eng ENG,MT,29,33,31,2702,30.0,2,2,2,0,0,8,0,0.07,0.07,0.13,0.07,0.13,Matchs
Nigel de Jong\a0e209bc,nl NED,MT,25,32,30,2610,29.0,1,1,1,0,0,9,0,0.03,0.03,0.07,0.03,0.07,Matchs
David Silva\e2716bd0,es ESP,ATMT,24,35,30,2550,28.3,4,7,4,0,0,2,0,0.14,0.25,0.39,0.14,0.39,Matchs
Carlos Tevez\c1a26d43,ar ARG,ATMT,26,31,30,2511,27.9,20,6,15,5,6,6,0,0.72,0.22,0.93,0.54,0.75,Matchs
James Milner\2f90f6b8,eng ENG,DFMT,24,32,23,2050,22.8,0,6,0,0,0,4,0,0.00,0.26,0.26,0.00,0.26,Matchs
Pablo Zabaleta\6813ac34,ar ARG,DFMT,25,26,21,1948,21.6,2,2,2,0,0,8,1,0.09,0.09,0.18,0.09,0.18,Matchs
Kolo Touré\3301c9f4,ci CIV,DF,29,22,21,1846,20.5,1,0,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,Matchs
Joleon Lescott\62393d3b,eng ENG,DF,27,22,20,1884,20.9,3,1,3,0,0,1,0,0.14,0.05,0.19,0.14,0.19,Matchs
Aleksandar Kolarov\eda40760,rs SRB,DF,24,24,20,1720,19.1,1,1,1,0,0,6,1,0.05,0.05,0.10,0.05,0.10,Matchs
Micah Richards\ff87875a,eng ENG,DF,22,18,16,1399,15.5,1,1,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13,Matchs
Adam Johnson\1ba61951,eng ENG,MT,23,31,15,1542,17.1,4,5,4,0,0,2,0,0.23,0.29,0.53,0.23,0.53,Matchs
Jérôme Boateng\2db2fd7b,de GER,DF,21,16,14,1238,13.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mario Balotelli\8ff07990,it ITA,AT,19,17,12,1091,12.1,6,0,4,2,2,6,1,0.49,0.00,0.49,0.33,0.33,Matchs
Edin Džeko\3bb7f478,ba BIH,AT,24,15,8,854,9.5,2,2,2,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matchs
Dedryck Boyata\7c473e12,be BEL,DF,19,7,5,345,3.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Patrick Vieira\f90f1086,fr FRA,MT,34,15,4,495,5.5,2,0,2,0,0,2,0,0.36,0.00,0.36,0.36,0.36,Matchs
Jô\e47d11f8,br BRA,AT,23,12,3,348,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Emmanuel Adebayor\936d9e3e,tg TOG,AT,26,8,2,244,2.7,1,0,0,1,1,0,0,0.37,0.00,0.37,0.00,0.00,Matchs
Shaun Wright-Phillips\e1e0b05f,eng ENG,ATMT,28,7,2,205,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Wayne Bridge\86b982bc,eng ENG,DF,29,3,1,149,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Roque Santa Cruz\7f2107eb,py PAR,AT,28,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ryan McGivern\4c2e7e85,nir NIR,DF,20,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Reece Wabara\0c7d15af,eng ENG,DF,18,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Abdul Razak\5e61927c,ci CIV,MT,17,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.4,38,418,,,56,35,48,8,9,71,5,1.47,0.92,2.39,1.26,2.18,
Total adversaire,,,27.1,38,,,,,,,,,,,,,,,,
