,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Tim Krul\f23f9d20,nl NED,GB,23,38,38,3420,38.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jonás Gutiérrez\816fd91c,ar ARG,MT,28,37,37,3305,36.7,2,3,2,0,0,5,1,0.05,0.08,0.14,0.05,0.14,Matchs
Danny Simpson\3201b03d,eng ENG,DF,24,35,35,3117,34.6,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matchs
Fabricio Coloccini\78b3399f,ar ARG,DFMT,29,35,35,3041,33.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Yohan Cabaye\ad7b19ef,fr FRA,MT,25,34,34,2821,31.3,4,6,4,0,0,6,0,0.13,0.19,0.32,0.13,0.32,Matchs
Demba Ba\8b683d09,sn SEN,AT,26,34,32,2721,30.2,16,2,14,2,3,1,0,0.53,0.07,0.60,0.46,0.53,Matchs
Cheick Tioté\e1270968,ci CIV,MT,25,24,24,2038,22.6,0,1,0,0,0,11,0,0.00,0.04,0.04,0.00,0.04,Matchs
Ryan Taylor\5c6dd7bc,eng ENG,DFMT,26,31,23,2127,23.6,2,3,2,0,0,5,0,0.08,0.13,0.21,0.08,0.21,Matchs
Mike Williamson\98fbb38d,eng ENG,DF,27,22,21,1896,21.1,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matchs
Davide Santon\88c89891,it ITA,DF,20,24,19,1662,18.5,0,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matchs
Gabriel Obertan\adc264a8,fr FRA,ATMT,22,23,18,1552,17.2,1,3,1,0,0,0,0,0.06,0.17,0.23,0.06,0.23,Matchs
Hatem Ben Arfa\74dc806c,fr FRA,ATMT,24,26,16,1557,17.3,5,5,5,0,0,2,0,0.29,0.29,0.58,0.29,0.58,Matchs
Leon Best\0780ab75,ie IRL,AT,24,18,16,1151,12.8,4,2,4,0,0,2,0,0.31,0.16,0.47,0.31,0.47,Matchs
Steven Taylor\9f9ba8ca,eng ENG,DF,25,14,14,1260,14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
James Perch\c461de51,eng ENG,DFMT,25,25,13,1341,14.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Danny Guthrie\fff10a46,eng ENG,MT,24,16,13,1129,12.5,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matchs
Papiss Cissé\40f3ff51,sn SEN,AT,26,14,13,1106,12.3,13,1,13,0,0,1,0,1.06,0.08,1.14,1.06,1.14,Matchs
Shola Ameobi\e79a368b,ng NGA,AT,29,27,8,1023,11.4,2,5,2,0,0,3,0,0.18,0.44,0.62,0.18,0.62,Matchs
Peter Løvenkrands\609f6984,dk DEN,ATMT,31,9,2,209,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matchs
Joey Barton\93bfa675,eng ENG,MT,28,2,2,180,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Haris Vučkić\a8f4dfb9,si SVN,ATMT,18,4,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Dan Gosling\7fec31a0,eng ENG,DFMT,21,12,1,248,2.8,1,0,1,0,0,2,1,0.36,0.00,0.36,0.36,0.36,Matchs
Sammy Ameobi\acd61628,eng ENG,ATMT,19,10,1,202,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Sylvain Marveaux\4ef705ab,fr FRA,ATMT,25,7,1,141,1.6,0,1,0,0,0,0,0,0.00,0.64,0.64,0.00,0.64,Matchs
Shane Ferguson\a0f6ddc3,nir NIR,DFMT,20,7,0,160,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Alan Smith\fdac06ea,eng ENG,ATMT,30,2,0,7,0.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.6,38,418,,,51,36,49,2,3,65,2,1.34,0.95,2.29,1.29,2.24,
Total adversaire,,,27.0,38,,,,,,,,,,,,,,,,
