,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Michel Vorm\1bebde9d,nl NED,GB,27,37,37,3330,37.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ashley Williams\a498e276,wls WAL,DF,26,37,37,3330,37.0,1,1,1,0,0,6,0,0.03,0.03,0.05,0.03,0.05,Matchs
Scott Sinclair\273c483b,eng ENG,ATMT,22,38,35,3120,34.7,8,4,4,4,5,1,0,0.23,0.12,0.35,0.12,0.23,Matchs
Neil Taylor\c2f9d19f,wls WAL,DFMT,22,36,35,3080,34.2,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matchs
Leon Britton\b92dd711,eng ENG,MT,28,36,35,3010,33.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Àngel Rangel\93ee387c,es ESP,DF,28,34,32,2870,31.9,0,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matchs
Danny Graham\7d7bdee6,eng ENG,AT,25,36,32,2839,31.5,12,2,11,1,1,0,0,0.38,0.06,0.44,0.35,0.41,Matchs
Joe Allen\9feb8f24,wls WAL,MT,21,36,31,2896,32.2,4,2,4,0,0,2,1,0.12,0.06,0.19,0.12,0.19,Matchs
Nathan Dyer\6dfd5af0,eng ENG,ATMT,23,34,29,2359,26.2,5,2,5,0,0,1,1,0.19,0.08,0.27,0.19,0.27,Matchs
Steven Caulker\2592d9b5,sl SLE,DF,19,26,26,2339,26.0,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matchs
Gylfi Sigurðsson\76dd1480,is ISL,ATMT,21,18,17,1494,16.6,7,3,7,0,0,0,0,0.42,0.18,0.60,0.42,0.60,Matchs
Wayne Routledge\1d387eee,eng ENG,ATMT,26,28,17,1459,16.2,1,4,1,0,0,2,0,0.06,0.25,0.31,0.06,0.31,Matchs
Garry Monk\a70de3a4,eng ENG,DF,32,16,14,1266,14.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mark Gower\84e341f9,eng ENG,MT,32,20,14,1128,12.5,0,5,0,0,0,2,0,0.00,0.40,0.40,0.00,0.40,Matchs
Kemy Agustien\027a5151,cw CUW,DFMT,24,13,7,713,7.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jazz Richards\afef14da,wls WAL,DFMT,20,8,6,577,6.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Leroy Lita\238f467d,eng ENG,AT,26,16,4,466,5.2,2,1,2,0,0,1,0,0.39,0.19,0.58,0.39,0.58,Matchs
Luke Moore\bf06d13a,eng ENG,AT,25,20,3,532,5.9,2,0,2,0,0,1,0,0.34,0.00,0.34,0.34,0.34,Matchs
Stephen Dobbie\2d67e9c7,sct SCO,AT,28,8,2,262,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Andrea Orlandi\b1403ee6,es ESP,ATMT,26,3,2,119,1.3,1,1,1,0,0,1,0,0.76,0.76,1.51,0.76,1.51,Matchs
Alan Tate\d25626aa,eng ENG,DF,28,5,1,165,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Josh McEachran\48565585,eng ENG,MT,18,4,1,127,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Gerhard Tremmel\4370cecc,de GER,GB,32,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Federico Bessone\7570ed49,ar ARG,DF,27,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Vangelis Moras\bffec2a8,gr GRE,DF,29,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,25.4,38,418,,,43,24,38,5,6,40,2,1.13,0.63,1.76,1.00,1.63,
Total adversaire,,,26.9,38,,,,,,,,,,,,,,,,
