,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Stephen Ward\3831b9fe,ie IRL,DFAT,25,38,38,3420,38.0,3,1,3,0,0,2,0,0.08,0.03,0.11,0.08,0.11,Matchs
Wayne Hennessey\76eca7e2,wls WAL,GB,24,34,34,3060,34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Jarvis\02d6d2b4,eng ENG,MT,25,37,31,2812,31.2,8,4,8,0,0,0,0,0.26,0.13,0.38,0.26,0.38,Matchs
Karl Henry\5eac3bb7,eng ENG,DFMT,28,31,30,2579,28.7,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matchs
Christophe Berra\8455984a,sct SCO,DF,26,32,29,2700,30.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Stearman\9a3a436e,eng ENG,DF,23,30,28,2405,26.7,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matchs
Roger Johnson\f6e08a82,eng ENG,DF,28,27,26,2357,26.2,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matchs
Kevin Doyle\c4689de2,ie IRL,AT,27,33,26,2349,26.1,4,7,4,0,1,4,0,0.15,0.27,0.42,0.15,0.42,Matchs
Steven Fletcher\2c9c3502,sct SCO,AT,24,32,26,2346,26.1,12,2,12,0,0,2,0,0.46,0.08,0.54,0.46,0.54,Matchs
David Edwards\9961eefb,wls WAL,MT,25,26,24,1928,21.4,3,1,3,0,0,2,0,0.14,0.05,0.19,0.14,0.19,Matchs
Jamie O'Hara\7578d85c,eng ENG,MT,24,19,19,1656,18.4,2,1,2,0,0,6,0,0.11,0.05,0.16,0.11,0.16,Matchs
Stephen Hunt\51ac7604,ie IRL,ATMT,29,24,16,1388,15.4,3,1,0,3,3,5,0,0.19,0.06,0.26,0.00,0.06,Matchs
Michael Kightly\26e5c484,eng ENG,ATMT,25,18,14,1189,13.2,3,1,3,0,0,3,0,0.23,0.08,0.30,0.23,0.30,Matchs
Ronald Zubar\57935ba0,fr FRA,DF,25,15,14,1162,12.9,1,0,1,0,0,5,1,0.08,0.00,0.08,0.08,0.08,Matchs
Kevin Foley\11b3d067,ie IRL,DFMT,26,16,11,1071,11.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Sébastien Bassong\0d521662,cm CMR,DF,25,9,9,682,7.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Sylvan Ebanks-Blake\9dfe6a3f,eng ENG,AT,25,23,8,1025,11.4,1,3,1,0,0,1,0,0.09,0.26,0.35,0.09,0.35,Matchs
Nenad Milijaš\10206347,rs SRB,MT,28,20,6,736,8.2,0,1,0,0,0,1,1,0.00,0.12,0.12,0.00,0.12,Matchs
David Davis\d992542e,eng ENG,MT,20,7,6,396,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Emmanuel Frimpong\524617b5,gh GHA,MT,19,5,5,287,3.2,0,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matchs
Dorus de Vries\e704919e,nl NED,GB,30,4,4,320,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Adam Hammill\ffd4896e,eng ENG,ATMT,23,9,3,349,3.9,0,1,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matchs
George Elokobi\36aad3ed,cm CMR,DF,25,9,3,298,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Anthony Forde\2d139834,ie IRL,DFAT,17,6,3,244,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Adlène Guedioura\f75825e3,dz ALG,MT,25,10,2,301,3.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Eggert Jónsson\a9c05804,is ISL,DFMT,22,3,2,172,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jody Craddock\573e5dd2,eng ENG,DFMT,36,1,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Sam Vokes\1d6ac165,wls WAL,AT,21,4,0,65,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Doherty\d557d734,ie IRL,DFMT,19,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Carl Ikeme\8646429b,ng NGA,GB,25,1,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Johnny Gorman\0dcc8a9f,nir NIR,MT,18,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stefan Maierhofer\6dfec8d4,at AUT,AT,28,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,26.0,38,418,,,40,25,37,3,4,64,4,1.05,0.66,1.71,0.97,1.63,
Total adversaire,,,26.9,38,,,,,,,,,,,,,,,,
