,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Aaron Cresswell\4f974391,eng ENG,DFMT,24,38,38,3420,38.0,2,4,2,0,0,5,0,0.05,0.11,0.16,0.05,0.16,Matchs
Adrián\f76e6b4e,es ESP,GB,27,38,38,3392,37.7,0,0,,,,3,1,0.00,0.00,0.00,,,Matchs
Stewart Downing\b13c4620,eng ENG,ATMT,30,37,37,3312,36.8,6,8,6,0,0,3,0,0.16,0.22,0.38,0.16,0.38,Matchs
Cheikhou Kouyaté\8d3c902d,sn SEN,DFMT,24,31,30,2657,29.5,4,2,4,0,0,5,0,0.14,0.07,0.20,0.14,0.20,Matchs
Carl Jenkinson\874125a3,eng ENG,DF,22,32,29,2669,29.7,0,2,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matchs
Winston Reid\562eed5c,nz NZL,DF,26,30,29,2502,27.8,1,0,1,0,0,10,0,0.04,0.00,0.04,0.04,0.04,Matchs
Mark Noble\ff527768,eng ENG,MT,27,28,27,2301,25.6,2,3,1,1,2,4,0,0.08,0.12,0.20,0.04,0.16,Matchs
Alex Song\1c32281d,cm CMR,DFMT,26,28,25,2245,24.9,0,3,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matchs
Enner Valencia\fb485406,ec ECU,ATMT,24,32,25,2101,23.3,4,3,4,0,0,2,0,0.17,0.13,0.30,0.17,0.30,Matchs
James Collins\c61f1719,wls WAL,DF,30,27,21,1882,20.9,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matchs
James Tomkins\e7ca0439,eng ENG,DFMT,25,22,20,1852,20.6,1,3,1,0,0,6,0,0.05,0.15,0.19,0.05,0.19,Matchs
Diafra Sakho\57c433c8,sn SEN,AT,24,23,20,1754,19.5,10,2,10,0,0,2,0,0.51,0.10,0.62,0.51,0.62,Matchs
Kevin Nolan\3d307105,eng ENG,MT,32,29,19,1749,19.4,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matchs
Morgan Amalfitano\ab914649,fr FRA,MT,29,24,14,1184,13.2,3,1,3,0,0,3,0,0.23,0.08,0.30,0.23,0.30,Matchs
Andy Carroll\b581987a,eng ENG,AT,25,14,12,1024,11.4,5,1,5,0,0,2,0,0.44,0.09,0.53,0.44,0.53,Matchs
Carlton Cole\51b2effb,eng ENG,AT,30,23,8,912,10.1,2,0,2,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matchs
Joey O'Brien\ce46f501,ie IRL,DFMT,28,9,6,526,5.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mauro Zárate\cc18ff4c,ar ARG,ATMT,27,7,5,412,4.6,2,1,2,0,0,1,0,0.44,0.22,0.66,0.44,0.66,Matchs
Matt Jarvis\02d6d2b4,eng ENG,MT,28,11,4,416,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Reece Burke\a681b7b7,eng ENG,DF,17,5,4,415,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Guy Demel\605bba68,ci CIV,DFMT,33,6,3,258,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ricardo Vaz Tê\238aa706,pt POR,ATMT,27,4,3,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Diego Poyet\5aa00dc3,uy URU,MT,19,3,1,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Nenê\265ebd37,br BRA,ATMT,33,8,0,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mohamed Diamé\b7d082af,sn SEN,MT,27,3,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ravel Morrison\bf59c794,jm JAM,MT,21,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jussi Jääskeläinen\340d2a24,fi FIN,GB,39,1,0,28,0.3,0,0,,,,0,0,0.00,0.00,0.00,,,Matchs
Elliot Lee\e5192234,eng ENG,ATMT,19,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Josh Cullen\f6d7d690,ie IRL,DFMT,18,0,0,,,,,,,,,,,,,,,Matchs
Sebastian Lletget\73019c31,us USA,MT,21,0,0,,,,,,,,,,,,,,,Matchs
Manny Onariase\69c1a491,ng NGA,DF,17,0,0,,,,,,,,,,,,,,,Matchs
Reece Oxford\8b6e0db2,eng ENG,DF,15,0,0,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,26.8,38,418,3420,38.0,43,34,42,1,2,0,0,1.13,0.89,2.03,1.11,2.00,
Total adversaire,,,26.9,38,418,3420,38.0,45,28,43,2,5,64,7,1.18,0.74,1.92,1.13,1.87,
