,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Idrissa Gana Gueye\72c812f3,sn SEN,MT,25,35,35,3071,34.1,0,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,Matchs
Ashley Westwood\495945ef,eng ENG,MT,25,32,31,2717,30.2,2,2,2,0,0,6,0,0.07,0.07,0.13,0.07,0.13,Matchs
Joleon Lescott\62393d3b,eng ENG,DF,32,30,30,2629,29.2,1,0,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matchs
Brad Guzan\d899e3bf,us USA,GB,30,28,28,2520,28.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Leandro Bacuna\9dc69d38,cw CUW,DFMT,23,31,27,2417,26.9,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matchs
Jordan Ayew\da052c14,gh GHA,AT,23,30,27,2349,26.1,7,0,6,1,1,6,1,0.27,0.00,0.27,0.23,0.23,Matchs
Alan Hutton\688ae34c,sct SCO,DF,30,28,26,2331,25.9,0,1,0,0,0,7,1,0.00,0.04,0.04,0.00,0.04,Matchs
Micah Richards\ff87875a,eng ENG,DF,27,24,23,2044,22.7,1,1,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,Matchs
Jordan Veretout\4a56052c,fr FRA,MT,22,25,21,1820,20.2,0,5,0,0,0,4,0,0.00,0.25,0.25,0.00,0.25,Matchs
Scott Sinclair\273c483b,eng ENG,ATMT,26,27,19,1595,17.7,2,0,1,1,1,0,0,0.11,0.00,0.11,0.06,0.06,Matchs
Aly Cissokho\83a2bb30,fr FRA,DF,27,18,18,1603,17.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matchs
Carles Gil\11c30a46,es ESP,ATMT,22,23,17,1435,15.9,2,0,2,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matchs
Ciaran Clark\2b91cf8e,ie IRL,DF,25,18,16,1442,16.0,1,0,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matchs
Carlos Sánchez\50b51fac,co COL,MT,29,20,16,1367,15.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Rudy Gestede\822b3ef9,bj BEN,AT,26,32,14,1669,18.5,5,2,5,0,0,2,0,0.27,0.11,0.38,0.27,0.38,Matchs
Gabby Agbonlahor\db80f5f1,eng ENG,AT,28,15,13,1031,11.5,1,2,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matchs
Jores Okore\bd7138e5,dk DEN,DF,22,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mark Bunn\a6738b6c,eng ENG,GB,30,10,10,900,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
