,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Jack Cork\74e12f1e,eng ENG,MT,28,38,38,3420,38.0,2,1,2,0,0,7,0,0.05,0.03,0.08,0.05,0.08,2.1,2.1,0.9,3.0,0.05,0.02,0.08,0.05,0.08,Matchs
Nick Pope\4b40d9ca,eng ENG,GB,25,35,34,3115,34.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matchs
Jóhann Berg Guðmundsson\f72293fc,is ISL,MT,26,35,32,2833,31.5,2,8,2,0,0,2,0,0.06,0.25,0.32,0.06,0.32,3.7,3.7,4.8,8.5,0.12,0.15,0.27,0.12,0.27,Matchs
James Tarkowski\15ea812b,eng ENG,DF,24,31,31,2790,31.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.5,1.6,0.03,0.02,0.05,0.03,0.05,Matchs
Ben Mee\8df7a2fb,eng ENG,DF,27,29,29,2610,29.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.2,1.7,0.05,0.01,0.06,0.05,0.06,Matchs
Jeff Hendrick\989d5705,ie IRL,MT,25,34,29,2331,25.9,2,2,2,0,0,1,0,0.08,0.08,0.15,0.08,0.15,2.7,2.7,2.1,4.8,0.10,0.08,0.18,0.10,0.18,Matchs
Stephen Ward\3831b9fe,ie IRL,DF,31,28,28,2460,27.3,1,1,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,0.4,0.4,1.9,2.3,0.01,0.07,0.08,0.01,0.08,Matchs
Matthew Lowton\9a9c05db,eng ENG,DF,28,26,25,2295,25.5,0,3,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.0,0.0,1.6,1.7,0.00,0.06,0.07,0.00,0.07,Matchs
Steven Defour\73489527,be BEL,MT,29,24,24,1997,22.2,1,1,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,0.8,0.8,1.2,2.0,0.03,0.05,0.09,0.03,0.09,Matchs
Ashley Barnes\2691c772,eng ENG,ATMT,27,36,21,2165,24.1,9,0,9,0,0,10,0,0.37,0.00,0.37,0.37,0.37,5.9,5.9,1.9,7.8,0.25,0.08,0.32,0.25,0.32,Matchs
Chris Wood\4e9a0555,nz NZL,AT,25,24,20,1624,18.0,10,1,10,0,0,1,0,0.55,0.06,0.61,0.55,0.61,8.1,8.1,1.0,9.1,0.45,0.06,0.51,0.45,0.51,Matchs
Kevin Long\5a4280b1,ie IRL,DF,26,16,16,1440,16.0,1,2,1,0,0,1,0,0.06,0.12,0.19,0.06,0.19,0.7,0.7,0.9,1.6,0.05,0.05,0.10,0.05,0.10,Matchs
Scott Arfield\b1313ec4,ca CAN,MT,28,18,15,1333,14.8,2,1,2,0,0,3,0,0.14,0.07,0.20,0.14,0.20,2.1,2.1,0.4,2.5,0.14,0.03,0.17,0.14,0.17,Matchs
Robbie Brady\96bb8cc2,ie IRL,MT,25,15,15,1277,14.2,1,2,1,0,0,3,0,0.07,0.14,0.21,0.07,0.21,1.2,1.2,2.4,3.5,0.08,0.17,0.25,0.08,0.25,Matchs
Phil Bardsley\1ae30132,sct SCO,DF,32,13,13,1125,12.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.8,0.00,0.07,0.07,0.00,0.07,Matchs
Aaron Lennon\2ff964a0,eng ENG,MT,30,14,13,1118,12.4,0,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.6,0.6,1.4,2.0,0.05,0.11,0.16,0.05,0.16,Matchs
Ashley Westwood\495945ef,eng ENG,MT,27,19,12,1111,12.3,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,0.6,1.5,0.07,0.05,0.12,0.07,0.12,Matchs
Charlie Taylor\cc2d7ad5,eng ENG,DF,23,11,10,950,10.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matchs
Sam Vokes\1d6ac165,wls WAL,ATMT,27,30,7,998,11.1,4,1,4,0,0,3,0,0.36,0.09,0.45,0.36,0.45,3.3,3.3,0.6,3.9,0.30,0.05,0.35,0.30,0.35,Matchs
Tom Heaton\a6de6361,eng ENG,GB,31,4,4,305,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Georges-Kévin N'Koudou\76c131da,fr FRA,MT,22,8,2,228,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.04,0.08,0.04,0.08,Matchs
Nahki Wells\b070482d,bm BER,ATMT,27,9,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.79,0.00,0.79,0.79,0.79,Matchs
Jonathan Walters\0356cf4f,ie IRL,MTAT,33,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.29,0.00,0.29,0.29,0.29,Matchs
Aiden O'Neill\c7aee75b,au AUS,MT,19,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matchs
Adam Legzdins\f5b114ca,eng ENG,GB,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Anders Lindegaard\636f1a28,dk DEN,GB,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Dean Marney\b3379356,eng ENG,MT,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
