,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
David de Gea\7ba6d84e,es ESP,GB,26,37,37,3330,37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matchs
Nemanja Matić\eb7822d7,rs SRB,MT,28,36,35,3118,34.6,1,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,2.0,2.7,0.02,0.06,0.08,0.02,0.08,Matchs
Romelu Lukaku\5eae500a,be BEL,AT,24,34,33,2867,31.9,16,7,16,0,1,4,0,0.50,0.22,0.72,0.50,0.72,15.2,14.5,5.1,19.6,0.48,0.16,0.64,0.45,0.61,Matchs
Antonio Valencia\08aa17d0,ec ECU,DF,31,31,31,2740,30.4,3,1,3,0,0,7,0,0.10,0.03,0.13,0.10,0.13,0.6,0.6,1.7,2.3,0.02,0.05,0.08,0.02,0.08,Matchs
Chris Smalling\b6964eb6,eng ENG,DF,27,29,28,2536,28.2,4,0,4,0,0,4,0,0.14,0.00,0.14,0.14,0.14,2.6,2.6,0.4,3.0,0.09,0.01,0.11,0.09,0.11,Matchs
Ashley Young\be927d03,eng ENG,DF,32,30,28,2442,27.1,2,4,2,0,0,7,0,0.07,0.15,0.22,0.07,0.22,0.7,0.7,3.8,4.5,0.03,0.14,0.17,0.03,0.17,Matchs
Paul Pogba\867239d3,fr FRA,MT,24,27,25,2148,23.9,6,10,6,0,0,5,1,0.25,0.42,0.67,0.25,0.67,6.6,6.6,4.4,11.0,0.28,0.19,0.46,0.28,0.46,Matchs
Phil Jones\def899bd,eng ENG,DF,25,23,23,1973,21.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.02,0.00,0.02,0.02,0.02,Matchs
Juan Mata\29733c72,es ESP,ATMT,29,28,23,1922,21.4,3,5,3,0,0,1,0,0.14,0.23,0.37,0.14,0.37,3.5,3.5,5.0,8.5,0.16,0.23,0.40,0.16,0.40,Matchs
Jesse Lingard\810e3c74,eng ENG,MTAT,24,33,20,1817,20.2,8,5,8,0,0,2,0,0.40,0.25,0.64,0.40,0.64,8.4,8.4,3.5,11.9,0.42,0.17,0.59,0.42,0.59,Matchs
Anthony Martial\8b788c01,fr FRA,AT,21,30,18,1582,17.6,9,5,8,1,1,1,0,0.51,0.28,0.80,0.46,0.74,7.3,6.5,5.7,12.2,0.41,0.32,0.74,0.37,0.69,Matchs
Marcus Rashford\a1d5bd30,eng ENG,AT,19,35,17,1813,20.1,7,5,7,0,0,3,0,0.35,0.25,0.60,0.35,0.60,6.3,6.3,3.3,9.6,0.31,0.17,0.48,0.31,0.48,Matchs
Victor Lindelöf\f5deef4c,se SWE,DF,23,17,13,1285,14.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.03,0.03,0.00,0.03,Matchs
Ander Herrera\436a9dd0,es ESP,MT,27,26,13,1268,14.1,0,2,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,1.1,1.7,0.05,0.08,0.12,0.05,0.12,Matchs
Alexis Sánchez\2c0f8e9e,cl CHI,ATMT,28,12,12,1043,11.6,2,3,2,0,1,1,0,0.17,0.26,0.43,0.17,0.43,3.7,2.8,2.5,5.3,0.32,0.22,0.54,0.24,0.46,Matchs
Eric Bailly\a1232f4e,ci CIV,DF,23,13,11,1001,11.1,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.0,1.0,0.3,1.3,0.09,0.03,0.11,0.09,0.11,Matchs
Henrikh Mkhitaryan\dd0daf32,am ARM,MTAT,28,15,11,922,10.2,1,5,1,0,0,2,0,0.10,0.49,0.59,0.10,0.59,1.3,1.3,3.5,4.7,0.12,0.34,0.46,0.12,0.46,Matchs
Luke Shaw\9c94165b,eng ENG,DF,22,11,8,790,8.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.04,0.04,0.08,0.04,0.08,Matchs
Marcos Rojo\e0991c04,ar ARG,DF,27,9,8,640,7.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matchs
Scott McTominay\d93c2511,sct SCO,MT,20,13,7,634,7.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.01,0.01,0.01,Matchs
Marouane Fellaini\87575fd9,be BEL,MT,29,16,5,683,7.6,4,0,4,0,0,1,0,0.53,0.00,0.53,0.53,0.53,2.1,2.1,0.1,2.2,0.30,0.02,0.32,0.30,0.32,Matchs
Matteo Darmian\96e0490d,it ITA,DF,27,8,5,444,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.02,0.00,0.02,Matchs
