,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Ahmed Hegazi\5540c9dc,eg EGY,DF,26,38,38,3386,37.6,2,0,2,0,0,4,0,0.05,0.00,0.05,0.05,0.05,1.7,1.7,0.4,2.1,0.05,0.01,0.06,0.05,0.06,Matchs
Ben Foster\d0b3ceb9,eng ENG,GB,34,37,37,3330,37.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Kieran Gibbs\46ee5234,eng ENG,DF,27,33,32,2827,31.4,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.4,0.4,1.6,2.0,0.01,0.05,0.06,0.01,0.06,Matchs
Salomón Rondón\b318a643,ve VEN,AT,27,36,32,2767,30.7,7,3,7,0,0,4,0,0.23,0.10,0.33,0.23,0.33,6.8,6.8,1.8,8.6,0.22,0.06,0.28,0.22,0.28,Matchs
Jay Rodriguez\4ab53cdb,eng ENG,ATMT,28,37,31,2812,31.2,7,1,6,1,1,2,0,0.22,0.03,0.26,0.19,0.22,7.2,6.5,1.5,8.0,0.23,0.05,0.28,0.21,0.25,Matchs
Jake Livermore\b98570d1,eng ENG,MT,27,34,30,2674,29.7,2,2,2,0,0,5,0,0.07,0.07,0.13,0.07,0.13,2.7,2.7,1.9,4.6,0.09,0.06,0.15,0.09,0.15,Matchs
Craig Dawson\3e9e06cb,eng ENG,DF,27,28,28,2510,27.9,2,0,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,2.6,2.6,0.8,3.4,0.09,0.03,0.12,0.09,0.12,Matchs
Jonny Evans\f8fcd2a5,nir NIR,DF,29,28,26,2270,25.2,2,2,2,0,0,7,0,0.08,0.08,0.16,0.08,0.16,1.9,1.9,0.4,2.3,0.08,0.02,0.09,0.08,0.09,Matchs
Allan Nyom\97572117,cm CMR,DF,29,29,25,2310,25.7,0,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,0.1,0.1,0.7,0.8,0.00,0.03,0.03,0.00,0.03,Matchs
Matt Phillips\7bb5f40e,sct SCO,MTAT,26,30,23,2093,23.3,2,2,2,0,0,3,0,0.09,0.09,0.17,0.09,0.17,2.2,2.2,4.0,6.2,0.10,0.17,0.27,0.10,0.27,Matchs
Gareth Barry\7dbbe367,eng ENG,MT,36,25,22,1923,21.4,1,1,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,1.1,1.1,1.6,2.6,0.05,0.07,0.12,0.05,0.12,Matchs
Chris Brunt\ec7e6ad1,nir NIR,MTDF,32,26,22,1920,21.3,0,7,0,0,0,5,0,0.00,0.33,0.33,0.00,0.33,1.5,1.5,4.1,5.7,0.07,0.19,0.27,0.07,0.27,Matchs
Grzegorz Krychowiak\580d52dd,pl POL,MT,27,27,20,1641,18.2,0,2,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.8,0.8,2.1,2.9,0.04,0.12,0.16,0.04,0.16,Matchs
James McClean\53538b39,ie IRL,MTAT,28,30,14,1406,15.6,1,0,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,1.6,1.6,1.0,2.6,0.10,0.06,0.17,0.10,0.17,Matchs
Claudio Yacob\bda6ffd4,ar ARG,MT,30,16,9,903,10.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.03,0.02,0.03,Matchs
Hal Robson-Kanu\fb2dec57,wls WAL,ATMT,28,21,8,827,9.2,2,0,2,0,0,2,1,0.22,0.00,0.22,0.22,0.22,2.9,2.9,0.6,3.5,0.32,0.06,0.38,0.32,0.38,Matchs
