,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
James Ward-Prowse\3515d404,eng ENG,MTDF,24,38,38,3420,38.0,5,3,4,1,3,9,0,0.13,0.08,0.21,0.11,0.18,7.1,4.6,5.3,9.9,0.19,0.14,0.32,0.12,0.26,Matchs
Jan Bednarek\4115ce4e,pl POL,DF,23,34,34,3057,34.0,1,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,0.8,0.8,0.1,0.9,0.02,0.00,0.03,0.02,0.03,Matchs
Danny Ings\07802f7f,eng ENG,AT,27,38,32,2804,31.2,22,2,21,1,2,3,0,0.71,0.06,0.77,0.67,0.74,16.7,15.2,2.7,17.9,0.54,0.09,0.62,0.49,0.58,Matchs
Nathan Redmond\ab651565,eng ENG,MTAT,25,32,32,2762,30.7,4,4,4,0,0,2,0,0.13,0.13,0.26,0.13,0.26,5.0,5.0,3.2,8.3,0.16,0.11,0.27,0.16,0.27,Matchs
Ryan Bertrand\01226327,eng ENG,DF,29,32,31,2742,30.5,1,1,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,1.7,1.7,3.6,5.3,0.06,0.12,0.17,0.06,0.17,Matchs
Pierre Højbjerg\8b04d6c1,dk DEN,MT,23,33,30,2752,30.6,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,2.7,2.7,2.1,4.8,0.09,0.07,0.16,0.09,0.16,Matchs
Alex McCarthy\36c2ca73,eng ENG,GB,29,28,28,2520,28.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Jack Stephens\6adbc307,eng ENG,DF,25,28,27,2451,27.2,1,3,1,0,0,4,1,0.04,0.11,0.15,0.04,0.15,0.7,0.7,1.3,2.0,0.03,0.05,0.07,0.03,0.07,Matchs
Oriol Romeu\4b511457,es ESP,MT,27,30,20,1860,20.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.3,1.6,0.01,0.06,0.08,0.01,0.08,Matchs
Stuart Armstrong\97333cf5,sct SCO,MT,27,30,19,1715,19.1,5,3,5,0,0,4,0,0.26,0.16,0.42,0.26,0.42,2.9,2.9,1.1,4.0,0.15,0.06,0.21,0.15,0.21,Matchs
Jannik Vestergaard\1900032e,dk DEN,DF,26,19,17,1497,16.6,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.1,1.0,0.05,0.01,0.06,0.05,0.06,Matchs
Cédric Soares\839c14e1,pt POR,DF,27,16,16,1306,14.5,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,1.2,1.9,0.04,0.09,0.13,0.04,0.13,Matchs
Shane Long\9f472354,ie IRL,AT,32,26,15,1395,15.5,2,2,2,0,0,0,0,0.13,0.13,0.26,0.13,0.26,4.8,4.8,1.4,6.2,0.31,0.09,0.40,0.31,0.40,Matchs
Che Adams\f2bf1b0f,sct SCO,AT,23,30,12,1111,12.3,4,2,4,0,0,0,0,0.32,0.16,0.49,0.32,0.49,4.0,4.0,1.2,5.2,0.32,0.10,0.42,0.32,0.42,Matchs
Moussa Djenepo\254147d4,ml MLI,MTDF,21,18,10,928,10.3,2,2,2,0,0,4,1,0.19,0.19,0.39,0.19,0.39,2.7,2.7,1.3,4.1,0.26,0.13,0.39,0.26,0.39,Matchs
Angus Gunn\e082af5b,eng ENG,GB,23,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Yan Valery\531a4aa8,fr FRA,DF,20,11,10,779,8.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1,0.04,0.08,0.13,0.04,0.13,Matchs
Sofiane Boufal\b0c71810,ma MAR,MTAT,25,20,8,764,8.5,0,2,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,2.7,3.6,0.11,0.32,0.43,0.11,0.43,Matchs
Michael Obafemi\caa1a7f0,ie IRL,AT,19,21,8,665,7.4,3,2,3,0,0,1,0,0.41,0.27,0.68,0.41,0.68,1.9,1.9,1.2,3.2,0.26,0.17,0.43,0.26,0.43,Matchs
Kyle Walker-Peters\984a5a64,eng ENG,DF,22,10,7,703,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.01,0.07,0.08,0.01,0.08,Matchs
Maya Yoshida\caffaf5a,jp JPN,DF,30,8,6,560,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matchs
William Smallbone\5e105217,ie IRL,MT,19,9,4,393,4.4,0,2,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.3,0.3,0.3,0.6,0.06,0.08,0.14,0.06,0.14,Matchs
Kevin Danso\6e33125f,at AUT,DF,20,6,3,277,3.1,0,1,0,0,0,2,1,0.00,0.32,0.32,0.00,0.32,0.1,0.1,0.2,0.3,0.04,0.06,0.10,0.04,0.10,Matchs
Jake Vokins\d484c261,eng ENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.08,0.09,0.02,0.09,Matchs
Nathan Tella\f1e94cd6,eng ENG,AT,20,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,1.62,0.00,1.62,1.62,1.62,Matchs
Will Ferry\f4765c97,ie IRL,MT,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Fraser Forster\c3e39f12,eng ENG,GB,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Alexandre Jankewitz\7c39363f,ch SUI,MT,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Harry Lewis\c35e99d8,eng ENG,GB,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Jacob Maddox\ff97076d,eng ENG,MT,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Dan Nlundulu\30040f5d,eng ENG,AT,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,25.9,38,418,3420,38.0,51,32,49,2,5,55,4,1.34,0.84,2.18,1.29,2.13,54.0,50.0,31.4,81.5,1.42,0.83,2.25,1.32,2.14,
Total adversaire,,,26.5,38,418,3420,38.0,59,41,56,3,4,67,3,1.55,1.08,2.63,1.47,2.55,53.1,50.0,34.4,84.4,1.40,0.91,2.30,1.32,2.22,
